Gene	B	CD4	CD8CD226negNoAct	CD8CD226negPostAct	CD8CD226plusNoAct	CD8CD226plusPostAct	M1	M2	Mono	Neu	NK
BCL2	12.38	30.66	2112.5	6385.525	1530.5	12374.525	1.2	1.26	0.335	0.065	1.02
BCL2A1	2.76	5.71	583	481.83	473	768.33	118.11	213.67	119.55	99.195	0.69
BIN1	4.7	22.05	2639.5	1333.13	3188	1098.63	1.615	1.32	0.69	0	6.57
C16orf74	6.45	1.71	12.5	2.42	9.5	0.75	0.005	0.02	1.34	0.26	0.055
C1orf54	0.14	1.05	56.5	2.27	39.5	3.77	26.49	15.72	1.12	0.08	0.065
C3AR1	0	0.08	141.5	311.085	166	48.085	16.01	0.1	6.06	0.79	0.8
CACFD1	2.93	0.21	39.5	49.235	15.5	24.735	0.175	1.64	0.475	0.09	0.18
CBR3	0.21	1.49	1	4.91	18.5	37.41	2.585	5.01	0.015	0	0.04
CCND1	0.26	0.06	24.5	47.13	7	192.63	35.175	3.36	0.015	0	0.02
CD2	0	33.26	4841	14089.525	8210.5	16026.025	0	0.08	0.4	0.01	7.34
CD244	0.02	0.17	330	448.935	272.5	86.435	0.01	0	7.575	0.035	11.255
CD247	0.04	67.99	10824	3885.87	9665.5	2374.37	0.015	0.01	0.22	0.05	68.385
CD302	0.21	0.54	26.5	12.69	18	8.69	1.27	3.65	21.11	11.89	0.09
CD3D	0	77.09	5507	6771.815	5505	4645.315	0	0	0.23	0	1.145
CD3E	0	36.45	9244	12008.755	10749.5	9006.255	0	0	0.155	0	2.92
CD4	0.03	26.99	11.015	1.015	7	11.515	8.04	1.88	20.215	0.545	0.005
CD40	19.33	0.42	20.5	35.67	12.5	32.67	15.465	7.1	1.245	0.01	0.195
CD48	54.48	144.64	9632.5	3132.1	11110.5	1909.6	58	3.25	56.885	5.695	21.035
CD52	263.75	301.06	1550.5	1172.935	3416.5	957.935	630.55	4089.86	132.465	0.315	22.45
CD6	0.72	37.09	12101	9349.575	11995.5	6627.575	0.03	0.05	0.165	0	1.245
CD69	165.72	108.67	40661.5	3999.05	35519.5	4785.05	0.01	0	0.56	0.155	10.46
CD72	8.85	0.44	29.5	85.33	24.5	136.83	0.485	1.24	0.35	0.01	0.635
CD74	1392.53	20.99	13853.5	8616.345	8748.5	6888.345	108.545	317.7	417.945	21.415	14.85
CD79A	100.16	0.44	12	1.115	31.5	2.615	0.1	0.35	0.07	0.035	0.13
CD79B	42.04	2.25	74.5	87.975	94	80.475	0.23	0.12	0.96	0	2.335
CD8A	0	0.01	39714.5	35811.235	42913	10360.735	0	0	0.195	0	2.14
CD8B	0	0.26	2571.5	2711.14	4556	1241.64	0	0	0.15	0	0.14
CD93	0	0.03	20.5	14.595	30.5	5.095	0.01	0.02	25.7	20.825	0.39
CHRM3-AS2	0	55.8	18	14.655	95.5	641.655	0	0	0.05	0.005	0.175
CHST2	0.66	0.31	19.5	41.725	17	54.225	4.63	0.13	1.265	0.35	7.54
CNIH3	0.29	0.32	51.5	9.75	40.5	20.75	5.995	10.37	0.035	0.23	0.07
COL6A1	0.01	0.61	124.5	20.44	143.5	171.94	7.65	1.31	0.02	0	0.005
COTL1	8.84	13.13	5335	2899.185	5223.5	3670.185	33.705	48.16	98.26	86.555	1.12
CPPED1	0.28	0.44	187.5	199.58	182	247.08	6.415	10.69	13.345	42.79	0.22
CPVL	0.06	0.1	15	0.04	6.5	0.095	9.295	38.17	64.92	0.04	0.01
CRABP2	0.15	0.1	76	1.145	52.5	2.145	103.3	379.69	0.11	0.28	0.015
CST3	0.04	0.28	76	18.015	43.5	7.015	43.725	124.08	102.055	5.955	0.65
CTSB	1.91	9.93	768.5	1404.625	858	2087.625	1068.54	1254.87	54.77	5.855	0.87
CTSK	1.07	1.47	175.5	29.665	184.5	15.165	15.535	0.55	1.445	0.555	0.115
CTSW	0.18	5.97	6371	205.345	6784.5	123.845	0.05	0.24	0.17	0.01	47.285
CTSZ	12.56	2.32	164	342.725	135.5	458.225	232.15	588.18	51.58	18.135	1.47
CXCR4	181.82	251.21	142476.5	13801.575	102160	1805.075	2.965	1.78	12.71	74.895	21.39
CXCR5	11.1	0.2	102	116.345	2	2.345	0.11	1.63	0.02	0.05	0.015
CXXC5	10.47	0.32	94	136.13	68.5	72.63	16.62	21.01	3.42	0.06	7.105
CYB561A3	23.58	5.68	246.5	419.345	380.5	407.345	24.12	11.26	6.765	1.185	1.455
CYFIP2	29.38	59.7	4163	5509.63	6200	4815.13	0.605	6.18	2.83	19.92	12.35
CYSLTR1	1.59	4.68	2	0.225	23	15.195	0.115	0.19	3.34	2.86	0.775
DANCR	6.65	13.94	725	320.935	1010.5	834.935	1.395	5.57	1.595	0	1.15
DGKA	13.48	138.59	1276.5	2300.57	1256	3314.07	1.605	2.73	5.525	9.13	1.745
DMXL2	0.13	1.63	98	53.575	45	133.575	40.575	24.21	45.395	20.2	0.115
DNAJB1	10.66	53.84	34117.5	2769.635	25736.5	1723.635	5.01	10.61	4.92	8.905	4.315
DNAJB5	0.04	0.18	48.5	104.63	39	116.63	3.715	0.62	0.125	0.5	0.05
DOCK9	2.07	24.59	915.5	1173.355	976	1564.355	0.11	0.13	0.105	0.21	1.725
DYSF	0.01	0.02	46.5	18.05	146.5	63.55	1.575	14.2	4.63	38.59	0.165
E2F5	14.69	0.83	48	81.695	26	106.695	0.09	0.19	0.045	0	0.41
EEF1A1P5	16.96	26.24	10839.5	3194.42	12149.5	4265.42	4.435	7.04	9.99	0.22	4.08
EEF1B2	192.03	370.1	25674	7994.7	29299.5	12185.7	59.77	73.87	56.54	2.37	29.91
EPHA1-AS1	0.06	3.06	10.5	19.215	15.5	8.715	0.035	0.27	0.35	0.415	0.04
ETS1	21.51	213.64	74836	42348.47	90033.5	34409.97	0.475	0.32	0.685	0.595	24.905
EVL	27.86	190.55	2936	3983.03	5034.5	1937.53	42.525	213.38	4.735	0.615	21.54
F5	0.01	1.17	0.04	7.025	6.025	1159.025	0	0	4.055	5.235	0
FABP5	0.47	0.83	213	159.11	169	1033.11	93.03	462.83	1.09	0.04	0.32
FADS3	8.61	0.43	79	54.645	44.5	106.645	2.665	8.29	0.445	0.235	0.16
FAIM	0.33	0.93	66.5	67.735	88	198.735	12.355	38.17	0.26	0.005	0.65
FAM153A	0.44	11.75	1.675	0.835	28	6.175	0	0	0.035	0	0.005
FBLN7	0	1.77	1.1	2.1	2.6	8.1	0	0	0.005	0	0.005
FCMR	16.39	40.25	1993	3791.7	1551	743.7	3.255	39.61	0.16	1.01	5.45
FCRL3	14.34	0.57	278.5	1826.59	101.5	171.59	0	0	0.04	0	3.925
FGD2	14.45	0.06	17	6.2	3	10.7	1.73	20.32	14.51	0.01	0.04
FH	1.92	5.9	318.5	372.785	436.5	1186.785	22.78	117.71	3.26	0.045	1.15
FHIT	0.98	22.72	15.5	4.745	29	10.245	0.825	2.42	0.42	0.01	0.245
FRAT2	0.81	3.37	590.5	317.865	509.5	162.865	2.47	8.6	6.08	62.27	1.795
FUCA2	0.29	0.73	86	147.68	98.5	151.68	15.055	28.09	4.76	0.17	0.775
FYN	10.61	89.78	33291.5	18116.085	23472	8247.585	2.73	21	20.265	0.07	25.87
GALNT12	0.22	2.54	40	51.615	61	50.115	2.315	68.96	0.035	0	0.3
GAS5	95.91	224.33	10015	3056.08	9579.5	6681.58	12.615	14.2	20.465	4.415	8.135
GCA	2.3	2.47	50	122.27	23.5	296.77	7.905	10.47	22.665	159.585	0.12
GIMAP7	0	54.01	1288.5	4738.21	2258	1402.21	0.345	0.07	5.25	0.005	11.515
GM2A	2.78	1.26	103.5	451.9	130.5	299.9	223.575	816.21	10.86	2.585	0.395
GNG7	4	0.38	15.5	21.065	12	19.065	0.02	0.61	0.095	0.575	0
GNLY	0.07	1.26	4733.5	333.56	13849.5	610.56	0.01	0	0.625	0.125	283.915
GPC2	0.56	1.75	8	10.245	4.745	4.245	0.065	0.03	0.04	0.395	0.025
GPR68	0.05	0.14	253.5	637.455	216	494.955	2.87	0.04	0.025	0.05	1.27
GRN	3.35	2.23	144.5	544.27	145	325.77	149.555	207.76	96.57	31.075	1.24
GSN	1.13	0.92	41.5	66.095	34.5	44.595	143.925	60.45	6.84	19.835	5.345
GSTO1	2.01	8.95	742	683.18	810.5	989.68	103.215	264.26	18.465	3.095	3.1
GZMK	0	2.47	1313.5	1904.34	481	231.84	0	0	0.085	0	0.83
GZMM	0.02	8	4342.5	1175.24	3082	458.74	0	0.01	0.135	0.105	24.88
HAPLN3	0.82	14.87	303	102	363	736	0.295	0.01	0.175	0	0.045
HAVCR2	0.42	0.96	46.5	49.855	64.5	81.355	43.39	146.22	4.695	0.055	4.55
HDAC9	13.59	0.12	79.5	127.135	54.5	310.135	4.665	4.15	5.995	0.69	1.09
HEXB	4.32	10.82	618	869.57	752	949.57	87.005	440.83	31.59	6.35	3.94
HIP1R	45.1	12.13	716	888.555	626.5	604.555	0.025	0.16	0.08	0.1	1.48
HLA-DMA	91.15	1.61	147	162.245	86	27.245	9.44	62	28.685	0.97	0.47
HLA-DMB	91.33	0.94	21.5	21.94	8.5	4.655	10.465	58.9	41.62	0.435	0.6
HLA-DOA	28.31	0.46	24.5	26.22	12	10.22	0.17	0.06	1.715	0	0.05
HLA-DPA1	163.54	1.97	1228	1344.1	1062.5	627.6	15.605	49.23	62.515	0.025	1.985
HLA-DPB1	173.01	3.2	161.5	95.965	184	53.965	8.265	23.44	47.355	0.02	2.03
HS3ST3B1	0.14	2.29	117	102.07	383	299.57	2.96	0.1	0.175	0.125	0.77
HVCN1	19.94	1.59	42.5	70.815	40.5	156.815	8.415	20.73	9.315	6.625	0.785
ICAM1	0.94	0.33	606.5	165.905	308.5	717.405	40.995	1.13	23.54	13.505	0.47
ICAM3	23.13	33.84	2333	615.835	2339	398.835	0.93	3.6	28.795	118.385	15.04
IER3	0.1	0.68	6.5	8.265	1.765	64.765	28.88	0.37	132.065	13.605	0.15
IFITM1	2.81	97.34	3046.5	496.645	4037	414.145	0.595	0	1.185	103.53	39.12
IFITM2	6.7	98.9	1034	448.03	1116	461.03	2.475	3.21	13.03	680.955	68.915
IGSF6	0.03	0.06	80	40.56	57	16.56	63.755	103.5	20.31	34.085	0.055
IL32	0.01	39.22	3636	3394.58	3725	7650.08	2.28	0	0.625	1.58	12.775
IL6R	0.04	12.65	9	27.305	20.5	279.805	7.065	12.52	8.95	31.66	0.005
IL7R	0.05	200.08	12286	22928.145	12412	7089.645	6.285	0.57	0.66	0.005	0.2
INPP4B	0.01	29.31	390.5	2627.365	843	9292.865	0.015	0.03	0.125	0	0.015
IRAK2	1.02	0.41	69	216.27	42.5	300.27	3.245	0.44	0.26	0.32	1.185
IRF8	60.36	0.81	112	49.67	63	865.67	13.47	30.26	18.095	0.01	2.99
ISG20	16.39	22.19	2444	651.77	2261.5	185.27	1	0.14	1.38	35.585	5.285
ISM1	0	1.73	0.18	0.63	9	7.63	0.055	0.1	0	0	0
ITGB5	0.03	0.11	13	10.76	1.26	6.76	30.5	26.73	0.205	0	0.01
ITGB7	6.17	30.23	529.5	885.6	677.5	1310.1	0.945	0.27	3.095	0.05	11.68
ITK	0.01	100.92	7082.5	5191.84	10910	9845.34	0.03	1.15	0.31	0.005	5.855
KIAA0930	0.86	1.43	323	669.27	214.5	725.27	63.56	111.01	13.46	1.54	1.225
KIFC3	0.02	0.02	48	73.1	18	69.6	10.965	4.3	0.185	0.215	1.865
KLRD1	0	0.09	1530	3769.285	4371	4473.285	0	0.05	0.1	0.09	28.33
LARGE1	8.09	0.13	2	2.02	0.52	7.02	0.3	1.11	0.015	0	0.05
LAT2	6.01	0.29	23	35.97	8.5	45.97	9.4	5.55	20.2	27.435	8.235
LCK	0.89	72.03	3994	6616.84	4764	5737.34	0	0	0.2	0	17.585
LDHB	11.89	254.7	8952	4234.465	14889.5	18723.965	62.84	121.21	13.215	0.055	10.03
LDLRAP1	0.5	26.63	439	933.765	460	306.265	4.255	6.67	0.895	0.025	0.72
LEF1	0.43	176.06	113	128.37	444	1023.37	0	0	0.255	0	0.465
LGMN	1.35	1.51	27.5	4.615	6	19.615	30.575	6.26	0.145	0.01	0.035
LINC00926	156.53	0.38	9.5	8.305	3.5	4.805	0.4	0.13	0.26	0.01	0.095
LIPA	2.96	8.87	1026	2083.05	1221	1702.55	456.46	3513.83	18.19	0.485	3.61
LSM7	17.94	14.38	1125.5	522.845	1284.5	1298.345	10.83	17.55	7.515	0.43	5.525
LST1	4.58	3.05	81.5	16.115	43.5	61.115	26.835	13.87	88.425	136.28	0.375
LTB	33.59	89.8	830	1142.565	1077.5	2319.565	0.07	0.05	1.245	21.375	1.185
LY9	20.05	17.02	1492.5	3148.61	1875.5	429.61	0.83	1.13	0.175	0	2.15
LYAR	0.41	4.1	5195	1228.17	4993	2725.17	2.705	2.54	2.445	0.385	2.785
MAL	0	47.19	13	7.785	205.5	41.285	0	0.02	0.085	0	0
MAP4K1	9.73	10.41	1146	1159.335	1190	863.335	0.075	0.07	1.815	0.01	2.58
MARCH1	16.15	0.01	13	51.005	1.005	78.505	20.83	2.69	20.69	0.02	0.01
MATK	0.8	1.17	4020	753.38	3884	1114.38	30.085	44.08	0.065	0.02	19.81
MBOAT7	1.15	1.86	63.5	154.235	58.5	183.235	6.475	10.87	11.595	94.025	0.445
MCUB	4.05	30.64	2204.5	1733.02	2866.5	986.52	2.33	7.33	5.92	0.015	1.175
MDFIC	2	20.23	3054	5545	4720.5	9263.5	10.26	20.78	2.945	0.01	0.98
MDH1	9.99	26.27	1665	1589.91	2194.5	3132.41	85.305	350.22	8.505	0.48	6.185
MDS2	0.4	2.86	3	4.04	2.5	3.54	0	0	0	0	0
METTL1	0.49	1.57	94	62.485	76	717.985	11.75	10.54	0.35	0	0.155
METTL7A	4.69	0.12	45.5	115.695	105	101.195	4.665	5.73	9.87	0.045	1.985
MGST3	1.72	8	459.5	555.865	569	242.365	58.09	222.87	8.85	0.46	2.515
MICU3	0.75	3.18	5.5	6.285	7	30.285	0.065	0.07	0.025	0	0.205
MINDY1	0.65	5.76	5.5	5.26	14	70.76	1.875	4.92	1.95	12.085	0.265
MMP14	0.13	0.11	19	2.075	9.5	3.075	32.015	7.55	0.61	0.04	0.005
MMP25	0	0.04	13.5	43.76	15	49.26	0.115	0.02	1.11	97.075	0.04
MMP9	0.02	0	29	0.005	13.5	0.005	863.895	0.74	0.135	21.065	0
MNDA	0.83	0.01	29	66.14	0.205	0.205	24.155	67.15	114.62	412.51	0.005
MREG	0.27	1.02	103.5	209.75	71	237.75	55.78	88.2	0.07	0.05	0.15
MRPL15	0.84	2.91	249.5	273.03	323.5	1506.53	16.57	18.04	2.175	0.03	0.985
MS4A1	106.06	0.04	100.5	342.755	34.5	11.255	0	0	0.155	0	0.065
MSRB1	0.33	0.57	58	205.215	55.5	257.215	2.505	60.69	7.7	41.025	0.47
MT1E	0.02	0.53	93.5	21.465	132	12.465	35.745	46.55	0.16	0	0.035
MYC	5.41	23.08	663.5	516.28	676.5	7609.78	5.26	1.42	0.74	0	0.135
MYO1D	0.84	1.57	245.5	264.01	182	489.01	2.415	0.23	0.13	0.03	0.13
NAGA	0.5	1.25	150.5	570.49	111	581.99	8.99	19.09	13.34	0.16	0.68
NCAPH	0.04	0.06	183.5	114.405	256.5	185.905	21.43	135.51	0.065	0.04	0.13
NCEH1	0.26	0.42	41	189.91	68	436.91	35.27	89.89	1.63	0.02	0.21
NCF1	12.28	0.15	33.5	23.08	17	4.58	29.055	0.07	36.945	120.025	0.05
NCF1B	9.94	0.15	24.5	19.625	17	1.625	4.72	0	12.38	52.58	0.025
NCF1C	5.49	0.11	5.5	7.045	2.045	0.545	9.15	0.03	10.365	42.16	0.025
NCF2	0.64	1.01	91.5	9.57	70.5	74.07	142.14	170.14	85.185	162.68	0.015
NCK2	9.66	25.96	1118.5	768.275	1016.5	569.775	4.715	3.17	1.72	4.015	1.645
NELL2	0.01	53.67	3373	3802.88	3795.5	2637.38	0	0	0.15	0	0.04
NHP2	6.52	12.77	508	405.04	632.5	1826.04	12.03	19.22	5.11	0.045	3.07
NKG7	0.11	1.79	18587	5777.195	16557	6608.695	1.4	0	1.52	0.25	240.855
NMB	0.18	0.42	50.5	34.285	42	26.785	1.5	24.73	0.09	0.075	0.24
NOP53	121.14	164.61	29734.5	9149.845	26556	4416.345	8.655	15.66	28.785	0.995	27.715
NOSIP	2.24	57.09	707	712.685	1421.5	842.685	7.655	12.2	4.44	6.2	4.36
NPC2	15.11	8.96	653	251.35	590	130.35	114.74	296.04	50.555	14.53	2.23
NR1H3	0.15	0.92	5.5	51.11	3	41.11	184.185	55.85	1.05	0.25	0.875
OSBPL10	20.72	0.02	30	0	16	17.025	0.015	0.02	0.045	0	0.02
P2RX5	33.58	3.06	30	80.03	23	52.53	0.015	0.49	0.29	0.045	0.19
PAG1	0.6	25.25	5346.5	4252.43	8101.5	9430.93	2.86	0.87	2.425	6.23	0.685
PCED1B-AS1	4.08	120.92	1447.5	1335.16	1844	1640.66	1.33	4.27	1.08	1.2	15.79
PDCL3P4	0.35	1.87	2.5	3.435	5.5	6.935	0.03	0.12	0.075	0.05	0.075
PDE4B	19.32	19.17	13378	1988.815	9515.5	1997.815	1.66	0.01	46.955	38.97	0.925
PEBP1	10.03	23.5	3558.5	1551.575	3852	2465.075	23.47	61.84	3.52	0.025	2.475
PEPD	1.1	4.29	260.5	496.87	370.5	775.37	25.655	127.88	5.77	0.015	2.3
PGD	1.78	4.26	673	827.41	953	2148.41	106.605	162.93	43.005	38.83	1.385
PIK3IP1-AS1	0.31	2.2	27.5	5.175	29.5	2.675	0.02	0.11	0.02	0.15	0.035
PIM2	70.41	55.06	2609	1425.745	1953.5	3475.745	1.76	2.69	2.44	28.8	3.41
PKIG	6.71	0.35	74	6.07	68	18.57	0.57	1.6	0.12	0.01	0.02
PKM	14.22	41.36	3646.5	10985.06	3843.5	35155.56	367.83	626.85	81.71	5.07	7.11
PLA2G15	0.77	1.13	98	106.575	108.5	133.075	10.535	30.82	1.205	0.215	0.185
PLAC8	27.52	50.03	2399	389.615	2352.5	79.615	0.535	0.38	12.4	0.48	33.05
PLAUR	0.03	0.17	78	22.215	58.5	30.715	163.71	75.18	61.725	45.385	0.105
PLCG1	6.05	69.6	1219	2239.84	1256.5	1898.84	0.91	3.98	0.445	0.03	2.94
PLD3	3.18	9.59	374.5	753.255	373	413.255	141.19	242.63	19.89	1.46	4.97
PLD6	0.09	2.16	22	34.81	42	310.81	0.47	0.16	0.05	0.1	0.015
PLPP5	33.06	3.91	586	411.405	452	576.405	3.47	10.81	1.135	0.61	0.58
PLXNC1	2.23	3.6	517.5	943.455	392	673.455	18.16	69.29	14.325	69.145	0.56
PPT1	1.89	12.71	805	1709.98	1507	3660.98	110.585	293.76	43.74	30.43	1.035
PRDX1	3.08	13.22	1168	1425.675	1254	8592.675	321.5	264.92	15.9	0.08	2.485
PRF1	0.02	1.88	4924.5	2635.775	4926	1760.275	0	0	0.25	0.015	135.49
PRKCH	0.12	57.29	17519.5	9949.49	15506.5	4251.99	1.77	9.82	1.4	1.335	23.785
PRKCQ-AS1	0.05	131.21	300	610.84	585	1576.84	0.075	0.11	0.23	0.025	3.845
PRXL2A	0.43	1.39	35	69.79	38.5	216.79	21.855	12.8	0.165	0	0.05
PTAFR	0.07	0.08	7	18.06	0.105	29.56	8.64	0.19	9.395	25.955	0.02
PTPRK	6.81	0.36	11	1.625	10.5	165.125	0.03	0	0.005	0	0.01
RAB3D	0.23	0.61	71	106.98	58.5	79.48	1.175	2.16	9.395	14.47	0.28
RACK1	569.67	803.59	43855	15288.95	47639	21255.95	185.705	252.12	260.92	10.43	105.655
RALB	3.54	1.86	346.5	716.835	357.5	777.335	15.62	34.22	10.07	34.01	1.555
RALGPS2	31.34	3.11	57.5	67.995	127	96.495	0.395	0.9	0.855	2.56	0.32
RARRES3	2.74	38.08	3026	1840.59	3273	240.09	0.725	0.98	4.155	1.07	22.73
RASGRP2	41.32	77.08	6102	263.995	5958.5	109.495	0.065	0.16	9.055	16.84	8.98
RASGRP3	21.98	0.73	46	21.505	61.5	68.505	11.6	17.25	0.085	0.045	0.025
RCSD1	13.63	22.13	1056	2673.14	2124	1544.14	1.735	1.26	19.625	14.7	6.42
RGS10	0.92	47.84	1540	1042.305	2287.5	1088.805	11.33	15.26	9.34	0.635	0.35
RHOBTB2	2.68	0.48	65	193.965	73.5	189.465	3.365	25.16	0.63	0.015	0.565
RNASET2	25.53	35.51	503	213.885	581	178.385	16.485	47.98	35.675	83.79	3.15
RNF130	1.52	3.16	309	344.835	410	518.335	28.23	72.02	33.205	31.105	1.07
RPL10	901.09	1701.69	93778.5	18332.85	93993	17726.35	197.15	331.56	344.755	8.14	174.575
RPL10A	353.82	718.55	40087	12549.135	44741.5	11965.635	106.495	163.5	108.93	0.655	59.53
RPL13	990.01	1211.44	67781	23136.625	60425.5	15464.625	145.19	175.06	250.555	4.56	140.51
RPL13A	777.78	1208.46	108633.5	35791.145	111891.5	28412.645	163.51	284.3	211.125	10.745	122.115
RPL13AP5	17.18	13.99	2091	758.89	2069.5	504.39	2.57	4.23	4.28	0.2	2.46
RPL18	538.39	721.04	37975.5	11586.605	40632.5	9764.605	110.055	160.99	167.07	5.385	85.715
RPL18A	755.6	722.5	21616.5	7063.97	22908.5	7050.97	125.715	188.75	167.44	2.54	73.46
RPL23A	505.44	1073.65	39471	13577.055	42764	12366.555	120.24	218.13	172.995	3.215	126.785
RPL31	485.08	1336.78	57160.5	19407.135	59096.5	15076.635	144.625	264.59	241.27	8.695	107.11
RPL35	488.39	697.78	23624.5	7457.11	26389.5	8102.61	160.785	194.75	136.52	2.405	90.965
RPL36	200.16	410.74	25606	7077.715	22521.5	5904.715	72.275	104.88	75.01	2.53	32.825
RPL37A	759.73	1597.1	66242.5	22873.715	74959	22143.215	319.66	574.13	306.75	7.18	159.97
RPL8	538.12	520.34	44681.5	13051.585	44764	16758.085	140.65	213.93	175.72	7.39	68.595
RPLP0	384.79	554.86	68042	23634.34	76324.5	44153.34	172.125	404.41	123.58	1.095	51.13
RPLP2	642.43	1228.3	73488.5	24427.265	65705.5	11505.265	156.975	219.28	175.26	6.77	98.315
RPS12	527.3	1388.27	78708	26668.655	81956.5	15857.155	145.97	246.82	170.435	2.105	89.315
RPS18	1019.96	1937.42	65039	8637.555	32545.5	43080.555	218.67	316.15	256.6	3.95	129.205
RPS20	585.03	1293.69	82237	24351.23	85225	21032.23	219.605	546.79	176.61	4.825	89.85
RPS21	395.49	752	20347.5	6760.98	20856	4820.98	131.025	198.29	137.335	4.47	80.395
RPS23	791.48	1355.91	35357	11816.425	38096.5	11951.925	162.555	287.06	231.59	3.43	96.04
RPS4X	263.32	454.17	99410.5	28914.655	117296	20657.155	69.165	83.33	91.375	0.825	45.435
RPS5	335.42	477.8	24497	7295.7	25189	9821.7	77.085	124.19	62.03	2.11	39.515
RPS8	527.69	1020.74	46277	13989.525	48746	20523.025	140.885	265.35	188.09	3.805	68.925
RPSA	409.89	584.02	47694.5	14305.78	54217.5	27138.78	126.9	189.24	73.725	2.04	72.025
RRAS2	19.24	2.52	1402.5	412.54	1381.5	1870.54	0.365	8.08	0.035	0.015	3.455
S100A10	1.67	17.27	3180.5	1408.46	5848	1307.46	50.51	61.43	51.58	0.13	5.52
SAMD3	0.01	13.41	2480.5	2212	3055	361	0	0	0.17	0.005	30.485
SCCPDH	0.21	0.56	112.5	115.365	390.5	738.865	7.095	41.39	1.745	0.14	0.605
SDC4	0.01	0.04	54	357.165	128	3258.665	15.505	28.85	0.365	0	0.015
SEL1L3	32.64	8.31	1602.5	2159.295	1967.5	3409.295	1.61	42.43	0.42	0.365	1.825
SELENOW	3.94	26.3	1147.5	739.55	1320.5	383.55	27.54	94.46	8.865	0.245	9.55
SEMA4A	1.01	0.11	128	296.845	48	350.845	3.15	0.08	8.57	14.775	0.025
SEMA4B	10	0.71	241	213.065	150.5	132.565	0.445	0.49	2.31	9.565	0.27
SIGIRR	4.45	34.12	1332	733.73	1400	274.23	1.445	4.86	6.4	1.12	12.15
SIPA1L3	12.13	1.84	290	547.89	350	412.89	0.695	1.62	1.28	0.445	0.45
SLC11A1	0.12	0.05	62.5	9.06	41.5	0.025	21.2	4.73	37.61	118.055	0.03
SLC22A23	0.02	1.47	2.5	24.02	20.5	41.52	0.09	0.01	0.015	0	0
SLC27A1	0.19	0.69	105.5	123.7	78.5	104.7	2.46	2.68	2.315	0.005	0.49
SLC2A6	4	0.19	79.5	71.515	42	122.515	21.94	1.42	9.855	0.01	0.13
SLC39A8	2.53	5.5	2963.5	849.755	3948.5	3176.755	105.3	0.88	2.06	0.19	1.155
SLC40A1	0.02	7.29	22	11.81	46.5	27.81	0.045	0.45	2.965	10.525	0.01
