	M1	M2	Mono	TAM_patients
DENND2A	0	0	0	0.105104905945936
DNAI2	0.00931469683228	0	0	0.462687889082556
DNER	0	0	0.015519139637727	0.047824954815841
DOC2A	0	0.099840039958349	0.030648855155661	0.769635012237209
DOC2B	0.009741425024717	0	0	0.665057047252346
DOK7	0	0.008107914460881	0	1.06961302317795
DRC1	0.291859866850876	0.011277906373559	0	0.250158060658517
DRICH1	0.025192737867052	0.023597059259116	0	0.228184281349291
DTX1	0	0.617992947476778	0.089495523166192	0.71432074930005
DUOX2	0	0.042399252590335	0	1.78102446694819
DUOXA1	0	1.14130668423526	0	1.95463629885904
DUOXA2	0	0	0	0.913897264025959
EDN2	0	0	0	1.56508952200889
EDN3	0	0	0	0.115297578451894
EFHD1	0	0	0	0.217336832893214
EFS	0	0	0	1.09602319605581
EGFL6	0.011822524884357	0	0	0.167691820282871
EGFLAM	0	0	0	0.035346796671839
EGR4	0	0	0	1.70573806272986
ENAM	0	0	0	0.358145385327675
ENKUR	0	0	0	0.141828702728095
ENTPD2	0	0	0	2.69000773675725
EPHA10	0.057596240792913	0	0	0.440470994620757
ERG	0	0	0	0.180153658622871
ESM1	0	0	0	0.289058902971961
ESPNL	0	0.050593990405053	0	0.17356095976098
ETV1	0	0.006182943737181	0.250015965251453	0.782944870497617
ETV3L	0.383151280398004	0	0.190271200736696	0
EVPL	0.014697092863991	0	0	2.69822788187841
EYA1	0	0	0	0.01954106399742
FAM110C	0	0	0	1.44571074369089
FAM110D	0	0	0	0.908552044385004
FAM166C	0	0	0	0.258340959035784
FAM181A	0	0	0	0.769621767402494
FAM221B	0	0	0	0.184115303755722
FAM227A	0	0	0.005690461932392	0.488890380700175
FAXC	0	0	0	0.152942192118305
FBLN2	0	0.009528179924021	0	0.64022124129778
FBN3	0	0	0	0.135700268312262
FBXL7	0	0	0	0.026221591628765
FBXO17	0	0	0	0.292754973425552
FBXO2	0.265477438257555	0.016420770284927	0	1.20272812272608
FBXO39	0.13583012549062	0.013551735152276	0	0.40901579943721
FGD1	0	0.006100156568083	0	0.294410749748483
FGFR2	0	0	0	0.766802622864642
FHOD3	0	0	0	0.125631683488979
FIGN	0	0	0	0.114128404190768
FIGNL2	0.024303654863427	0.009172320179176	0	0.266765376236226
FMO3	0	0	0	0.226106445001914
FNDC11	0.2070921979225	0	0	1.3625152599141
FOXC2	0	0	0	1.48762202904408
FOXF2	0	0	0	0.653793362041626
FOXP2	0.001876982194731	0.00051137674386	0	0.031543661531232
FOXQ1	0	4.31980400117468	0	4.1178581261787
FRAS1	0.002498033450147	0	0	0.182224064459903
FSTL4	0	0	0	0.032871389805669
FUT3	0	0	0	2.65427796861609
FXYD3	0.253430360037995	0	0	3.18017054032567
FZD10	0	0	0	1.39752942969468
G6PC	0.027505582365711	0	0.440621380459556	0
GABRP	0	0	0	1.39325196619308
GALNT18	0	0.018412319268012	0	0.205464149545033
GAP43	0	0	0	0.084994294407094
GGT6	0	0	0	2.07995624088878
GIPR	0.137364740841561	0	0	1.76539366590544
GJC1	0	0	0.238947496489938	0.859444376878409
GLI2	0	0	0	0.075014682554764
GNB3	0	0	0	0.654082761300821
GPR17	0	0	0	1.39664707820256
GPR39	0.019681829006989	0	0	0.162713357642254
GPR4	0	0	0	0.499793283362084
GRAMD2A	0.034939944068281	0.024245898123534	0	0.442415572337872
GRIK2	0	0	0	0.018598515218097
GRIN1	0.050125910320906	0	0	0.447030579754972
GULP1	0	0	0	0.223489864050856
HCN4	0	0	0	0.049341803250811
HDC	0.179652810065634	0.011413565928474	0	2.13863507582805
HHIPL2	0.011711772126084	0	0	0.359337210250938
HMCN2	0	0	0	0.187850661842257
HOXA6	0	0	0	0.732047937887621
HS6ST2	0	0	0	0.062779048580451
HSD17B1	0.153556406088507	0.392821701704861	0	2.08984916672703
HSPB8	0	0	0	0.678263327242652
HTR1D	0	0	0	1.45537158275984
HTR3A	0	0	0	0.477907581367933
HTR4	0.040942707074272	0	0	0
ID4	0	0	0	2.11131383546922
IFITM5	0.206708781105591	0	0	2.50979058156127
IGFBP5	0	0	0	3.03426867725394
IGSF10	0	0.102150760704268	0.183705696331885	1.23451053289486
IGSF9	0	0	0	1.20466763249509
IL1RAPL2	0	0	0	0.006180929423954
IL20RA	0	0	0	0.189911578433345
IL33	0	0	0	1.07308111464766
IQCA1	0	0	0	0.061743412871386
IRX1	0	0	0	0.748785528825203
IRX2	0	0	0	1.45864400824097
IRX3	0	0	0	2.72208454445812
KANK3	0.150120431153511	0	0	0.514280475057248
KCNH2	0	0	0	0.689184249980519
KCNIP3	0	0.068256578141554	0	0.067996096143951
KCNK1	0	0.023327133424063	0	1.1235919076705
KCNK12	0	0.029770062174181	0.017756211724573	0.241599763756631
KCNN3	0.001951663171151	0	0	0.281439332891514
KCNQ4	0	0.005016393308208	0	0.143478213090545
KHDRBS2	0	0.001878393095893	0.004424168321597	0.025424177291719
KIF26A	0	0.006734712793443	0.007756608762311	0.355534645285336
KIR2DL3	0	0	0	0.175022647271551
KIR3DL1	0.021054360909421	0	0	0.265206256877193
KLK10	1.19456256727861	0	0	2.30013593849106
KLK11	0	0	0	2.39183753414155
KLK7	0	0	0	1.63985765599051
KPNA7	0	0	0	0.36641987304871
KRT15	0	0	0	2.81908708805025
KRT19	0	0	0	5.81517704280513
KRT80	0	0	0	1.37117685049584
KRT81	0	0	0	1.02283069763134
KRTAP5-1	0	0	0	2.68063105929672
LAMA4	0	0	0	0.595215897260207
LAMC3	0	0	0	0.521553515256508
LGR6	0	0	0	0.309178997416758
LMCD1	0.008323153031129	0	0.030282089112026	1.12620948489323
LMNTD1	0	0	0	0.050593159019821
LRAT	0	0	0	0.062004405846555
LRATD1	0	0	0	1.49553655242978
LRRC10B	0	0	0	1.99785170522227
LRRC4B	0.007353364113972	0.005513517235941	0	0.351245891720658
LRRC56	0.042832618250572	0.046478673759188	0	1.64692186776405
LTC4S	0	2.60279427721407	1.05252692581026	1.44904641393123
LURAP1L	0.007003467900919	0	0	0.811095743614334
LY6D	0	0	0	2.30703628675061
MAB21L4	0	0	0	1.06120975448926
MAGED4	0	0	0	1.50461955859245
MAGED4B	0	0.036478028681706	0.029739721133105	1.99582158541696
MAOB	0.154848299910908	0.007114687497296	0	1.15983253549931
MAP6	0.008181025113564	0	0	0.201535934432584
MAPK15	0	0	0	2.64553381858016
MARCHF4	0	0	0	0.042662023711044
MDFI	0	0	0	1.42233685275564
MEP1B	1.2942886105271	0	0.009250301315546	0.017518080400597
MFAP2	0.060207896918749	0	0	2.16301440261045
MS4A2	0	0	0	2.66293773873883
MSX2	0	0	0	0.803446453636402
MUC12	0.024391493674246	0	0	0.565078123824015
MUC16	0.00458549453026	0	0	2.74076173283738
MYH14	0	0	0	1.61761607632586
MYH7	0.098137865319007	0	0	0
MYOM3	0	0	0	0.355089808538847
NELL1	0	0	0	0.011580440843982
NFATC4	0.023946673313992	0	0	1.73538888713978
NGFR	0.126693189722772	0	0	0.565415268988317
NKD2	0	0	0	0.626017222901356
NPNT	0	0	0	0.316000652202743
NPR3	0.02921515402731	0	0	0.352491572470865
NPSR1	0	0	0	0.054877891416006
NR2F1	0	0	0	0.90221463724264
NTF4	0	0	0	0.484102155692899
NTRK1	0	0	0	0.313222470593434
NTSR1	0	0.061473728570299	0.132093663833952	0.867866619900682
NWD1	0	0	0	0.389447974288578
NYAP1	0.034382447947037	0	0	0.704516054201397
OLFM4	0	0	0	0.660031372069261
ONECUT3	0	0	0	1.58216582622671
OR1F1	1.52343655472275	0	0	0
OR2W3	0.279557521260984	0.263803974999467	1.92484617618867	0
PABPC4L	0	0	0	0.58586489274304
PCDH7	0	0	0	0.170902969977547
PCDHB13	0	0.203162218362206	0.122034273788538	2.18763243544681
PCDHB5	0	0	0.179932621297896	0.970432547174036
PCDHGB1	0	0.003379676360119	0.008218241978266	0.097959143153868
PCSK9	0	0	0	0.819681567519859
PDE10A	0	0	0	0.017694070846906
PDZRN3	0.001391252696802	0	0	0.027149476992358
PENK	0.073348141312323	0	0	0.288040004690819
PGR	0	0	0	0.127803044094424
PHYHIP	0	0.144674200865878	0.069781548523657	0.370603094874022
PID1	0.001806573646216	0.041080193561009	2.06550123261182	0.185086797740384
PKHD1	0	0	0	0.177559853932126
PLA2G4D	0	0	0	0.204276900397659
PNCK	0	0	0	0.436650106038646
POSTN	0	0	0	2.31967208070391
POTEM	0	0	0	0.15866127913337
POU3F1	0	0.099690428041023	0	1.56241749816475
PPP2R2C	0	0	0	0.206951852266302
PRDM16	0.001029131367283	0	0	0.268967305023358
PRICKLE4	0.044638198910439	0	0	1.47484812359602
PRKCG	0.01179258875607	0	0	0.233711095383361
PRKG1	0.00077435050416	0	0	0.018543220716451
PRR15	0.17837484470898	2.74446141774361	0	2.16565510289638
PRR36	0	0	0	1.15988244195566
PRR5-ARHGAP8	0	0	0	0.07811433914172
PRR7	0	0	0	0.632989636158098
PRRT2	0.732465098389409	0	0.048476104123695	2.72820589444709
PRRX1	0.229467165437477	0	0	0.415348159137665
PRSS22	0	0	0	3.31717545805502
PTGIS	0	0	0	0.515858151135037
PTHLH	0.05063307442879	0.106989849633661	0	1.45935018141829
PTN	0	0	0	0.364275799738667
PTPN3	0	0	0	0.935461561190509
PTPRF	0.264670064981948	0.034117596913434	0	2.36839469638433
PTPRZ1	0.001610170712749	0	0	0.440443894258857
RAB3B	0	0	0	0.350785192909049
RAI2	0	0	0	0.143471383326027
RAMP3	0	0	0	1.00656490988442
RARRES2	0	0	0	2.31698409294741
RASL12	0.016158362881062	0	0	0.436819715220685
RASSF10	0	0	0	1.7513177452346
RBBP8NL	0	0	0	0.435978928901135
RD3	0	0	0	0.450429800273997
RDM1	0.139488650684913	0	0.461917279027465	0.047973259912795
RGS13	0.013870491168319	0	0	1.21687309372445
RHBDL1	0	0	0.101108873451568	1.57999962837531
RHOJ	0	0	0	0.232152549897156
RIBC2	0	0	0.29099310004089	0.680796525039979
RIMS1	0	0	0	0.037747971448954
RIPK4	0.032421300158488	0	0	2.39351524317147
RNF223	0	0	0	1.79128645765702
ROBO4	0.020352088690744	0	0	1.70599475904812
RORC	0	0.062205755948005	0.031655494637679	1.7412170583167
RSPH1	0	0	0.027891850514072	1.16327331086928
RSPO3	1.43018905281132	0	0	0.006859038900902
RTN4RL1	0	0	0.015124533237217	0.147998368414372
RYR2	0	0.000359832506415	0	0.084894939746948
S100A14	0.554899972385365	0	0	4.51772451311861
S1PR3	0.324601038883456	0	0	1.76225437523454
SCG3	0.526390902790932	0.342658563396985	0.117420697273796	0
SCN8A	0.011891741751849	0	0.004415826083145	0.17805504525451
SCNN1B	0	0	0	0.544146544812073
SCUBE1	0	0	0	0.608437516712816
SEC14L4	0	0	0	0.673109599044824
SEC14L6	0	0	0	0.786542141414724
SELP	0	0	0	0.840857697185831
SEMA3F	0	0	0	1.35914846283952
SEMA5A	0	0.003340145421408	0.007004330162505	0.135184851696461
SEMA6D	0	0	0	0.028798268864074
SEPTIN5	0	0	0	0.864219469302784
SERP2	0	0	0	0.331575339720419
SERPINB5	0	0	0	1.94752394941269
SFRP2	0	0	0	1.26943645695865
SH2D6	0.018483634671353	0.033760339604854	0	0.524776934937591
SHANK2	0	0	0	0.266026570811323
SHD	0	0	0	0.680819700932521
SHROOM2	0	0.059104292711865	0	0.520207073586782
SIGLEC8	0	1.32886983081789	0	1.7650747486075
SLC10A6	0.063105132252891	0.021053354332011	0	0.311035450509234
SLC12A3	0.113331065292034	0	0	0.249670335464719
SLC15A1	0	0	0	0.210569944788049
SLC15A5	0.022456328536017	0	0	0
SLC16A11	0	0	0	2.14448316321613
SLC24A3	0.016267729907549	0	0	0.167493229476071
SLC25A48	0.020445021157548	0.962878333186126	0.010761402510573	0
SLC4A3	0	0	0	2.22726954044968
SLC52A3	0.174777802947172	0	0	1.03495230264551
SLC5A4	0	0	0.007463692576411	0.179012727762545
SLC6A14	0	0	0	1.41361767499414
SLC6A9	1.41114850555829	0	0	0.629522055335501
SLC9A4	0	0	0	0.271019424797248
SLCO1B3	0	0	0	0.300740391609872
SLPI	2.18083029825742	0	0	5.01563013293612
SMKR1	0.0629838388831	0.058105898099774	0	0.392684591248039
SMOC2	0	0	0	0.018535954854035
SNAI2	0	0	0	1.98724804665285
SNCAIP	0	0	0	0.083717450763746
SOAT2	0	0	0	0.163818414682566
SOD3	0	0	0	1.72822094772976
SOX17	0	0	0	1.38865437094992
SOX18	0	0	0	1.81820426240451
SOX21	0	0	0	2.19630182298984
SOX9	0	0	0	3.96347221365168
SPIC	0	0.070750235484842	1.09840316143179	0
SPINK5	0	0	0	0.253888603482959
SPRED3	0.216639911940559	0.15440213436482	0	0.691250521465932
STC1	0	0	0	1.38134522417431
STC2	0.681778972850152	0	0.01503268843072	1.50505006366592
STRA6	0	0	0	1.05853700650974
SULT1E1	0	0	0	0.32345484868876
SYNDIG1	0	0	0.001136550763292	0.052256217887438
TBX1	0	0.022846916110516	0.00829620891341	0.301305786864551
TBX2	0	0	0	1.14374596580305
TBX3	0.023965371737919	0	0	0.769937942739222
TEKT1	0	0	0	0.453674289870848
TENM3	0	0	0	0.016814829249318
THSD4	0	0	0	0.14739361097788
THY1	0	0	0	1.74706082875608
TINAGL1	0.033398285871904	0	0	3.95592171582477
TMEM108	0	0	0	0.11633087408258
TMEM121	0	0	0	0.867265363107117
TMEM132B	0	0	0	0.016926834672275
TMEM200A	0	0.085042724586664	0.017771915242592	0.499782934868634
TMEM74B	1.11108031669316	0.162223998767191	0	1.07109377324713
TMEM8B	0.029376272060536	0	0.025395953019846	1.26960523136558
TMPRSS2	0	0	0	1.89116776338513
TMPRSS3	0.285219917229258	0	0	2.45635843579646
TNFSF11	0	0	0	0.357633312227056
TNR	0	0	0	0.060789791566657
TNS4	0	0	0.017219603017669	3.7761816050909
TPBGL	0	1.61862157012277	0.832793525939731	0.667377881474744
TPSB2	0	0	0	5.72127249873448
TPSG1	0	0	0	1.49142513506314
TRABD2B	0	0	0	0.051096049778838
TREML4	0.698280466359146	0	0	1.19693145727262
TRIM29	0.040113011071146	0	0	1.63855927366832
TRPC6	0	0	0	0.251747892216824
TRPM6	0.002294549572283	0.001719353226938	0	0.116645239543789
TUSC3	0.000965746019739	0	0	0.169433793072756
UBL4B	0.564631362260247	0	0	0
UBXN10	0.610185374245708	0	0	2.80199573911285
UGT8	0.030196512010949	0	0.006931137694594	0.806028539242531
USHBP1	0	0.008441677026168	0	0.285866144226826
UTS2R	0	1.04312233134733	0	0
VWA2	0	0	0	1.49601814898284
VWA7	0.622139205461989	0.026126380975274	0	1.8880659282344
WIF1	0	0	0	0.104511542489341
WNK2	0.004965353149423	0	0.004829620747901	0.323022403421156
WNT3A	0	0	0	0.040173714833511
WNT7B	0	0	0	0.745061572336711
WNT9B	0	0.335951774330223	0.018236325686217	0.020567695666383
ZBED9	0.098471382424949	0	0	0.139339069607648
ZDHHC11B	0	0	0	0.679132919279796
ZNF683	0	0.041894253944654	0.021212980818304	1.56979027348023
