Gene	V2
ARHGEF10	4781
ARHGEF10L	3598
ARHGEF11	5370
ARHGEF12	7590
ARHGEF15	3974
ARHGEF16	2612
ARHGEF17	6963
ARHGEF18	3882
ARHGEF19	2677
ARHGEF2	2612
ARHGEF25	2305
ARHGEF26	4333
ARHGEF28	4895
ARHGEF3	2616
ARHGEF38	3102
ARHGEF39	1702
ARHGEF4	3662
ARHGEF40	4601
ARHGEF5	3863
ARHGEF6	4635
ARHGEF7	2507
ARHGEF9	3056
ARID1A	7118
ARID1B	5598
ARID2	6265
ARID3A	2765
ARID3B	3804
ARID3C	1190
ARID4A	3816
ARID4B	4056
ARID5A	1953
ARID5B	5807
ARIH1	1880
ARIH2	2103
ARL1	1080
ARL11	3352
ARL13B	2314
ARL14	1089
ARL14EP	1525
ARL15	1692
ARL17A	1327
ARL2	733
ARL2BP	1760
ARL3	3634
ARL4A	1135
ARL4C	3806
ARL4D	1378
ARL5A	1473
ARL5B	6970
ARL6	1731
ARL6IP1	1778
ARL6IP4	803
ARL6IP5	1922
ARL6IP6	1332
ARL8A	1586
ARL8B	2247
ARL9	1401
ARMC1	1912
ARMC10	1271
ARMC12	969
ARMC2	1070
ARMC3	1435
ARMC4	3218
ARMC5	2903
ARMC6	1578
ARMC7	1673
ARMC8	2375
ARMC9	2066
ARMCX1	1915
ARMCX2	1971
ARMCX3	2044
ARMCX5	1261
ARMCX6	953
ARMH3	3315
ARMH4	742
ARMT1	2056
ARNT	2726
ARNT2	3978
ARNTL	1595
ARNTL2	3658
ARPC1A	1381
ARPC1B	795
ARPC2	1142
ARPC3	741
ARPC4	1209
ARPC5	1005
ARPC5L	1175
ARPP19	2231
ARPP21	1040
ARR3	780
ARRB1	2624
ARRB2	1442
ARRDC1	1215
ARRDC2	2232
ARRDC3	3459
ARRDC4	3862
ARSA	1950
ARSB	4318
ARSD	3638
ARSF	1878
ARSG	1575
ARSJ	3047
ARSK	2579
ARSL	1287
ART1	1115
ART3	1317
ART4	1758
ART5	954
ARTN	730
ARV1	1166
ARVCF	2177
ARX	2693
AS3MT	1837
ASAH1	1508
ASAH2	740
ASAP1	3201
ASAP2	5429
ASAP3	3368
ASB1	1270
ASB10	1538
ASB11	2534
ASB12	1067
ASB13	2518
ASB14	2223
ASB15	2352
ASB16	1543
ASB17	880
ASB2	1575
ASB3	1830
ASB4	3584
ASB5	1341
ASB6	2861
ASB7	3539
ASB8	1719
ASB9	1181
ASCC1	1294
ASCC2	2142
ASCC3	6606
ASCL1	2281
ASCL2	1652
ASCL4	2060
ASF1A	2234
ASF1B	1422
ASGR1	917
ASGR2	1114
ASH1L	11077
ASH2L	2430
ASIC1	3711
ASIC2	3243
ASIC3	1468
ASIC4	2203
ASIC5	1082
ASIP	410
ASL	1368
ASMT	789
ASMTL	1837
ASNS	1787
ASNSD1	2020
ASPA	5222
ASPH	2082
ASPHD2	3170
ASPN	2270
ASPRV1	1977
ASPSCR1	1456
ASRGL1	1535
ASS1	1324
ASTE1	2189
ASTN1	3485
ASTN2	1629
ASXL1	3796
ASXL2	7444
ASXL3	7267
ASZ1	634
ATAD1	2501
ATAD2	4810
ATAD2B	5132
ATAD3A	2279
ATAD3B	3953
ATAD3C	1263
ATAD5	5569
ATAT1	1363
ATCAY	1982
ATE1	3303
ATF1	1075
ATF2	1936
ATF3	1681
ATF4	1221
ATF5	1536
ATF6	7198
ATF6B	2385
ATF7	4091
ATF7IP	4606
ATF7IP2	1470
ATG10	1573
ATG101	1185
ATG12	1905
ATG13	2474
ATG14	4541
ATG16L1	2172
ATG16L2	2206
ATG2A	5684
ATG2B	8288
ATG3	1116
ATG4A	1930
ATG4B	1027
ATG4C	1226
ATG4D	1630
ATG5	2036
ATG7	1443
ATG9A	2813
ATIC	1456
ATL1	2475
ATL2	1371
ATL3	4291
ATM	6163
ATMIN	3653
ATN1	4223
ATOH1	2014
ATOH7	1319
ATOH8	2399
ATOX1	303
ATP10A	6480
ATP10B	4123
ATP10D	3264
ATP11A	5160
ATP11B	2416
ATP12A	4058
ATP13A1	3462
ATP13A2	2634
ATP13A3	3243
ATP13A4	4719
ATP1A1	3398
ATP1A2	5235
ATP1A3	2965
ATP1A4	1002
ATP1B1	2074
ATP1B2	3141
ATP1B3	1465
ATP1B4	4219
ATP23	873
ATP2A1	1703
ATP2A2	4396
ATP2A3	4414
ATP2B1	2873
ATP2B2	3836
ATP2B3	3696
ATP2B4	8058
ATP2C1	3095
ATP2C2	3219
ATP4A	1484
ATP4B	1300
ATP5F1A	1749
ATP5F1B	1548
ATP5F1C	891
ATP5F1D	415
ATP5F1E	2706
ATP5IF1	348
ATP5MC1	363
ATP5MC2	594
ATP5MC3	710
ATP5MD	192
ATP5ME	132
ATP5MF	197
ATP5MG	400
ATP5MPL	412
ATP5PB	627
ATP5PD	410
ATP5PF	447
ATP5PO	557
ATP6AP1	1831
ATP6AP1L	1698
ATP6AP2	1284
ATP6V0A1	3115
ATP6V0A2	2266
ATP6V0A4	2502
ATP6V0B	794
ATP6V0C	892
ATP6V0D1	1299
ATP6V0D2	2170
ATP6V0E1	733
ATP6V0E2	1473
ATP6V1A	2842
ATP6V1B1	1697
ATP6V1B2	2663
ATP6V1C1	2429
ATP6V1C2	2447
ATP6V1D	1110
ATP6V1E1	1120
ATP6V1E2	1090
ATP6V1F	478
ATP6V1G1	1360
ATP6V1G2	1151
ATP6V1G3	394
ATP6V1H	1777
ATP7A	5376
ATP7B	5580
ATP8A1	6570
ATP8A2	9472
ATP8B1	3894
ATP8B2	4310
ATP8B3	3227
ATP8B4	4166
ATP8B5P	1492
ATP9A	7547
ATPAF1	1665
ATPAF2	821
ATPSCKMT	1291
ATR	6079
ATRAID	847
ATRIP	2238
ATRN	6542
ATRNL1	584
ATRX	3797
ATXN1	5452
ATXN10	919
ATXN2	2622
ATXN2L	3150
ATXN3	1473
ATXN3L	1964
ATXN7	4004
ATXN7L1	2377
ATXN7L2	2163
ATXN7L3	2195
AUH	1220
AUNIP	1765
AUP1	1260
AURKA	1486
AURKAIP1	683
AURKAP1	1012
AURKB	976
AURKC	525
AUTS2	2817
AVEN	1433
AVIL	2517
AVL9	3470
AVP	419
AVPI1	1175
AVPR1A	5763
AVPR1B	4826
AVPR2	1584
AWAT1	784
AWAT2	1038
AXDND1	2635
AXIN1	3152
AXIN2	2686
AXL	3897
AZGP1	937
AZI2	1051
AZIN1	3176
AZIN2	1391
AZU1	707
B2M	456
B3GALNT1	2271
B3GALNT2	4080
B3GALT2	3348
B3GALT4	1499
B3GALT5	12970
B3GALT6	2605
B3GAT1	3506
B3GAT2	6387
B3GAT3	1254
B3GLCT	4015
B3GNT2	2561
B3GNT3	2072
B3GNT4	2549
B3GNT5	2671
B3GNT6	2286
B3GNT7	3339
B3GNT9	2502
B3GNTL1	950
B4GALNT1	4030
B4GALNT2	8457
B4GALT1	3999
B4GALT2	1805
B4GALT3	1682
B4GALT4	1655
B4GALT5	4522
B4GALT6	1718
B4GALT7	1162
B4GAT1	1807
B9D1	781
B9D2	802
BAALC	1690
BAAT	2297
BABAM1	1078
BABAM2	1396
BACE1	3826
BACE2	1860
BACH1	2881
BACH2	4417
BAD	716
BAG1	982
BAG2	6451
BAG3	2280
BAG4	2329
BAG5	3189
BAG6	1825
BAGE2	1790
BAHCC1	8931
BAHD1	4400
BAIAP2	1206
BAIAP2L1	2328
BAIAP2L2	1939
BAIAP3	4397
BAK1	1974
BAMBI	1491
BANF1	550
BANF2	303
BANK1	2607
BANP	1343
BAP1	3310
BARD1	2935
BARHL1	1351
BARX1	1205
BARX2	1705
BASP1	1605
BATF	705
BATF2	1859
BATF3	671
BAX	608
BAZ1A	5027
BAZ1B	5525
BAZ2A	3948
BAZ2B	2857
BBC3	1495
BBIP1	776
BBOF1	1208
BBOX1	743
BBS1	2615
BBS10	3368
BBS12	3038
BBS2	2144
BBS4	1831
BBS5	2583
BBS7	2238
BBS9	2405
BBX	4001
BCAM	2377
BCAN	872
BCAP29	938
BCAP31	1055
BCAR1	2697
BCAR3	2350
BCAS1	3103
BCAS2	1026
BCAS3	2346
BCAS4	1451
BCAT1	3833
BCAT2	1338
BCCIP	1115
BCDIN3D	3026
BCHE	1914
BCKDHA	1497
BCKDHB	2128
BCKDK	1788
BCL10	1660
BCL11A	2134
BCL11B	8201
BCL2	6877
BCL2A1	584
BCL2L1	2002
BCL2L10	1049
BCL2L11	3489
BCL2L12	741
BCL2L13	2015
BCL2L14	1186
BCL2L2	2966
BCL3	1652
BCL6	2527
BCL7A	3559
BCL7B	1341
BCL7C	1527
BCL9	3728
BCLAF1	2084
BCO1	1131
BCO2	664
BCOR	4375
BCORL1	4510
BCR	3951
BCS1L	867
BDH1	1347
BDH2	1143
BDKRB1	1101
BDKRB2	4119
BDNF	3785
BDP1	7978
BEAN1	1493
BECN1	1630
BEGAIN	2474
BEND2	3076
BEND3	6003
BEND5	1340
BEND6	1374
BEND7	1576
BEST1	4005
BEST2	1483
BEST3	1916
BET1	978
BET1L	2528
BEX1	595
BEX2	662
BEX3	698
BEX4	1112
BFAR	1858
BFSP1	1673
BFSP2	1312
BGLAP	343
BGN	2142
BHLHA15	506
BHLHB9	4955
BHLHE22	3063
BHLHE23	847
BHLHE40	2897
BHLHE41	1956
BHMT	392
BHMT2	2046
BICC1	5469
BICD1	1748
BICD2	4737
BICDL1	2027
BICDL2	1853
BICRA	2670
BICRAL	6314
BID	1143
BIK	751
BIN1	1930
BIN2	1982
BIN3	1136
BIRC2	1929
BIRC3	5218
BIRC5	2079
BIRC6	10732
BIRC7	1134
BIRC8	1447
BIVM	2688
BLCAP	1770
BLK	1713
BLM	3814
BLMH	1822
BLNK	1384
BLOC1S1	378
BLOC1S4	1291
BLOC1S5	1736
BLOC1S6	2343
BLVRA	878
BLVRB	601
BLZF1	1782
BMERB1	1628
BMF	3287
BMI1	3340
BMP1	2708
BMP10	5836
BMP15	979
BMP2	3345
BMP2K	3627
BMP3	5892
BMP4	1505
BMP5	3770
BMP6	3584
BMP7	1889
BMP8B	4626
BMPER	3013
BMPR1A	2914
BMPR1B	2813
BMPR2	6473
BMS1	7559
BMS1P20	205
BMT2	2327
BMX	2343
BNC1	4410
BNC2	4278
BNIP1	1006
BNIP2	1489
BNIP3	1484
BNIP3L	1869
BNIPL	1883
BOC	2649
BOD1	1103
BOK	2303
BOLA1	653
BOLL	1917
BOP1	2176
BORA	1875
BORCS5	1943
BORCS6	1636
BORCS7	1442
BORCS8-MEF2B	1495
BPGM	1533
BPHL	1354
BPI	882
BPIFA1	856
BPIFA2	842
BPIFA3	1229
BPIFB1	1441
BPIFB2	1588
BPIFB4	900
BPIFB6	1316
BPNT1	1280
BPTF	5215
BPY2	580
BRAF	4350
BRAP	2565
BRAT1	2457
BRCA1	4394
BRCA2	5472
BRCC3	2223
BRD1	4111
BRD2	2309
BRD3	5328
BRD4	3961
BRD7	2037
BRD7P3	1277
BRD8	1613
BRD9	2433
BRDT	1662
BRF1	2011
BRF2	2168
BRI3	548
BRI3BP	5400
BRINP1	2971
BRINP2	3897
BRIP1	5189
BRIX1	1191
BRK1	950
BRMS1	1209
BRMS1L	2074
BROX	2257
BRPF1	4185
BRPF3	5630
BRS3	2573
BRSK1	1760
BRSK2	2035
BRWD1	6239
