genes	453W	684C	CR3L	FLWA	FY2H	CYFZ	925L	9JD4	G4YW	4DUY	CZJE	36TS
RP11-206L10.4	3.26325	4.88259	0	1.74379	2.68469	2.65101	6.398	0.881748	5.89574	0.972436	4.29135	1.03599
RP11-206L10.9	15.392328	28.959876	26.85259	25.414999	19.147626	20.7162526	37.521815	32.243743	22.64304	31.036052	17.29364	11.698263
LINC01128	13.505511	7.991341	14.083644	23.242511	18.350484	11.990347	18.372248	13.5538410865445	12.376743	28.128884	24.14749723	12.5503
LINC00115	4.47318	5.2214	3.30478	3.13659	3.32087	1.83615	2.08066	2.24037	2.08223	3.22784	4.36157	3.55307
NOC2L	48.64507	61.91959	45.021746	42.74617	45.19546	42.24245	43.9252	41.96022	31.2932	45.76	46.452919	40.6035984028
KLHL17	2.2307	2.421905	2.373188	4.750751	1.436633	2.86992	2.810086	1.958325	2.594331	2.512004	2.138922	1.530214
PLEKHN1	1.394301	1.67372	1.359736	0.958504	1.06565	0.870162	1.803724	0.64313102924	1.02172	1.4157786	0.71859700361	0.149006
ISG15	19.9528	28.9482	29.332	25.8108	58.4852	24.6553	14.4891	40.926336	33.7165	15.3824	22.7554	15.7822
AGRN	0.7314009	3.981880047548	3.077686995198	2.113671	1.565452	0.668643606383	1.33158022083	0.55053403721	0.599851544555	1.14919624647	2.22234130466	0.711132506819
RP11-465B22.3	14.332234	12.82107	7.982035	6.0982749	8.202689	4.5749	6.1380354	9.826386	1.5136791	3.949883	12.080231	5.931635
C1orf159	8.495009	13.33486871252	11.106063	7.395994	9.800343	9.426873	5.110717	12.647817	12.584708	13.5708073	13.809017	9.50236
TNFRSF18	8.18039	3.67894	5.61354	8.04662	6.9953	4.36451	5.03059	9.03363	8.519067	10.24298	8.7613	3.974032
TNFRSF4	10.24421	10.143378	5.092519	7.613647	6.859287	3.701768	2.948762	10.95352	5.775287	5.073953	3.542753	3.040582
SDF4	44.046339	25.728117	54.433966	68.557334	33.82551	17.99616	43.335568	58.67744954	64.8821830004176	43.110134	21.142286	22.7899440166664
B3GALT6	1.46615	0.986104	1.33043	1.88211	1.29959	0.742784	0.105694	1.8614	2.74191	1.16487	1.16004	1.04148
UBE2J2	56.252128	65.75407	54.156945	58.101796	49.3878729449705	56.871859	56.145682	57.068383	57.043538	52.742268	61.46475087	34.8204970060104
SCNN1D	1.692486	0.94658	2.931084016645	1.723118	0.0309586	1.4636649	0.532263	1.3212405827	1.44365520331699	2.06911400195203	1.0863562	1.2632359022957
ACAP3	4.463468	2.6305911	7.826716	7.8777505	3.589066	3.61960901405	6.186334	8.683539	9.9109351	6.3052145	0.919732436	2.7366891
PUSL1	7.641987	6.932327	9.737254	8.571002	10.245783	8.683319	7.88614	18.8760137	11.935239	10.646411	7.995159	11.777427
INTS11	113.1061325	83.894428	87.752233	83.2991610057	78.388134589151	88.314404066845	80.7125213212847	85.1430090009618	78.428077	93.11421163	86.967485	76.9339628012193
CPTP	3.23366	3.145017	3.22036	5.329687	1.51043	2.25194	2.79205	7.25462	3.8102	2.58006	3.6308	2.02955
TAS1R3	0.135591	0.10816	0	0.561394	0.353635	0.393804	0.644465	1.38175	2.20628	0.617351	0.189311	0
DVL1	1.065079	0.519569	1.131576	2.040923	0.726359	0.4862	1.0124906	2.72585	1.354311	1.208702	0.854487	0.772648
MXRA8	1.4222144	6.516796	1.22033602506	2.61292	0.2613614	0.7077682	1.0688248341	4.765149	2.425226	0.9278532	1.363352	0.774395
AURKAIP1	30.7326	37.640676	40.314782	33.55262	26.17573	38.752124	34.02384	28.588674	38.00093	30.90599	32.054291	27.584689
CCNL2	193.363751	157.321651	222.100074	164.823373	141.148261	123.688696	149.607311	153.705604	148.452954	152.12569	79.672183	79.090022
RP4-758J18.2	24.41921	29.71443	20.31202	21.891311	14.383441	21.3673	33.87796370002	30.91551	32.393561	38.233680386924	28.23754	18.07252
MRPL20	35.12504	53.42951	37.92007	66.37987	44.3877	50.50131	48.62442	43.26418	54.04436	38.03496	36.04169	37.16861
RP4-758J18.13	5.52321	5.13334	6.82959	6.46939	5.74872	5.99432	6.71229	4.64193	5.83536	7.51453	5.33469	4.51345
ANKRD65	0.441278	0.1546257912	0.184023	0.064937	0.2686	0.2811890176175	0.208294	0	0.0608483	0.252485	0	0
ATAD3C	1.343207	1.074747	1.17346	1.660706	0.6207102	0.572794	1.545763	0.600018	1.621948	1.782103	2.230193	0.980171
ATAD3B	4.3576094	5.415328	6.900675	7.9265	1.7846799	6.797333	11.51188	8.906542	5.70069	8.842332	7.530312	7.210826
ATAD3A	5.098941	3.4633355	3.62381	5.996348	4.546248	4.037246	7.526603	6.5351	3.645739	4.11880108	1.96048300690603	5.81927170795
SSU72	78.684559	59.42274	85.1716	83.79611	74.98506	49.96873	88.65164	99.32089	115.0293	93.711857	70.07285	58.05723
RP5-832C2.5	2.48252	3.37004	2.64965	3.02628	4.26802	1.4443	2.76388	1.07154	1.7597	1.7437	1.56164	1.83269
RP11-345P4.9	2.94221	1.26673	1.41924	4.03052	0.242236	2.21649	0.426477	1.36799	3.99527	2.56211	1.29203	1.73492
MIB2	6.4706508	4.9486297	5.0330478	10.1979269	4.094649089	4.1359765	4.4560286945	7.2325176285	11.1030945	6.0012704	6.415169	6.3695591
CDK11B	7.713138	5.878438	11.602442	7.328388	4.990696	6.505246	10.68123	13.506224	16.336781	13.94523	15.02548	13.218634
SLC35E2B	31.084272	31.856087	21.02721	33.579858	20.480439	35.139812	32.732151	26.128809	24.77497	26.705333	21.583887	17.448502
RP11-345P4.6	0.266807	4.72263	3.11171	0	1.32079	3.08867	3.214113	0.799226	0.847499	5.443575	1.52152	0.400027
CDK11A	43.674993	30.3649918	40.20115511	49.175015	21.74286958	28.32063931459	37.9993060007272	24.82699419012	37.4817150132442	28.80599287276	36.133433	25.25808788
RP1-283E3.8	3.83087	3.09256	3.10072	3.11689	2.49197	3.03401	4.57881	3.04535	2.00867	2.9369	2.85854	1.901
RP1-283E3.4	1.17441	2.958373	3.503876	1.347214	5.59149	5.212248	7.32784	3.64616	3.05396	4.675509	3.002125	0.629207
SLC35E2	5.09099	4.5563	3.435168	6.52245	3.552508	4.302816	8.50458	3.63858	4.808579	3.939128	5.348784	4.01846
NADK	202.294222	140.4052730001	146.053028	141.478496006464	223.023039	125.480283	133.78971	123.773947	151.589574	191.056586	133.29109618	147.883399
GNB1	27.339987675	28.5976000047099	25.00166410205	46.983252533	21.072977	22.8708311372	21.0785286519631	31.400199	24.70037281	20.696615805	31.923892351	29.028237857
CFAP74	0.752741	2.767229	2.644624	1.714771	1.613015	1.267052	1.868525	1.025937	1.9963415	0.924031	1.58547	1.197555
PRKCZ	4.124537	5.783325	3.235216	5.283534	3.318947	2.4196290482056	5.1139567	6.386269	4.47431600875945	4.079139	5.9342469	3.495042
RP5-892K4.1	0.587778	0.912943	1.28192	0.772723	1.02081	0.722002	1.02334	0.570268	0.373184	0.667873	0.770214	0.576116
PRKCZ-AS1	2.60427	1.066745	1.240831	4.04084	0.509878	0.721655	1.410222	2.83487	2.150629	0.389458	0.528703	0
FAAP20	4.288695	6.528014	9.985691	11.650202	6.032338	5.152028	9.6206468	12.545821	9.6555651	7.541461	6.8436749	4.703822
SKI	0.913701	0.0160901	3.17207	1.00256	0.178125	0.5786154	0.867205	1.23362	0.543447	1.778951	0.169094	0.864445
MORN1	3.6884993	5.37195	3.00862174427	4.727813	1.9691379	3.955595	4.6784018	2.304079	2.538354	2.7057688	3.886994	3.012266
RER1	110.912486	121.94703	100.468572	107.856551	118.82304	121.813214	119.798222	103.502077	113.48548	117.971504	99.14697	114.469623
PEX10	6.7064	5.45824	8.297366	12.4152	3.420173	5.56662693	8.320382	6.658705	9.71641	11.27772	4.2726	5.375662
PLCH2	2.309628	0.3692292	0.2768236	0.901508	0.8700567	1.200583	0.476362	2.203227	1.245965	1.864958	0.5481015	1.1822621
PANK4	20.42608	22.39456	27.833267	19.5233430014271	22.210892	17.005404	13.993067	19.597493	19.203053891	20.1026	19.27241	17.474167
RP3-395M20.8	8.676174	4.6758031	7.1178747	7.3621567	5.665082	7.236692	3.9410488	5.1112598	8.755684	4.750347	4.852196	3.563443
TNFRSF14	112.07054	105.0642756	113.883744	127.300921	145.947595	137.21627	162.953956	144.746415	152.54719	158.59072	127.38783	172.663816
RP3-395M20.9	2.39688	4.79867	2.07331	4.28491	1.30848	5.88963	5.17916	2.97153	4.26739	1.67374	6.60336	3.3269
FAM213B	9.4449790462	18.75597969	14.3079700056165	16.0032910624	14.48399	15.53700693	9.662834	10.15791907315	6.747495	12.540847	9.51239418491	8.650193
TTC34	0.563355	0.329464	0.349562	0.878393	0.396125	0.468349	0.177813	0.422344	0.748023	0.238911	0.234135	0.212585
PRDM16	2.89988	2.560214	2.33977	1.82486	0.810573	4.132865	1.35235	1.0479	0.745741	1.2182256	1.23205	1.05094
MEGF6	4.005021	2.5506	5.0077613	9.444831	2.30804	2.5545002	3.829558	8.756261	2.4900521	5.574122	2.980727	4.1430102
TPRG1L	6.26382	10.41145	3.55225	6.19619	4.52995	5.16601	3.22421	8.64803	9.57702	5.5842	6.56377	5.55562
WRAP73	38.647357	23.702541	28.302392	38.2639267	16.93158	39.702379	37.39602	30.241112	32.384252	42.31578	28.07133	39.16296
TP73	0.741769	0.1525740296728	1.168864	0.471113	0.152373669472	0.421507	0.257497	0.019525536778	0.15008585593	0.410736	0.27844868401	0.074852087381
TP73-AS1	7.722687	5.051337	10.860515	9.812839	4.564382	2.7908426	8.112343	6.48387	6.229338	5.1051951	2.3134254	3.4133380710714
LRRC47	20.446464	13.22829	11.832605	16.40883	7.95536	7.77702	9.234914	17.062773	15.14117	8.466943	4.984466	4.234169
CEP104	19.5707790439	7.5095685	15.172897	10.63208	8.4918215	16.559087	11.775951	23.037399	27.749494	15.37579	14.6435335	19.469935
DFFB	8.8176759	9.0866259991	8.615263	10.993942568	8.923746	7.364189108091	10.86494	7.405765548057	12.25107	7.515377	6.622851	8.360477
C1orf174	32.74297	27.79159	31.096609	29.12212	28.669273	36.03624	31.46091	43.40246	32.22441	39.58377	23.90004	28.10274
AJAP1	0.0152257	0.0151848	0.217133	0.0150121	0	0.0394168	0.00790391	0.132032	0.064057	0	0.1406908	0.0145453
NPHP4	1.47090200561936	1.571586	2.0931660978	3.413206	2.27476	2.55647400055238	3.231411	3.9262805	2.32027	2.558421	1.7433141	2.550307
KCNAB2	174.43478138	98.679919	111.186915003089	98.134352	109.7034837769	121.679719	122.647085	94.20264	118.28577979113	140.704621	98.43124298	133.163957
RPL22	53.94402	49.091225	41.97298	64.78746	31.723712	57.26053	64.1471298423	79.96741	77.195012	70.902091	69.6289	61.452552
RNF207	1.387481	0.815117	1.109229	1.561675	1.452855	3.3101	6.10795	2.851969	2.185695	1.5110676	3.187832	6.174028
ICMT	11.021125	15.504991	9.796886	16.91977	10.48453	15.01883	22.49251	13.896247	13.739257	19.0161	11.97779	16.45663
GPR153	0.0676552	0.0224847	0	0.266795	0.248859	0.304082	0	0.451428	0.611625	0.655806	0.25588	0.129159
ACOT7	3.801071	7.199772441	6.4711522217	6.146883	11.6719551	7.402067	6.741315	6.06837	4.524652	12.267006	5.740116	10.88383
TNFRSF25	118.217575	137.667707	61.032877851065	129.127143932808	75.624343	78.3339644989237	72.587448	94.388787	76.558647	85.446701751	91.216296	46.822421637
PLEKHG5	0.0197240358	1.2809516637	0.1440272651	1.16489545734831	0	0.2960958583	0.3448934566	0.324838832	0.5042431409	0.0737323853	1.205354662	0.204335105
NOL9	15.83161	11.29775	20.99989	17.25915	16.91277	8.221649	12.526678	11.671135	13.1788	6.826792	10.89133	8.291216
ZBTB48	29.833583	27.523985	23.893707	21.960436	21.878265	26.6042677	31.39	23.164067	29.03822	28.88817	18.80044	20.94375
KLHL21	19.037149	16.332496	14.74078	18.346299	15.29359	18.70871	24.400968	18.445495	16.905651	22.57036	13.01039	20.58663
PHF13	1.43472	3.63908	2.50485	1.91066	1.33824	2.2714	3.35501	3.54983	3.88391	2.48274	1.64747	1.68183
THAP3	6.856813	19.492516	15.158073	12.848244	9.490234	26.243248	17.464938	16.892071	20.976793	15.954648	13.959932	6.725297
DNAJC11	28.323746	26.553004	30.03454	28.538723	22.455641	36.741241	27.782446	26.396308	29.636249	24.721011	33.130305	24.596393
CAMTA1	23.6092418	29.0270192	62.4109531	30.2856326	21.748911	26.8630226782712	30.3344608	32.447508	37.861962	10.977573	33.7186526	30.05258
VAMP3	84.63439	65.77692	58.65917	61.9092	73.69471	55.82323	67.56762	51.45647	69.52014	64.66545	86.75314	98.48654
PER3	5.24912492	1.5390501075	4.1107903605	4.494641680414	3.751609701	4.62372547	4.35427449597	2.4013125137	2.1388865528	3.853370483	3.6832445	3.7202620073
UTS2	2.206006	14.67307	21.65738	78.4579	1.645763	70.6162	1.968568	45.9178	56.3573	1.847161	26.64964	2.24236
TNFRSF9	7.23224	1.888891	3.8672	0.842109	5.51609	1.0123423	2.53876	1.167316	1.484716	2.13007	1.684229	1.964342
PARK7	136.77207	180.574146	161.25829	156.07331	132.010857	192.40436	187.936289	173.69368	166.690974	137.437597	154.96561	160.092406
ERRFI1	0.241761	1.17527	1.572441	2.85975	3.44058	3.33012	1.301533	1.29233	1.0192937	1.332863	3.63868	3.8492919
SLC45A1	0.745134	0.745381	0.2312513	0.845661	0.160454	0.622403	0.247963	0.873373	1.042915	0.797571	0.697637	0.878072
RERE	9.169777	6.51756358	8.1842259	13.4790505	10.6960747090345	11.702144	21.622261	14.2191813	10.2060451	14.6567978	13.2910741	5.5981972
RP5-1115A15.1	3.63962	4.645827	8.94858	9.46076	1.436679	1.683	7.84308	8.97944	4.82592	9.30876	3.014492	1.4305
RP4-633I8.4	6.93073	7.83693	18.2283	5.58659	6.91446	17.7479	16.9086	14.4874	8.74784	2.44308	4.329	2.38969
ENO1	777.510433	712.693281	533.37064	730.94202	800.82316	568.13033	596.4728	615.57009	675.248897	693.189879	702.81984	803.37379
RP3-477M7.5	1.97763	18.3048	9.889	12.5372	7.58758	2.64434	3.53939	6.68015	7.76886	8.13067	3.26527	2.00305
CA6	2.237987	3.912453	5.67996	2.616461	7.040984	3.61637	4.352945	6.898842	2.500299	4.69312	7.280437	1.031429
SLC2A5	1.7864756	3.6734617	2.8111381844	2.996626	0.242942	1.618182	3.08159161	0.717495	0.8384143	1.9859013	0.6599276	1.84597
GPR157	1.66357	0.643268	1.2373	1.36981	1.664044	2.118138	1.540667	1.014573	0.867367	0.941116	0.726097	0.621223
H6PD	5.673999	5.595297	2.716162	6.448841	6.4098959	6.571751	4.768287	4.0648	6.166254	4.494951	5.224581	5.009348
SPSB1	1.0819	0.749208	0	0.325874	0.0301454	0.6077412	0.755689	2.660309	1.911845	2.423554	0.524431	0.258178
SLC25A33	1.92736	0.878429	2.18391	2.38965	1.90951	1.41431	1.68016	1.57722	1.6527	1.58522	2.87662	2.63723
TMEM201	4.3341947	1.483012	0.898715	1.904137	0.73128	1.1271378	0.5062289984	2.301607	1.5059082	0.806744	1.332469	2.812058
PIK3CD	82.2718320401259	91.7339800040087	95.64308689003	67.069001873043	91.396431318043	86.043602	107.84806000032	94.3334800226308	85.676576279847	106.402889001781	77.863400716347	86.24212242497
PIK3CD-AS1	1.90708	2.71815	1.5414	1.12756	0.98347	2.54425	1.68908	1.1898	2.44497	1.17367	0.047491	1.04019
PIK3CD-AS2	1.83314	3.41914	1.25789	2.04537	1.38832	1.95407	2.76213	0.693701	1.94051	1.5556	1.06207	0.349934
CLSTN1	24.407531	16.04618	20.43569	21.55259	14.754175	15.15492	17.68412	19.74437	18.53077	13.61379	11.535683	14.372995
CTNNBIP1	4.990739	2.696583	4.20406	9.867204	4.405342	1.996719	9.974426	2.28223	5.355247	3.958241	2.659265	2.60375
LZIC	17.60152	17.803315	11.272351	20.233521	17.60406	23.95511	22.581611	15.499220937	20.927986	18.52848	24.19772	13.216337
NMNAT1	14.31353	18.18036	9.598068	11.91075	10.08952	11.38772	15.33193	11.46229	14.976793	13.536568	10.03477	11.65277
RBP7	26.63579	13.55104	17.943287	21.27485	20.36528	13.76242	18.60952	14.972592	32.39553	12.5152	12.808634	29.11789
UBE4B	17.22177	25.173448	29.636766	23.678971	18.069603	13.734304	13.68696	14.552565	15.362098	14.3820511	18.337091	11.691928
KIF1B	5.676077	3.084789	9.953484	5.090505	5.79196217096284	3.6025621	5.9145180654576	5.548802	5.675818	5.8079453	2.70188630414565	4.777309000644
PGD	211.616481	149.78301	147.247397	186.89663	222.140886	145.25016	229.810503	182.03285	227.051758	222.33788	194.077	252.469539
CENPS	2.69735	9.0174575	2.65846	5.18505	6.1258	9.67573	1.721562843	7.16692	3.58257	6.83297	6.23992	1.47324
DFFA	15.93858	22.94349	15.080696	17.82174	15.33181	23.91082	21.437995	16.95951	17.25696	20.36717	21.84595	19.59898
PEX14	7.436928	5.779232	11.95131	6.37191	9.795496	7.011377	5.121808	8.914793	6.142217	6.291466	6.493985	8.82839
CASZ1	1.124312	0.8179754	1.6592293	2.621394	0.897658	1.4481839	2.94286448	3.611842	2.929958	1.7400714	2.6153286	1.741982
C1orf127	1.415747	0.244514	2.811728769	1.276633	0.971206	1.456738	0.6105686	0.274212	3.209587	0.15474	0.353649	1.294281949
TARDBP	153.947992	156.783064	124.804987	149.732679	118.632664	119.965609	154.14673645107	116.5446113	150.762418	167.775107	149.138595	105.855203
MASP2	1.044535	1.09896	0.665626	1.89975	0.2470655	0.37823	2.758653	2.8042695	0.8159239	1.65248	1.3071417	1.16563
RP4-635E18.8	37.9172	60.2063	30.76956	53.9077	41.1705	45.1988	32.0669	33.02665	32.8952	26.4511	19.01025	15.375334
SRM	6.545091	3.555429	5.117546	3.98377	2.330518	5.297338	5.12143	16.06308	16.67963	5.906356	6.350502	3.226333
EXOSC10	102.543528539	94.510207	81.981424228344	91.1155980169477	95.434011	102.40810288217	70.66582715377	75.212307	79.6910886	84.6088429	82.9286240035371	56.3130467
RP4-635E18.7	0.390233	0.801703	1.22437	1.61808	1.4671	0.44299	1.52822	1.36025	0.817718	2.59941	0	0.088611
MTOR	20.5337468	20.029263	16.51564	11.877174	8.575394	12.52432	12.730632	10.307837	18.670594	14.1179146	11.168357	11.479981
UBIAD1	27.77478	24.93229	25.23824	21.915868	13.942842	24.594098	25.17273	18.892883	22.46406	24.62414	18.114558	20.184266
FBXO44	29.025515	30.1829	26.7181740030373	22.75614	18.39271	26.904526	21.93658067	21.89088	27.2056130029825	17.64852	18.209375	20.180739
FBXO6	30.1006	36.7051	27.7979	32.9128	69.182414	35.3259	26.5772	24.321443	36.568221	27.8934	31.1988	40.518871
MAD2L2	40.555807	42.662782	43.589959	38.6265	36.419328002643	49.369021	38.802807	37.269481	55.74415689	34.767563	47.42273	43.543314
DRAXIN	0.717593	0.252317	0.351258	1.42029	0.349928	0.951751	0.819465	0.696151	1.38663	0.930794	0.419094	0.262469
AGTRAP	256.071728002421	250.18473	255.155793483	223.507574	306.9589	249.335990111061	226.32917	229.265191	285.67512	234.10875426369	282.10494	306.145060005726
C1orf167	0.0579377	2.06745	6.39657	5.71982	4.1293	2.76037	1.21427	0.894147	5.916177	2.61604e-09	2.357809	0.7166193
MTHFR	13.549207	10.105314	10.019877865	16.4201776	18.0645	8.485053761	12.695785	14.388573	11.8603742	14.0869329	18.333516	15.1904522
CLCN6	11.538846	8.21269	10.97045	7.73496	14.523024	13.675147	12.824039	6.624964	10.997471	6.70216631	7.301299	14.528105
NPPA-AS1	5.52306	5.27119	2.267049	5.62897	6.93504	4.388722	4.00591	2.853895	4.13448	0.864105	1.176571	1.253159
KIAA2013	6.73262	8.45475	8.16204	15.380664	4.082517	5.180036	8.391118	14.39621	13.00149	14.4237	7.70441	10.7399
PLOD1	51.692909	40.134375	40.74416	30.894908	45.4394412	32.861207	52.851533	36.339824	36.984556	43.125092	43.764298	40.754932
MFN2	50.191791	33.01845	35.790923	33.630705	46.364858	33.751099	36.266704	34.496125	28.846725	53.265646	44.058579	23.574428
MIIP	84.324511	81.04085	65.613121	71.591115	81.537749	64.51374	64.5160770018172	56.27596	65.07583	55.551768	49.580979	61.393568
TNFRSF8	17.67129689	20.095033911	8.6971264	9.18792	13.9628	20.1482737	18.258294393	13.4097865	23.1032	25.6140989	9.33706774	12.9003
TNFRSF1B	302.72173	204.64474	388.22038	259.78129	296.28742	149.69964	242.4717	271.69132	311.59319	313.08899	126.70544	194.63545
VPS13D	21.8577140002246	16.41913627	15.33286537	8.7478730827156	10.2786896982	11.464756	17.602951	13.1326569	12.8788227	9.509791	13.8249842	13.6808714605974
DHRS3	63.16679	49.38225	66.91924	79.56629	40.347123	55.45238	41.30957	52.2936	60.131602	57.85056	59.84991	37.73535
PRDM2	29.888253	19.09911	35.175525	22.137773	23.77098746	22.771586	26.125466	26.50347	27.049458	18.4686078242	37.255548	23.137663
KAZN	0.183929	0.268551	0.673052	0.373289	0.0997182	0.137044	0.2823045	0.162929	0.10992	0.167878	0.389145	0.0630315
TMEM51	0.918587825	1.09677	0	1.774888	0.323299	0.22335347343	0.834212	1.09649000131571	2.032963	2.35996000238492	0	1.2665
RP3-467K16.4	1.56066	0.619802	0.687289	1.36445	0.520024	0.878556	1.53056	0.79773	1.00628	0.764517	0.854815	0.978837
EFHD2	39.939027	31.3741	18.66107	55.2051	24.97886	35.973123	36.72307	39.142492	49.695373	37.116472	35.070592	48.47389
CELA2A	9.905214	7.71048	8.13516	6.224484	5.76804	3.80602	4.35948	1.85166	2.2622	1.62408	4.09047	3.50184
CASP9	18.00721	10.053478	26.504753	13.86834	15.009854	7.73147	13.518078	14.4956	14.796355	14.49449	21.30589	26.282232
DNAJC16	17.0637592	32.676772	17.695832	27.391316432	16.1247825	13.9742241	25.11765081219	13.743782	24.1884393158885	23.383873442975	17.5623332	15.08067
AGMAT	3.05819	4.0297	2.64586	3.05383	2.35658	1.55446	1.60933	3.5664	3.01011	4.50426	1.92374	0.576895
DDI2	10.71902	8.767987	11.0571	8.359875	5.85224	6.344497	10.745028	9.173766	8.545057	12.115216	9.60356	8.791906
RSC1A1	0	6.10713	4.6885	1.28706	2.77679	3.44444	4.28427	8.02801	9.02467	5.33075	4.86365	4.28563
PLEKHM2	12.60535	8.75591	13.07223	12.55387	6.699	8.485957	7.45662	13.72277	11.45148	5.06414	11.51329	9.66496
SLC25A34	0.715851	1.3654	3.168918	2.2323	0.179981	0.669223	0.983426	1.30963	1.24225	0.36066	0.80792	2.081655
FBLIM1	1.921158	0.7525861	1.00722007	1.302028	0.652301	1.972418	1.567203	1.670744	1.781631	0.635163	0.499521	0.715476
FLJ37453	0.776788	2.60411	0.214051	2.71873	1.42498	3.04907	1.62895	2.0234	1.78007	1.59139	1.49827	0.685834
SPEN	32.93373	19.50668	23.060057	29.76736155348	11.01138	15.76641	29.135447	24.6382795037	22.2918622	20.677295	17.30131	30.740449
ZBTB17	42.25524	47.163913	44.80148	28.991255	32.259442	29.863959	38.381878	43.155658	36.9119033	55.135532	33.220889	39.338726
C1orf64	0.80862	0.56325	1.19847	0.425504	0.84281	0.464923	1.06844	0.253681	0.594942	0.504383	0.293354	0.218747
EPHA2	0	0	0.0625639	1.26142	0.466756	0.506728	0.316651	2.079177	0.413372	0.559125	0.162433	0.155444
ARHGEF19	4.896106	7.754361	6.197828	8.192375	4.560412	8.422452	9.182046	8.180205	7.876307	7.01738	8.548823	3.793476
FBXO42	26.809865	27.41577	32.442916	19.613632	20.97535	15.77619	21.68033	27.82034	30.69085	26.56627	20.83818	22.345652
SZRD1	59.714695515	45.63409	54.416846	50.7300153	54.85289191	51.69192	46.350744	44.315221	41.229058	47.6111973	75.852125	58.300765
SPATA21	1.196177	2.4867771	1.588471	1.0562423	2.499157	1.4673737	2.233155	1.376277	1.183078	1.150293	1.169259	1.063918
NECAP2	119.11122	175.295956	98.663131	170.883254	164.519522	129.66306	109.02495	125.05913	133.047338	125.534217	119.396046	119.850168
LINC01772	0.657216	0.958707	1.04981	1.05989	1.09533	1.48492	1.88296	1.15905	1.14594	0.973186	0.653562	1.3282
CROCCP3	2.195306	3.4460099	3.87889	4.785231	2.536212	7.792283	7.631386	10.483039	10.278703	4.797779	2.5212397	2.27036
RP4-798A10.7	0.591153	0.196785	2.12899	0.970288	1.48104	1.3298	1.59008	2.06163	0.552322	2.25374	0.17142	0.282123
NBPF1	22.27504	23.55967	19.776701	14.655991	16.890427	23.710691	30.31001	17.366771	24.107355	24.625065	22.79959	11.172658
CROCCP2	26.950621	39.043498	23.378686	29.583396	29.457139	23.201913	31.035308	25.755310127987	22.90553	24.470621	24.393117	16.5030608
MST1P2	2.1845	1.08718	1.61005	0.0994092	0	1.5195	0.858265	0.894025	0.998373	2.60945	2.00613	0.517522
EIF1AXP1	4.8478	5.57313	7.55872	3.43599	7.77482	15.0879	16.4808	13.4097	24.6082	4.42423	10.9002	6.33568
CROCC	11.34641	10.199865	11.76616	10.842219	7.5194393	6.195895	10.8606077	12.853091	8.930814	11.911902	5.309005	5.65552
MST1L	1.200449	3.577277	1.874755	0.901565	0.253562	1.526552	4.595673	4.112125	3.186847	0.594353	3.4082	0.4299584
