gene	LAU125	LAU1255	LAU1314	LAU355
ABCC4	4.79	1.65	5.44	4.33
ABCC5	14.22	8.78	7.29	8.03
ABCC5-AS1	0	0.06	0.06	0.05
ABCC6	0	0	0.03	0.03
ABCC6P2	0.05	0.04	0	0
ABCC8	0	0.04	0	0
ABCC9	25.97	2.94	4.66	5.87
ABCD1	2.75	7.32	2.57	3.1
ABCD1P2	0.04	0	0	0
ABCD1P4	0	0	0	0
ABCD1P5	0	0	0	0
ABCD2	0.24	0.98	2.84	3.69
ABCD3	51.66	14.44	13.5	10.57
ABCD4	12.81	10.4	12.58	17.42
ABCE1	97.63	51.37	68.85	54.91
ABCF1	63.08	42.54	48.19	35.91
ABCF2	56.85	25.47	33.06	24.87
ABCF2P1	0	0	0	0
ABCF2P2	0	0	0	0
ABCF3	34.71	35.34	31.35	28.25
ABCG1	9.26	9.37	14.15	15.02
ABCG2	3.36	3.83	0.07	0.07
ABCG4	0.12	0	0.02	0.01
ABCG5	0.02	0.02	0.01	0.01
ABCG8	0.01	0	0	0
ABHD1	0.58	0.21	0.29	0.38
ABHD10	36.8	18.87	30.6	23.82
ABHD11	14.1	5.24	4.16	4.49
ABHD11-AS1	0.24	0.33	0.3	0.08
ABHD12	40.94	26.02	9.91	11.07
ABHD12B	8.59	0.04	0.13	0
ABHD13	14.45	3.88	12.12	11.14
ABHD14A	9.71	9.42	10.64	13.82
ABHD14A-ACY1	20.5	14.25	4.79	5.89
ABHD14B	22.84	45.21	42.84	44.08
ABHD15	2.97	4.69	12.35	14.65
ABHD16A	12.81	18.86	19.1	18.08
ABHD16B	0.02	0.05	0.05	0.04
ABHD17A	2.75	3.31	7.01	6.01
ABHD17AP1	0	0	0	0
ABHD17AP3	0	0	0	0
ABHD17AP4	0.03	0	0.12	0
ABHD17AP6	0	0.03	0.03	0.05
ABHD17B	5.74	8.1	15.59	15.39
ABHD17C	2.76	3.29	1.6	1.63
ABHD2	26.74	17.24	19.75	14.49
ABHD3	11.34	6.32	13.81	9.63
ABHD4	23.86	16.97	7.97	8.37
ABHD5	12.7	12.24	5.59	4.43
ABHD6	10.13	26.33	12.83	10.8
ABHD8	0.37	0.61	0.77	0.79
ABI1	45.06	49.03	71.89	74.62
ABI2	63.63	50.2	15.4	13.8
ABI3	0.26	5.72	18.44	16.73
ABI3BP	0.3	2.15	0.82	0.18
ABL1	18.13	12.51	22.6	21.8
ABL2	11.79	9.73	4.51	5.36
ABLIM1	4.77	19.8	80.84	84.88
ABLIM2	0.94	0.38	0.35	0.38
ABLIM3	27.44	6.76	0.23	0.41
ABO	0	0	0.11	0.05
ABR	52.53	15.89	17.11	17.22
ABRA	0	0	0.03	0.02
ABRACL	8.41	26.51	91.02	72.3
ABT1	7.83	9.04	13.25	11.26
ABT1P1	0	0	0	0
ABTB1	2.64	8.15	16.19	16.64
ABTB2	9.54	2.6	0.52	0.47
AC000003.1	0	0	0	0
AC000029.1	0	0	0	0
AC000029.2	0	0	0	0
AC000032.1	0	0.02	0.03	0.43
AC000035.3	0	0	0	0
AC000036.4	0	0	0	0.01
AC000036.5	0.49	0.16	0.01	0
AC000041.8	7.22	11.78	38.8	26.18
AC000067.1	0	0	0	0
AC000068.5	0.1	0.17	0.19	0.36
AC000077.2	0.08	0	0	0
AC000078.5	0.04	0.04	0.54	0.17
AC000079.1	0.09	0.12	0.3	0.27
AC000081.2	0	0	0	0
AC000082.1	0.05	0	0.01	0.12
AC000089.3	0	0	0	0.06
AC000093.1	0	0	0.23	0.02
AC000093.3	0	0	0	0
AC000099.1	0	0	0	0
AC000110.1	0	0	0	0
AC000111.3	0	0	0	0
AC000111.4	0	0	0	0
AC000111.5	0	0	0	0
AC000111.6	0	0	0	0
AC000120.7	0.12	0.05	0.18	0.19
AC000123.4	1.02	0.26	1.62	0.83
AC000124.1	0	0	0	0
AC000362.1	0	0	0	0
AC000364.1	0	0	0	0
AC000367.1	0	0.01	0	0.05
AC000370.2	0	0	0	0
AC000374.1	0	0.01	0	0
AC002055.1	5.16	2.24	3.82	3.28
AC002056.3	0	0	0.08	0
AC002056.5	0.11	0	0	0
AC002064.4	0	0	0	0
AC002064.5	0	0.03	0	0
AC002066.1	0.93	0	0.02	0.15
AC002069.5	0	0	0	0
AC002069.6	0	0	0	0
AC002070.1	0	0	0	0
AC002073.1	0	0	0	0
AC002073.2	0	0	0	0
AC002075.3	0	0	0	0
AC002075.4	0	0	1.8	0.99
AC002076.10	0	0.1	0	0
AC002094.1	0	0	1.89	0
AC002094.3	0	0	0	0
AC002094.4	0	0	0	0
AC002094.5	0	0	0	0
AC002115.5	0	0	0	0
AC002115.6	3.75	3.07	3.9	3.02
AC002116.8	0	0	0	0
AC002117.1	3.76	0	2.48	4.35
AC002127.2	0	0	0	0
AC002127.4	0	0	0	0
AC002303.1	0	0.29	0.23	0.15
AC002310.12	1.82	2	3.83	2.95
AC002310.2	0.38	0.28	0.68	0.7
AC002310.7	0.02	0	0.19	0
AC002314.2	0.18	0.26	0	0.08
AC002314.3	0	0.18	0.08	0
AC002331.1	0	0.22	0.46	0.79
AC002347.2	0	0	0	0
AC002359.1	0	0	0	0
AC002365.1	0	0	0	0
AC002366.3	0.02	0	0	0
AC002368.4	0	0	0	0
AC002383.2	0	0	0	0
AC002386.1	0	0	0	0
AC002398.9	3.55	4.47	3.2	3.61
AC002400.1	0.08	0.31	1.3	1
AC002401.1	0	0	0	0
AC002429.4	0	0	0	0
AC002429.5	0.12	0	0.01	0
AC002450.1	0.57	0.09	0.07	0.31
AC002451.3	0.22	0.27	0	0
AC002454.1	0.29	0	1.4	0
AC002456.2	0.71	0	0.69	0.26
AC002463.2	0	0	0	0
AC002463.3	0	0.02	0	0.02
AC002465.2	0	0	0	0
AC002467.5	0	0	0	0
AC002467.7	1.4	1.42	1.54	0.35
AC002470.1	0.04	0.08	0.02	0.14
AC002470.2	0	0	0	0
AC002472.1	0	0	0	0
AC002472.11	0	0	0	0.04
AC002480.2	0.02	0	0.14	0.07
AC002480.3	0.03	0	0.92	0.28
AC002480.4	0.05	0	0.15	0.08
AC002480.5	0.02	0.16	3.46	2.12
AC002485.1	0	0	0	0
AC002486.2	0	0.04	0	0
AC002486.3	0	0	0	0
AC002511.1	0	2.11	0.12	0.72
AC002511.2	0	0	0	0
AC002511.3	0	0	0	0
AC002523.1	0	0	0	0
AC002539.1	0	0	0	0
AC002539.2	0	0	0	0
AC002542.2	0	0.23	0	0
AC002543.2	0.17	0.05	0.01	0
AC002553.4	0.09	0	0.19	0
AC002558.1	0	0	0	0
AC002558.2	0.07	0.12	0.61	0.46
AC002558.3	0.37	0.34	0.46	0.7
AC002565.1	0.04	0.01	0.07	0.1
AC002978.1	0	0	0	0
AC002979.1	0	0	0	0
AC002981.1	0	0	0	0
AC002992.1	0	0	0	0
AC002992.4	0	0	0	0
AC002994.1	0	0	0	0.04
AC003002.1	0.29	0.15	0.33	0.19
AC003003.5	0	0	0.01	0.01
AC003043.1	0	0	0	0
AC003043.2	17.08	28.51	16.71	21.77
AC003045.1	0	0	0	0
AC003071.1	0.07	0.06	0.14	0.07
AC003075.4	0.79	0.73	0.36	0.21
AC003079.1	0.66	1.02	0.86	0.53
AC003080.4	0	0	0	0
AC003084.2	0	0	0	0.06
AC003088.1	0	0.16	0	0
AC003090.1	0.07	0.13	0.34	0.88
AC003092.1	0.7	3.85	0.25	1.09
AC003092.2	0	0.06	0	0
AC003099.1	0	0	0	0
AC003099.2	0	0	0	0
AC003101.1	0	0	0	0
AC003102.3	0	0	0	0
AC003104.1	0.08	0.22	0.12	0.23
AC003111.1	0	0	0	0
AC003111.2	0	0	0	0
AC003658.1	0	0	0	0
AC003664.1	0	0	0	0
AC003666.1	0	0	0	0
AC003681.1	0	0	0	0
AC003682.1	9.36	2.65	11.59	8.94
AC003682.2	0.09	0.04	0.07	0.09
AC003684.1	0	0	0	0
AC003684.2	0	0	0	0.07
AC003950.1	0	0	0	0
AC003950.2	0	0	0	0
AC003956.1	0	0	0	0
AC003958.2	0.01	0	0	0
AC003958.6	0	0	0	0
AC003963.1	0.83	0.74	1.41	1.38
AC003967.1	0.04	0	0	0.04
AC003968.1	0	0	0	0
AC003984.1	0	0	0	0
AC003985.1	0	0	0	0
AC003986.5	0	0	0	0
AC003986.6	0	0.03	0.06	0
AC003986.7	0	0	0	0
AC003988.1	0	0	0	0
AC003989.3	0	0	0	0
AC003989.4	0	0	0	0
AC003991.3	0.04	0.08	0	0
AC004006.2	0	0	0	0.07
AC004009.3	0	0	0	0
AC004012.1	0.21	0.2	0	0
AC004014.3	0	0	0	0
AC004016.1	0	0	0	0
AC004019.10	0	0	0	0
AC004019.13	0.02	0	0.03	0.03
AC004022.7	0.03	0	0	0.15
AC004022.8	0	0	0	0
AC004023.1	0	0	0	0
AC004034.1	0.25	0.06	0.63	0.32
AC004034.2	0	0	0	0
AC004051.2	0.08	0	0.04	0
AC004052.1	0	0	0	0
AC004053.1	0	0	0.02	0.04
AC004054.1	0	0	0	0
AC004057.1	460.24	537.81	128.47	1652.219
AC004062.2	0	0	0	0
AC004063.1	0	0	0	0
AC004066.2	0	0	0	0
AC004066.3	0.38	0.05	0	0
AC004069.1	0	0	0	0
AC004069.2	0.99	0.73	0.72	0.33
AC004070.1	0	0	0	0
AC004073.1	0	0	0	0
AC004074.4	0	0	0	0
AC004080.12	0.09	0	0	0.01
AC004080.14	0.2	0	0.04	0.01
AC004080.15	0	0	0	0
AC004080.16	0.03	0.08	0	0
AC004080.17	0.02	0	0.02	0.01
AC004080.22	0.55	0.25	0	0
AC004112.1	0	0	0	0
AC004112.2	0	0	0	0
AC004112.4	0	0	0	0.13
AC004112.5	0	0	0	0.05
AC004112.7	0	0	0	0
AC004128.1	0.04	0.06	0.11	0.04
AC004129.7	0	0	0	0
AC004129.9	0	0	0	0
AC004134.1	0.08	0.03	0.02	0.12
AC004142.1	0	0	0	0
AC004148.1	0.44	0.43	0.86	0.84
AC004159.1	0	0	0	0
AC004160.4	0	0	0	0
AC004221.1	20.06	17.1	11.27	16.29
AC004222.1	0	0	0	0
AC004223.1	3.5	0.98	1.22	1.23
AC004231.2	0.06	0	0	0
AC004237.1	0.11	0	0	0
AC004240.2	0	0	0	0.06
AC004241.1	0.15	0.07	0.02	0.01
AC004258.1	0.05	1.23	1.17	1.76
AC004381.1	0	0	0	0
AC004381.2	0	0	0	0
AC004381.3	0	0	0	0
AC004381.6	2.64	1.21	1.98	1.05
AC004383.1	0	0	0	0
AC004383.3	0.47	0.34	0	0.31
AC004386.1	0	0	0	0
AC004386.2	1.08	0.82	1.54	1.31
AC004386.3	0	0	0	0
AC004386.4	0	0.03	0.03	0.06
AC004447.1	3.24	1.53	2.69	1.97
AC004448.1	2.01	5.67	8.03	23.37
AC004448.2	0	0	0	0
AC004448.5	0	0	0	0
AC004448.6	0	0	0	0
AC004449.1	0.02	0.07	0.17	0.3
AC004453.8	0.29	0.15	0.16	0.2
AC004458.1	0	0	0	0
AC004460.1	0	0	0	0
AC004460.2	0	0	0.33	0
AC004461.4	0.12	0.15	0.05	0.13
AC004471.1	0	0	0	0.03
AC004471.9	0	0	0	0.04
AC004485.3	0	0	0	0
AC004490.1	0.04	0.01	0.17	0.15
AC004492.1	0	0	0	0
AC004510.1	0.06	0.01	0.24	0.22
AC004510.2	0	0	0	0
AC004522.1	0	0	0	0
AC004535.2	0	0	0	0
AC004538.3	0	0	0.24	0.01
AC004540.4	13.27	0.46	1.5	0.38
AC004540.5	12.17	2.69	0.79	0.49
AC004541.1	0	0	0	0
AC004543.1	0	0	0	0
AC004543.2	0	0	0	0
AC004547.1	0	0	0	0
AC004549.6	0	0	0.06	0.03
AC004593.3	0	0.15	0.03	0
AC004596.1	0.54	0.86	1.47	2.45
AC004603.4	0.05	0	0	0
AC004668.1	0	0	0	0
AC004673.1	0	0	0	0
AC004675.1	0.04	0	0.03	0.07
AC004691.5	0	0	0	0
AC004692.4	0	0	0	0
AC004692.5	0	0	0	0
AC004699.1	0	0	0	0
AC004741.4	0	0	0	0
AC004743.1	0.2	0.16	0.24	0.19
AC004744.3	0	0	0	0
AC004745.1	0	0	0	0
AC004746.1	0	0	0	0
AC004754.1	0	0	0	0
AC004765.1	18.56	9.38	1.7	1.67
AC004771.1	0	0	0	0
AC004790.3	0	0	0	0
AC004815.1	0	0	0	0
AC004832.1	0	0.04	0.11	0.19
AC004834.1	0.01	0	0	0
AC004837.3	0.1	0	0	0.17
AC004837.4	0	0	0	0
AC004837.5	0.07	0.14	0.07	0.61
AC004840.1	0	0	0	0
AC004840.2	0	0	0	0
AC004840.8	0	0	0	0
AC004840.9	0.23	0.52	1.22	1.15
AC004841.1	2.54	2.8	0.45	1.18
AC004846.1	1.62	1.21	0.98	0.43
AC004846.2	0.22	0.14	0.56	0.35
AC004851.1	0	0	0	0
AC004854.4	0.25	0	0	0.11
AC004854.5	0	0	0	0
AC004855.1	0	0	0	0
AC004862.6	0	0	0	0
AC004866.1	26.56	209.77	92.71	138.02
AC004866.3	0	0	0	0
AC004869.2	0	0.05	0	0
AC004869.3	0	0	0	0
AC004869.4	0	0	0	0
AC004870.3	0	0	0	0
AC004870.4	0	0	0	0.11
AC004870.5	0	0	0	0
AC004875.1	0	0	0	0
AC004878.2	0.17	0	0	0
AC004878.3	3.14	1.65	5.29	5.07
AC004878.5	0.06	0	0.78	0.42
AC004878.6	0.24	0	0.15	0.16
AC004878.7	0	0	0	0
AC004878.8	0	0	0	0
AC004884.1	0	0	0	0
AC004889.1	294.01	127.61	37.27	17.69
AC004893.10	0.07	0	0.24	0.1
AC004893.11	0.35	0.38	1.53	1.61
AC004895.4	0	0.05	0	0
AC004898.1	1.07	1.82	4.3	3.43
AC004898.2	0	0	0	0
AC004899.3	0	0	0	0
AC004901.1	0	0	0	0
AC004906.3	0	0	0.35	1.16
AC004911.2	0	0	0	0
AC004917.1	0	0	0	0
AC004920.2	0	0	0	0
AC004920.3	0	0	0	0
AC004923.1	0.02	0.06	0.04	0.08
AC004924.1	0	0	0	0
AC004925.1	0	0.08	0	0
AC004932.1	0	0	0	0
AC004932.2	0	0	0	0
AC004932.3	0	0	0	0
AC004932.4	0	0	0	0
AC004938.5	0	0	0	0
AC004941.1	0	0	0	0
AC004941.2	0	0	0	0
AC004941.3	0	0	0	0.03
AC004941.5	0	0	0	0
AC004945.1	1.44	0.22	0.04	0.03
AC004947.2	0	0	0.05	0
AC004949.1	0	0	0	0
AC004951.1	2.48	1.85	2.1	2.16
AC004951.5	0	0	0	0.05
AC004951.6	2.44	1.05	2.54	3
AC004967.1	1.03	1.02	0.39	0.41
AC004967.7	0	0.49	0	0.35
AC004968.2	0.25	0.2	0.45	0.38
AC004969.1	0	0	0	0
AC004969.2	0	0	0	0
AC004971.1	0	0	0	1.81
AC004975.1	0	0	0	0
AC004979.1	0	0	0	0
AC004979.2	0	0	0	0
AC004979.3	0	0	0	0
AC004979.4	0	0	0	0
AC004979.5	0	0	0	0
AC004979.6	0	0	0	0
AC004979.7	0	0	0	0
AC004980.1	0	0	0	0
AC004980.10	1.65	0.22	0.28	0.26
AC004980.2	0.53	0.26	0.49	0.17
AC004980.7	6.32	0.99	2.68	2.93
AC004980.8	0	0	0	0
AC004980.9	2.35	0.52	2.67	2.32
AC004985.12	0	0.02	0.07	0.13
AC004987.10	0	0	0	0
AC004987.9	0.15	0	0	0.02
AC004988.1	0.19	7.65	0.21	0.11
AC005006.1	0	0	0	0
AC005008.2	0	0	0	0
AC005008.3	0	0	0	0
AC005009.1	0	0	0	0
AC005009.2	0	0	0.15	0.03
AC005013.5	0	0	0	0
AC005014.5	0.02	0.01	0.02	0.04
AC005017.2	0.01	0.05	0	0
AC005019.2	0.07	0	0	0.06
AC005019.3	0.26	0	0	0
AC005020.1	7.16	3.21	10.22	7.14
AC005023.1	0.17	0.33	0.34	0.39
AC005027.3	0	0	0	0
AC005033.6	0	0	0	0
AC005034.2	0	0	0	0
AC005035.1	34.54	5.72	22.38	19.6
AC005035.2	0	0.08	0.01	0
AC005037.1	0	0	8.04	0
AC005037.3	3.12	2.06	8.04	7.67
AC005037.6	0	0	0	0
AC005040.1	0	0	0	0
AC005040.3	0	0	0	0
AC005041.11	0	0	0	0
AC005042.2	0.06	0.06	0.19	0.06
AC005042.3	0	0	0	0
AC005042.4	0.2	0.15	0.08	0.05
AC005042.5	0	0	0	0
AC005048.1	0	0	0	0
AC005060.1	0	0	0	0
AC005062.2	0	0	0.37	0.26
AC005068.1	0.02	0.04	0.03	0.04
AC005071.1	0	0	0	0
AC005071.2	0	0	0	0
AC005071.3	0.92	0.59	1.22	0.76
AC005075.5	0.03	0.03	0.07	0
AC005076.5	2.36	0.73	1.01	0.37
AC005077.1	0.26	0.2	0.17	0.14
AC005077.14	0.01	0.02	0.01	0.04
AC005077.5	0	0	0	0
AC005077.7	0.04	0.04	0.04	0
AC005077.8	0.05	0.08	0	0
AC005077.9	0	0	0	0
AC005082.1	0	0	0.36	0.68
AC005082.12	34.57	8.51	8.33	7.91
AC005082.2	1.18	1.4	3.38	4.92
AC005082.3	0	0	0	0
AC005083.1	0.07	0.99	2.15	1.92
AC005086.1	0	0	0	0
AC005086.2	2.48	0.83	2.06	4.23
AC005086.3	0	0	0	0.64
AC005086.4	0	0	0	0
AC005088.1	0	0	0	0
AC005094.2	0	0	0	0
AC005102.1	0	0	0	0
AC005104.1	0	0	0	0
AC005104.3	0.2	0.12	0.33	0
AC005105.2	0.02	0.06	0.02	0.02
AC005138.1	0.47	0.12	0	0
AC005150.1	0.13	0.11	0.05	0.03
AC005152.1	0.2	0	0	0
AC005152.3	0.87	1.29	0.88	0.21
AC005154.5	1.27	0.98	0.86	0.53
AC005154.6	1.64	1.26	2.28	2.82
AC005154.7	0.62	0.3	1.1	1.04
AC005154.8	0.24	0.15	0.24	0.41
AC005154.9	0.58	0	0	0.19
AC005159.1	0	0	0	0
AC005160.3	0	0	0	0
AC005161.1	0	0	0	0
AC005162.3	0	0	0	0
AC005162.4	0	0	0	0
AC005162.5	0.05	0	0	0
AC005178.1	0	0	0	0
AC005181.1	0	0	0	0
AC005187.1	0	0	0	0
AC005189.1	0.26	0.36	1.28	1.26
AC005189.6	0	0	0	0
AC005197.1	0	0	0.23	0.23
AC005197.2	0	0	0	0
AC005197.3	0.17	0	0	0
AC005197.4	0.19	0.36	0.52	0.5
AC005208.1	0	0	0	0
AC005215.1	0	0	0	0
AC005220.3	0.11	0.14	0.08	0.21
AC005224.1	0	0	0	0
AC005224.2	0.47	0.22	1	0.46
AC005225.1	0	0	0	0
AC005229.5	0	0	0	0
AC005229.7	0.07	0	0	0
AC005232.1	0	0	0	0
AC005235.1	0.01	0.01	0	0.06
AC005236.1	0.23	0	0	0
AC005237.2	0	0	0	0
AC005237.4	0.05	0	0	0.13
AC005243.1	0.22	0	0	0
AC005251.1	0	0	0	0
AC005251.2	0	0	0	0
AC005251.3	0	0	0.02	0.01
AC005255.6	0	0	0	0
AC005271.1	0	0	0	0.09
AC005276.1	1.37	72.19	0.87	0.55
AC005281.1	0.66	0.14	0	0
AC005281.2	0	0	0.03	0
AC005284.1	0	0	0	0
AC005300.5	0	0	0.08	0.14
AC005301.8	0.02	0.09	0.04	0
AC005304.1	0	0	0.07	0.13
AC005323.1	0.01	0	0	0
AC005324.6	0.12	0	0.29	0.6
AC005324.7	0	0	0	0
AC005329.1	0	0.18	0.56	0
AC005329.7	0.25	0.12	0.12	0.1
AC005332.1	31.61	10.15	15.87	12.29
AC005332.2	0.07	0.25	0.36	0.16
AC005336.1	0	0	0	0
AC005351.1	0	0	0	0
AC005355.1	0	0	0	0
AC005355.2	0	0	0	0
AC005358.1	0.04	0.05	0.06	0.03
AC005358.3	0	0	0	0
AC005363.9	5.89	4.66	11.6	14.21
AC005370.1	0	0	0	0
AC005392.13	0.17	0	0.25	0.05
AC005392.2	0.05	0.4	1.92	0.05
AC005394.1	0.04	0	0	0
AC005394.2	0.22	0.17	0.2	0.2
AC005410.1	0	0	0	0
AC005481.5	0	0.01	0.06	0.06
AC005484.2	0	0	0	0
AC005487.2	0.16	0.04	0	0
AC005488.1	0.44	0.75	1.23	0.48
AC005488.11	0.15	0.08	0.13	0.34
AC005488.13	1.8	1.24	3.58	3.76
AC005493.1	0	0	0	0
AC005498.1	0.3	0.19	0.35	0.81
AC005498.2	0.2	0.53	0.95	0.51
AC005512.1	0.07	0	0	0
AC005512.2	0	0	0	0
AC005512.4	0.03	0.02	0.07	0.03
AC005513.1	0	0	0	0
AC005517.1	0.11	0.11	0.24	0.17
AC005517.3	0.34	0.11	0.17	0.35
AC005518.2	0	0	0	0
AC005522.6	0	0	0	0
AC005522.7	0	0	0	0
AC005532.5	0	0.29	0.55	0.48
AC005534.6	0.13	0	0	0
AC005534.8	0	0	0.18	0.12
AC005534.9	0.11	0	0.36	0.13
AC005537.2	0	0	0	0
AC005538.5	0	0	0	0
AC005539.2	0	0	0	0
AC005540.3	0	0.03	0.03	0
AC005544.1	0	0	0	0
AC005550.3	0.02	0.01	0.01	0
AC005550.5	0	0	0	0
AC005562.1	20.11	7.09	13.1	16.61
AC005586.1	0	0	0	0
AC005586.2	0.02	0.04	0.1	0.05
AC005588.2	0	0	0	0
AC005592.1	0.06	0.2	0	0
AC005592.2	1.56	1.12	0	0
AC005609.1	0	0	0	0
AC005609.17	0.01	0.04	0.02	0
AC005609.2	0	0.02	0	0
AC005618.1	7.47	1.16	0.35	0.22
AC005626.1	0	0	0	0
AC005631.1	0	0	0	0
AC005631.2	0.06	0	0	0
AC005632.1	0	0	0	0
AC005632.2	0.02	0.02	0.12	0.14
AC005632.3	2.1	0.61	2.85	8.05
AC005632.4	0	0	0	0
AC005674.1	0.16	0.16	0.97	1.04
AC005682.5	5.36	0.18	2.29	3.56
AC005682.6	3.08	0.16	0.96	1.66
AC005682.7	1.31	0.05	0.51	0.39
AC005682.8	0	0	0	0.07
AC005692.1	11.84	0.59	0.08	0
AC005696.2	0.94	0.85	2.97	3.45
AC005697.1	0.02	0	0	0
AC005697.2	0	0.05	0.02	0.04
AC005702.2	0.48	0.34	0.24	0.25
AC005703.2	0	0	0	0
AC005703.3	0	0	0	0
AC005722.4	0	0	0	0
AC005725.1	0	0	0	0
AC005726.1	0	0	0	0
AC005726.2	0.95	0	2.4	0
AC005726.3	0	0	0	0
AC005726.4	1.04	1.4	4.07	2.28
AC005726.6	0	0	0	0
AC005726.7	0	0	0	0
AC005730.2	0	0	0	0
AC005740.3	0.21	0.1	0	0
AC005740.4	0	0	0	0
AC005740.5	0	0	0	0
AC005741.2	0	0	0	0
AC005746.1	0	0	0	0.01
AC005752.1	2.44	0.31	0.1	0
AC005752.2	2.08	0.48	0.05	0.05
AC005752.3	0.22	0.02	0.02	0.01
AC005753.1	1.75	0.11	0.04	0
AC005754.1	1.49	0.66	0.16	0.05
AC005768.1	0.52	0.26	1.07	0.33
AC005772.2	0	0	0	0
AC005779.1	0	0	0	0
AC005795.1	0	0.46	3.96	4.85
