Gene	ERR2228756.fastq.gz	ERR2228757.fastq.gz	ERR2228758.fastq.gz	ERR2228759.fastq.gz	ERR2228760.fastq.gz	ERR2228761.fastq.gz	ERR2228762.fastq.gz	ERR2228763.fastq.gz	ERR2228764.fastq.gz	ERR2228765.fastq.gz	ERR2228766.fastq.gz	ERR2228767.fastq.gz
ADAMTS4	0	0	0	0	0	0	0	0	0	0.19	0	0
ADAMTS5	0	0	0	0	0	0	0	2.56	0	0	0	0
ADAMTS6	0.1	0	0.26	0	0	0	0	0	0	0	0	0
ADAMTS7	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS8	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS9	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTSL1	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTSL2	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTSL3	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTSL4	17.78	7.43	2.1	25.76	15.85	7.86	23.57	18.1	40.7	17.93	7.04	15.26
ADAP1	1.84	0	0.9	3.73	4.1	0.12	0	1.76	0	1.78	0	0
ADAP2	0	4.18	0	0	3.66	0.58	0	0	0.62	0	2.56	0.87
ADAR	0.32	1.7	2.71	7.22	6.06	6.42	25.69	12.96	8.09	4.05	0.89	0.65
ADARB1	0	0	0	0	0	0	0	0	0	0	0	0
ADARB2	0.17	0	0	0	0	0	0	0	0	0	0	0
ADAT1	0	0	0	0	0	0	0	0	0	0	0	0
ADAT2	0.04	0	0	0.06	0	0	0	0	0	0	0	0
ADAT3	0	0	0	0	0	0	0	0	0	0	0	0
ADCK1	0	0	0	0	0	0	0	3.7	0	0	0	0
ADCK2	1.36	0	0	1.21	0.14	0	0	0	0	0	0	0
ADCK5	0	0	0	0	1.02	0	0	0	0	0	0	0
ADCY1	0	0.17	0.09	0	0.02	0	0	0	0	0	0.1	0
ADCY10	0	0	0	0	0	0	0	0	0	0	0	0
ADCY10P1	0.11	0	0	0.08	0	0	0	0	0	0.27	0	0
ADCY2	0	0	0	0	0.03	0.02	0	0	0	0.03	0	0
ADCY3	0.89	0	5.2	0.38	5.8	4.55	0	0	2.64	2.68	0.3	4.32
ADCY4	0.56	0	0.16	0	0	0	1.42	0	0	5.31	0.49	0
ADCY5	0.2	0	0	0	0	0	0	0	0	0	0	0
ADCY6	0	0	0	0	0	0	0	0	0	0	0	0.05
ADCY7	1.7	8.22	0.85	5.99	4.62	2.4	5.91	1.73	3.05	10.31	1.32	10.3
ADCY8	0	0	0	0	0	0	0	0	0	0	0	0
ADCY9	0.48	0.07	0	0.09	0	0	0	0	0.36	0.11	0.08	0
ADCYAP1	0	0	0	0	0	0	0	0	0	0	0	0
ADCYAP1R1	0	0	0	0	0	0	0	0	0	0	0	0
ADD1	0.31	3.13	1.13	8.9	5.74	10.48	5.47	2.62	4.51	1.25	0.87	0
ADD2	0	0	0	0	0	0	0	0	0	0	0	0
ADD3	0	0	0	9.05	1.74	0.1	0	0	0	0	1.94	0
ADGB	0.55	0	0	0	0	0	0	0	0	0	0	0
ADGRA1	0	0	0	0	0	0	0	0	0	0	0	0
ADGRA2	1.15	1.29	0.42	0.17	0.68	1	0	1.61	0.73	1.79	0.85	1.35
ADGRA3	0	0	0	0	0	0	0	0	0	0	0	0
ADGRB1	0	0	0	0	0	0.29	0	0	0	0	0	0
ADGRB2	0	0	0	0	0	0	0	0	0	0	0	0
ADGRB3	0	0	0	0	0	0	0	0	0	0	0	0
ADGRE1	0.77	0	0	0	0	0.67	0	0	0	0	0	0
ADGRE2	0.68	4.47	8.28	0	3.68	0.23	0.18	0.15	0	2.19	4.27	0.58
ADGRE3	0	1.58	1.62	0	0.97	0.47	0	0	0.52	0	0.65	0
ADGRE5	5.98	6.84	10.87	25.74	14.7	5.21	5.47	4.26	1.32	8.54	7.22	4.33
ADGRF2	0	0	0	0	0	0	0	0	0	0	0	0
ADGRF3	0.28	12.24	3.28	0.2	2.25	0.91	0	0	0.21	1.67	3.37	0.59
ADGRF4	0	0	0	0	0	0	0	0	0	0	0	0
ADGRF5	0	0	0	0	0	0	0	0	0	0	0	0
ADGRG1	0	0	0.72	0	0.07	0	0	0	0.8	0.86	0.76	0
ADGRG2	1.3	0.08	0	0	0.68	0.71	0	0	0.16	0.67	0.19	0
ADGRG3	0	0.31	0	0	0	0	0	0	0	0	0	0
ADGRG4	0	0	0	0	0	0	0	0	0	0	0	0
ADGRG5	0	0	0	0	0	0	0	0	0	0	0	0
ADGRG6	0	0	0	0	0	0	0	0	0	0	0	0
ADGRG7	0	0	0	0	0	0	0	0	0	0	0	0
ADGRL1	1.24	4.93	0.47	9.28	5.27	8.89	0.97	15.16	0.38	1.72	0.22	0.69
ADGRL2	0	0	0	0	0	0	0	0	0	0	0	0
ADGRL3	0	0	0	0	0	0	0	0	0	0	0	0
ADGRL4	0	0	0	0	0	0	0	0	0	0	0	0
ADGRV1	0	0.63	8.78	0.28	0	0	0	0	0.33	0	0	0
ADH1A	0	0	0	0	0	0	0	0	0	0	0	0
ADH1B	0	0	0	0	0	0	0	0	0	0	0	0
ADH1C	0	0	0	0	0	0	0	0	0	0	0	0
ADH4	0	0	0	0	0	0	0	0	0	0	0	0
ADH5	0	0.87	0	0	4.49	5.35	0	0	4.98	9.64	2.03	0
ADH6	0	0	0	0	0	0	0	0	0	0	0	0
ADH7	0	0	0	0	0	0	0	0	0	0	0	0
ADHFE1	0	0	0	0	0	0	0	0	0	0	0	0
ADI1	0.23	1.01	0.45	0.09	1.1	0.63	0	0	0	0.71	0.33	0
ADIG	0	0	0	0	0	0	0	0	0	0	0	0
ADIPOQ	0	0	0	0.55	0	0	0	0	0	0	0	0
ADIPOR1	3.38	0.79	0.52	5.69	7.19	3.87	0.61	1.18	3.79	7.28	3.65	4
ADIPOR2	2.42	0.75	5.17	0.45	0.72	0	0	0	0.31	1.23	0	13.06
ADIRF	0	0	1.12	0	2.02	1.07	3.24	0	11.83	0.54	0.38	10.15
ADK	0.14	0	0	0	0.98	0.78	0	0	0	1.62	0	0
ADM	1.51	0	0.59	1.76	0	0	0	0	2.01	10.88	0.37	0
ADM2	0	0	0	0	0	0	0	0	0	0	0	0
ADM5	0	0	0	0	0	0	0	0	0	0	0	0
ADNP	0.43	0.05	0	0	0.34	0.09	0	0	0.15	0.38	0	0.41
ADNP2	0.05	0	0	0	0.16	0	0	0	0.42	0.18	0	0
ADO	0.13	0	0	0	0	0	0	0	0	0	0.23	1.45
ADORA1	0	0	0	0	0	0	0	0	0	0	0	0
ADORA2A	0	0.18	0.39	4.53	0.58	0	4.83	0	0.61	6.37	2.85	9.75
ADORA2B	0.21	0	0	0	0.84	0	0	1.75	1.29	0.18	0.13	0
ADORA3	0	0	0	0	0	0	0	0	0	0	0	0
ADPGK	1	23.79	35.91	18.2	19.49	5.29	0.26	28.51	0	6.22	10.96	19.52
ADPRH	0.21	0	1.24	6.16	3.45	0.15	1.39	0.96	5.62	2.75	1.91	0.36
