gene	Hugo_Cell_2016-Pt1	Hugo_Cell_2016-Pt2	Hugo_Cell_2016-Pt4	Hugo_Cell_2016-Pt5	Hugo_Cell_2016-Pt6	Hugo_Cell_2016-Pt7	Hugo_Cell_2016-Pt8	Hugo_Cell_2016-Pt9	Hugo_Cell_2016-Pt10	Hugo_Cell_2016-Pt12	Hugo_Cell_2016-Pt13	Hugo_Cell_2016-Pt14	Hugo_Cell_2016-Pt15	Hugo_Cell_2016-Pt19	Hugo_Cell_2016-Pt20	Hugo_Cell_2016-Pt22	Hugo_Cell_2016-Pt23	Hugo_Cell_2016-Pt25	Hugo_Cell_2016-Pt27A	Hugo_Cell_2016-Pt27B	Hugo_Cell_2016-Pt28	Hugo_Cell_2016-Pt29	Hugo_Cell_2016-Pt31	Hugo_Cell_2016-Pt32	Hugo_Cell_2016-Pt35	Hugo_Cell_2016-Pt37	Hugo_Cell_2016-Pt38
AADAC	0.0550484	60.42305	0.14146595	0	0	0	0	0.5253455	0.01114495	0.0290807	0.02354665	3.82364	0.02317175	0	0	0.2459825	0	0.03018125	0	0	7.0575	1.125145	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00870235	0	0	0	0	0	0
AADACP1	0.135279	0.945618	0.0690034	0.37009	0.218705	0.0194779	0.034629	0.04889985	0.0342813	0.0214403	0.0365992	6.927315	0.5445365	0.2650605	0.09428465	0.1221075	0	0	0.184617	0.515247	0.0534271	0.163448	0	0.2559	0.050901	0	0
AADAT	3.165665	9.33938	2.45732	4.1394	2.18692	1.241595	1.384905	2.19941	9.373125	7.161025	7.11458	0.18812	1.09588	1.0430795	0.5187115	2.07273	4.43491	1.25142	0.183485	0.13923115	0.504503	2.008325	1.09536	6.15927	1.09821	1.68853	0.566683
AAGAB	16.8827	12.5851	21.68765	28.5239	34.1763	11.82775	12.9606	20.8876	12.09495	17.4145	14.96335	11.7102	13.2064	11.223	12.20435	16.2459	7.917345	10.59615	15.67225	12.97945	19.1483	20.89185	12.8652	11.8978	23.6436	16.6228	16.7059
AAK1	2.11881	1.17207	1.596825	1.53807	2.387955	2.187845	2.281765	1.4368	2.308705	3.482905	2.57357	2.191775	0.792516	1.521045	1.74387	2.970775	2.52283	0.908596	2.09875	1.738035	1.79569	1.58749	7.29579	6.03756	2.7514	3.52078	3.69697
AAMDC	16.9462	33.32875	30.92115	35.0947	17.4285	44.83105	18.2533	31.26105	11.47055	14.22705	23.8442	34.0623	30.9179	40.3712	32.47005	22.70915	41.0251	80.72445	19.2629	21.08225	20.0355	20.7363	22.1306	32.2679	14.4601	62.7709	14.2708
AAMP	77.88625	41.988	59.4612	51.8853	52.69105	69.1745	82.0129	73.0901	74.65995	52.3915	48.191	59.8372	68.81145	167.216	74.8112	51.82645	54.22685	89.6573	53.9372	48.7408	92.1442	37.0638	88.8174	73.7379	80.0284	71.3328	57.2223
AANAT	0.09907555	0.03349835	0	0	0.0746028	0.12129945	0.058059	0.0089891	0.07979285	0.0837075	0.0171648	0.0964974	0.149581	0.0547005	0.107013	0.03811175	0.0471421	0.04749715	0.0677002	0.060854	0.1173605	0.052636	0.0526521	0.051187	0	0.0485191	0.244506
AAR2	19.10715	14.0337	31.61955	28.4039	13.05855	31.60735	24.19465	20.19505	17.9659	17.6822	12.84305	23.20095	30.41675	47.86845	29.2178	20.79395	14.3906	43.54535	18.60905	21.00285	20.7486	20.9984	24.7929	24.7446	27.9832	22.1349	17.1874
AARS2	4.34359	7.48933	19.678	22.65035	12.1228	5.801855	6.478975	6.94749	4.372425	4.98553	8.11995	6.15692	13.87025	17.93295	8.350005	8.539765	7.890285	12.2489	8.738115	11.22905	6.48508	7.640345	18.3991	6.31382	13.8671	9.62019	7.33556
AARSD1	16.22105	25.1097	25.6966	13.6312	32.41665	15.83125	19.10175	17.8201	17.6196	15.23855	16.5128	16.1646	20.937	30.70575	15.2684	17.9211	14.39445	33.05415	13.1844	12.45925	25.34405	10.6162	27.3473	21.2422	26.9236	46.0019	14.946
AASDH	4.323625	4.299325	3.08183	5.19813	4.54136	2.766675	2.60663	3.55082	2.82301	3.5171	4.063985	2.19638	2.757475	1.19583	3.26629	3.8315	1.76601	2.76981	4.670965	5.794145	3.754415	4.307135	0.860808	3.66045	1.44451	4.35912	4.26871
AASDHPPT	25.5846	14.91265	11.14295	18.7368	28.21595	10.6868	8.01871	36.7933	42.70625	28.8039	27.10215	39.7183	21.52685	10.34745	11.87565	25.91015	18.26485	11.74695	20.10375	23.39405	13.5591	19.1494	4.82025	14.3755	13.7495	17.1636	18.6686
AASS	4.32262	6.05032	1.56573	3.312505	15.78945	3.94366	9.467745	6.90201	3.70039	11.76345	7.8016	5.107315	6.29619	3.57812	4.47085	6.79181	5.860185	1.75156	6.285885	9.91105	7.341465	10.01148	2.02481	6.8737	4.33745	2.8495	3.66264
AATF	30.11755	27.1923	45.1766	13.23925	27.00195	24.7143	28.17945	26.7717	28.6219	18.60765	26.55215	42.9087	26.2766	64.8504	16.74655	24.5248	31.6032	64.4196	32.2195	27.81535	31.31635	17.2781	69.1259	18.6769	36.2604	70.8342	35.03
AATK	0.3447695	3.06991	2.18713	0.1044569	4.9225	2.008345	3.48649	2.55308	6.56662	34.6875	1.911725	0.202959	2.879675	10.4415	3.53681	1.529875	2.751075	6.443025	0.6323095	0.6701085	0.7064785	1.894735	1.2365	1.68644	8.31451	8.75231	0.944787
ABAT	1.57568	70.4077	0.792601	2.543705	1.6748	0.9998985	2.134865	0.739975	1.7611	0.1687605	2.309675	0.350626	0.3076665	0.426324	0.9607625	1.332505	0.9583665	0.311063	2.376075	3.40878	1.573745	1.177255	0.307821	0.316215	0.263871	0.343146	3.28478
ABCA1	2.3198	5.924635	5.00157	0.312211	9.41338	4.37773	3.20798	2.654225	9.978155	4.25247	14.2002	10.5427	3.254155	0.4946605	5.409855	16.691	4.93366	2.46706	6.974135	7.978065	6.395145	6.34942	0.789265	2.39281	2.22747	0.208414	1.72799
ABCA10	0.2818505	0.278812	0.05686425	0.03103978	0.058534	0.235029	0.657519	0.4814145	0.248481	0.229952	0.254919	0.115166	0.168765	0.07935425	0.587547	0.7505925	0.29952	0.07756725	0.49256	0.927076	0.326993	0.3996365	0.0629489	2.27235	0.202589	0.0849868	0.040509
ABCA11P	0.8552735	2.47206	3.4888150000000002	2.553565	2.77777	1.706755	3.137395	2.136785	1.74569	0.786262	2.336195	3.85689	2.668225	2.132505	2.628005	3.564095	1.628515	2.72739	2.41798	2.88116	2.000605	2.469235	0.972174	2.45604	3.28819	1.12642	3.25984
ABCA12	0	0.003942285	0.05180575	0.0152441	0.1683825	0.00973837	0.01568545	0.00321604	0.006974795	0.00249696	0.033784	0	0.01334969	0	0.0064705	0.05185565	0.0327866	0.01161796	0.02171405	0.0225516	35.45035	0.004742885	0.00954654	0.0258636	0.00623032	0.0439667	0
ABCA13	0.0242682	0.0315534	0.042726	0.180229	0.147531	0.02960495	0.01096825	0.3611065	3.23668	0.519846	0.602307	0.0080695	0.1003281	0	0	0.114287	0.3542025	0.009298245	0.01577165	0.03010595	0.02521225	0.01985805	0.0100216	0.0835886	0.0731881	0.0176547	0
ABCA2	8.63894	15.43055	5.06011	3.890025	3.706575	13.3949	14.10885	5.27641	26.5863	7.92438	10.3788	5.85075	5.325805	11.9517	10.8203	3.2306	11.47385	8.445635	12.3269	17.0697	3.11812	8.794825	3.99736	8.59983	3.09348	31.5276	9.2643
ABCA3	11.865	5.849525	14.34025	6.454935	5.90274	14.06605	6.696395	4.38971	7.095755	0.5700235	3.12525	6.10891	10.73795	16.5695	1.818875	1.04048	1.60634	3.02518	12.589	11.1894	0.729995	26.229	0.989579	0.467458	0.797787	18.0362	5.43133
ABCA4	0.017608865	0.03246985	0.010750615	0.0153767	0.01936055	0.0499184	0.01246035	0.004019465	0.0378966	0.007911755	0.0472515	0.10286495	0.460268	0.0156798	0.012637795	0.04910335	0.04503085	0.003942405	0.009949635	0.008910895	0.15863705	0.0255504	0.0230406	0.41848	0.0593621	0	0.0456257
ABCA5	1.119475	5.099505	1.642025	1.69817	1.258785	3.836115	5.10526	3.72119	3.9656	1.28788	3.047045	0.194317	1.91112	1.640745	6.901155	1.680355	1.62219	0.708646	11.2563	19.3979	2.6387	6.145275	0.314683	1.71847	6.28159	3.38969	1.76357
ABCA6	3.08544	9.233855	0.1695805	0.03465125	0.0725236	0.10541885	0.4450165	2.53446	20.08095	1.976315	9.580375	0.6310715	0.159496	0.2810305	0.299909	3.156665	0.129282	0.1860075	0.5404175	0.199991	0.360079	1.034487	0.0781347	4.26543	0.210252	0.072709	3.4336700000000002
ABCA7	2.84815	1.249205	0.692604	2.67821	1.19822	7.452845	1.911945	1.411255	1.4543	2.75927	3.47023	1.238425	3.75515	5.298765	4.88122	2.11578	3.86479	3.311105	2.88947	2.926825	7.20456	5.44149	1.21684	4.68365	1.07337	4.78469	10.5297
ABCA8	2.67996	5.99889	1.921415	0.1139745	0.081284	0.125607	6.157255	3.989485	0.3385455	1.662315	16.79085	0.952495	0.1889685	0.4570315	0.1577795	3.767185	0.0413345	0.216279	4.95556	33.35585	0.377392	1.809755	0	17.4864	0.0201892	0.014167	1.10062
ABCA9	1.264555	2.79254	0.3195145	0.0931935	0.06204955	0.03663965	0.7878475	1.0121415	1.258925	0.658932	1.783045	0.4142475	0.1955195	0.1934385	0.4936295	2.481905	0.26979	0.2122745	8.75291	12.1101	0.145747	0.8421385	0.112466	1.4906	0.194809	0.120314	0.173811
ABCB1	1.67231	4.801245	0.291341	0.3797055	4.946255	57.4389	1.86535	0.385589	0.306171	1.074054	0.962245	0.230447	0.5624995	0.2809825	1.967205	1.126195	0.6874995	0.3169285	0.596039	0.3557535	0.670695	1.4277	1.34372	0.744879	0.340454	0.148	1.88134
ABCB10	10.50765	11.78475	5.25197	17.6436	4.799605	7.507	8.24417	7.341685	12.479	9.75434	5.87882	8.379005	12.20015	4.850555	9.566955	8.54396	4.953465	3.276255	12.5362	14.53355	6.802125	8.81954	0.641401	3.13646	5.21606	1.54354	4.79832
ABCB11	0.00547264	5.595765	0.0036137	0	0.00612545	0	0.02426445	0.0360368	0.008183985	0	0.009463665	0.00627356	0	0	0.0327673	0.003297225	0	0	0.115566	0.0571388	0.132153	0.0037622	0	0.0141457	0	0.0150666	0.114833
ABCB4	0.268479	16.57135	0.5091475	0.0584483	9.12464	9.828965	1.86556	0.407929	2.75307	8.508165	7.421895	0.1291575	3.171875	1.204785	0.2789375	0.7957355	1.279655	0.245043	0.480811	0.3904855	0.45694	0.853331	6.12128	0.780239	0.69451	0.855382	5.5161
ABCB6	5.39185	9.083385	10.3825	5.7162	5.41576	16.27285	16.59385	6.24622	18.75095	5.29195	4.49691	5.610895	31.21005	72.15865	9.921695	8.97958	23.15445	32.50025	5.86497	5.7971	16.62455	9.963685	21.5755	15.7431	30.2005	48.8991	10.826
ABCB7	7.79978	12.9991	8.112455	11.6909	17.22505	6.045995	8.979495	12.86525	7.306015	3.597955	7.128695	10.363745	6.504085	1.8861	8.17559	8.100105	5.71955	4.20207	10.7973	14.90985	8.318045	7.81707	4.50768	5.42938	6.99025	14.0088	11.708
ABCB8	4.776895	6.938165	7.28004	3.02351	9.038695	6.39195	12.09635	10.8445	6.204935	14.6108	5.73068	4.72834	27.5636	41.8875	9.719335	8.69841	20.28755	13.9381	4.675445	3.41401	8.1483	8.57792	33.215	9.37608	10.933	6.99116	7.34447
ABCB9	4.36881	1.193055	1.614265	3.7737	1.784685	1.166715	4.82838	1.537145	3.60256	9.247675	2.147855	1.19396	1.47161	13.49915	0.962382	1.07025	3.525015	3.403085	1.076865	1.098092	1.319395	1.123105	6.27676	2.46349	4.54956	6.5828	2.94499
ABCC1	6.17033	5.114005	14.9292	8.58064	10.19425	6.79393	8.38897	3.33765	9.05688	1.0552	5.81747	14.77355	4.854905	9.102355	6.929725	7.45769	8.822185	9.45424	8.29297	7.827885	20.01045	3.96225	11.7857	5.2198	5.94235	5.84064	14.4439
ABCC10	3.300735	3.77246	9.554915	11.48535	3.183055	7.476065	4.15028	3.634155	2.56414	4.22685	5.967685	6.022725	6.48415	12.73625	6.551015	6.344975	5.77633	13.4338	3.99744	4.031665	5.29473	7.464395	5.68435	7.34716	14.8404	10.4926	4.27966
ABCC11	0.04224565	15.67385	12.53935	0.1832665	0.03504715	0.227059	0.963418	0.251989	0.2064665	0.017741085	0.1005809	0.02811195	0.263936	0.0353588	7.1187	0.433896	0.0388169	0.0899721	6.459835	10.0836	0.408518	1.462615	0	0.038675	0.102443	0.19263	0.167545
ABCC12	0	0.7406655	0.1593975	0	0	0.004082485	0.0084701	0	0.0198017	0	0	0.661648	0.004193845	0	0.06849615	0	0.00355109	0	0.002763545	0	0.0064312	0.0070738	0	0	0	0	0
ABCC13	0	0	0	0	0.031892	0	0	0	0	0	0	0	0	0	0	0	0.0640675	0	0	0	0	0	0	0	0	0	0
ABCC2	2.49478	18.59025	0.1984665	11.7712	18.69405	5.435285	0.062027	0.115225	0.0725475	1.29743	0.1156705	0.114571	6.190285	0.920773	0.2952785	0.352204	0.8872655	0.869446	4.23429	4.99078	0.709584	0.372167	2.81125	0.0541473	6.67745	15.7315	0.787928
ABCC3	0.93691	10.4415	0.368845	0.1875995	1.607985	0.606945	0.720109	0.9172635	2.277625	2.91994	3.18281	0.550096	0.704116	1.45637	1.948165	4.13837	2.72312	0.339017	0.7439475	0.648925	5.80661	2.269915	0.516557	1.18919	0.325791	0.204285	5.0268
ABCC4	4.719325	2.800045	0.984751	5.704615	12.0176	3.17708	5.369765	7.88137	8.698735	4.499675	2.108885	5.46751	2.021805	1.149575	4.07228	2.9453	2.669545	1.927985	0.821706	0.64814	1.439365	5.730225	2.78157	0.790673	5.87228	2.11964	2.84963
ABCC5	10.68165	8.31553	19.0282	11.50655	11.62365	23.65745	18.5336	7.0037	11.8955	9.865355	7.24293	13.03655	26.74865	17.91875	9.79905	11.718	14.9565	11.9	8.40287	13.85605	11.5406	21.4246	4.93205	5.22797	10.5474	7.61902	6.71992
ABCC6	0.03873715	13.35405	0.0622855	0.02285505	0.00472933	0.2099495	0.0109933	1.92354	0.06606275	0.039935935	0.05233965	0.359951	0.06917045	0.173391	0.1425465	0.072526	0.7653415	0.0205029	0.1693325	0.1124687	0.262525	1.103177	0.162507	0.566774	0.103202	0	0.123121
ABCC8	0.002388	0	0.003048625	0.70626	0	0.02276825	0.0285875	0.1178615	2.568645	0	0	0	0	0.01708745	0	0.03977045	0.04943155	0	0	0	0	0.02532615	0	0	0	0	0
ABCC9	3.42698	4.844	0.73663	1.25112	1.474535	1.647005	3.249505	2.50476	2.41555	2.08833	3.05357	2.352595	1.336555	0.27167	1.127685	5.248415	2.32675	0.3763675	1.936635	1.945135	1.85059	6.72308	1.39967	5.94663	1.85324	0.832865	2.32212
ABCD1	11.566	19.09015	5.26439	16.18445	70.68015	27.4047	8.30108	15.46125	1.74594	11.42805	9.00915	16.94075	9.08441	126.4325	20.10605	8.90272	26.49855	66.87115	14.3965	12.5595	5.531365	11.2083	56.6687	12.2034	40.0466	38.7045	8.27026
ABCD3	21.77395	27.5019	14.6856	31.17095	28.77385	20.2223	13.5189	20.7695	12.48035	19.99735	27.5653	24.60145	20.5524	9.49391	14.181	18.6009	12.5417	11.8566	22.69985	28.02405	22.65045	11.6418	2.27916	7.99336	22.3609	9.73559	6.13067
ABCD4	8.148415	14.1552	8.50778	11.63965	15.8978	6.95987	4.256195	8.00453	6.558925	7.946305	9.325915	4.30601	8.208565	8.7546	7.29531	9.50267	6.75513	7.141445	7.20384	8.03792	7.52978	8.032615	5.96215	16.0752	7.32043	8.84324	6.59874
ABCE1	35.5667	25.1449	21.7752	36.3094	32.12905	10.10145	27.61575	26.31635	32.99535	34.9832	28.1102	37.91775	23.1509	13.1208	16.99915	27.1535	23.49325	11.39975	27.08935	31.46965	24.2108	25.8497	9.33932	11.3709	37.9342	14.5068	18.9805
ABCF1	3.684765	2.91301	6.83195	8.818925	6.589215	2.626375	3.81656	2.54188	2.275515	3.246465	5.07127	5.18554	3.082825	4.05179	3.926735	5.174845	3.884705	4.017705	3.871895	3.75686	5.094405	4.44026	14.2855	11.6313	9.57668	18.5747	6.16205
ABCF2	21.0275	14.0811	31.61455	14.43765	32.1638	12.89155	40.60295	37.1298	16.43255	45.93175	23.80105	28.77475	37.97775	23.5962	16.39225	23.71125	26.44365	16.39185	17.81775	16.58015	26.52425	25.3832	48.8578	14.9055	26.2542	24.8563	24.262
ABCF3	17.9437	15.3373	23.88295	15.7417	16.89985	23.54795	27.50095	22.8167	18.06885	19.3511	21.50175	39.84195	35.12805	55.0854	32.61245	17.35085	22.61275	24.6857	16.6366	17.77255	28.54935	20.8461	36.996	13.5505	24.7293	25.3271	19.8102
ABCG1	2.849955	25.81715	5.061695	0.642884	4.56998	3.480465	8.665085	5.66542	2.96473	1.07257	6.27321	17.30465	5.587175	1.56546	7.35317	15.865	6.33238	3.572495	5.053535	3.957745	17.76565	3.973845	13.3974	1.8681	4.7713	1.65864	6.99659
ABCG2	0.3442715	2.55258	0.51829	0.3603075	0.947865	0.1835905	0.1128179	0.274584	0.3772025	0.2059485	0.58554	1.06898	2.93049	0.4828835	0.540879	1.08587	0.85159	0.2374235	0.04320335	0.03023775	0.1646595	1.530615	1.24931	1.3353	0.67273	0.0716153	0.318819
ABCG4	0.02939375	0.05196785	0.0321301	0.0594815	0.02267835	0.0944518	0.04281285	0.00492762	0.12007055	0.06688075	0.0586955	0.0371528	0.0397503	0.241232	0.02094865	0.1139865	0.2341495	0.02641045	0.01950092	0	4.118355	0.07305245	0.0570111	0.0313143	0.0548156	0	0.0222402
ABCG5	0.03605925	13.33345	0.02903175	0.0858377	0.180384	0.1632315	0	0.194237	0.176337	0.07499765	0.0460309	0	0.15554	0.08356	0	0.05443215	0.3101165	0	0	0	0.160498	0	0.815483	0	0.0986911	0	0
ABCG8	0.0050408	19.91255	0	0	0	0	0	0.0127669	0.0246963	0	0	0	0	0	0.01376895	0	0.0087886	0	0	0.0072898	0.356687	0	0	0	0	0	0
ABHD1	0.6709255	0.976847	0.1213027	0.02100045	0.06028765	0.15635455	0.079311	0.1736387	0.1805085	0.04823035	0.152452	0.048747	0.07898165	1.620235	0.1822525	0.08332935	0.16529345	0.0949845	0.0377932	0.0282738	0.03002295	0.04627825	0.149202	0.874756	0.0971159	0.0698415	0.179338
ABHD10	12.9258	13.00165	16.8825	15.1313	24.68285	13.58295	8.450115	17.51195	18.07465	5.995285	16.4207	14.44595	15.894	15.31285	16.25675	15.86785	10.50265	10.855	9.743675	12.5214	5.23917	21.2146	6.22792	7.04417	15.0269	10.559	16.873
ABHD11	4.97731	10.855385	7.94281	4.08922	13.21095	11.8706	26.2378	16.58425	14.00945	14.78685	8.370175	13.3636	18.1665	19.988	12.5336	8.860505	27.85495	24.17745	6.57146	5.539725	8.14186	19.63725	34.7446	9.29438	13.2887	11.9775	9.84046
ABHD12	46.81175	39.5403	43.03935	72.36265	24.65135	52.2056	74.9012	35.0604	50.604	84.1528	24.59395	44.9911	97.9345	165.916	51.05935	32.94775	44.8219	97.23405	50.59885	44.7224	32.45855	34.80345	97.2925	34.4492	73.3066	67.9066	51.5252
ABHD12B	0	0.14328535	0	0	0.2570005	0.109819	0.0743031	7.2435600000000004	0.4706135	0.184511	0.423919	0.2601635	0.01377835	0.11200455	2.134635	1.0882625	0	0.0530846	1.68243	2.223215	10.242255	0.0140668	0.06482	0.171737	0.0427233	0.302164	0
ABHD14A	12.42965	13.0284	9.11174	9.38656	8.75834	11.81985	27.52275	14.8074	14.204650000000001	12.17205	8.8833	7.143795	16.9833	59.3921	27.2087	6.340065	10.88486	79.2979	8.0389	6.721945	5.90449	7.55033	36.9641	15.4182	11.6697	26.4053	11.5074
ABHD14B	40.5701	63.70015	47.3966	31.4911	24.32395	24.87365	42.32075	18.9724	18.74785	15.10605	18.7942	21.2584	20.20575	199.5315	32.78705	20.10765	16.46055	76.7817	22.17005	22.07835	30.84535	18.77865	23.925	12.4399	13.8714	102.752	45.167
ABHD16A	5.106935	8.647135	6.36893	6.64567	6.02382	3.33414	5.837695	6.275485	2.91478	12.9273	8.306005	3.042765	11.8272	7.220475	7.80856	6.095385	7.478515	9.446985	2.89948	2.763185	5.64866	7.89067	9.15602	7.12188	7.10648	9.19076	4.36628
ABHD16B	2.03881	1.24784	1.93976	1.38148	1.45698	5.096485	6.428855	5.14437	3.62761	5.13548	1.986695	8.06291	5.88645	20.37095	6.52086	1.75292	8.16452	6.48754	3.731425	3.643005	9.743425	3.139065	5.55171	5.23979	7.5345	5.18365	8.33811
ABHD17A	34.24365	61.3067	20.12915	49.45835	14.8379	100.94685	97.0818	74.0664	46.9708	44.81285	33.1197	66.80985	100.946	104.9855	82.14995	26.6205	43.5082	87.00165	83.4261	71.161	116.35	56.36595	99.3003	131.608	74.4447	92.8858	102.688
ABHD17B	5.87321	15.0112	15.08615	8.056835	9.551535	6.90104	8.05524	4.82657	9.17626	5.738745	5.971335	8.34946	5.210125	2.319095	13.91265	8.7894	6.679425	7.742395	14.74045	18.92955	8.539075	14.5178	3.10991	2.39825	6.62913	5.76465	12.184
ABHD17C	20.43515	5.44376	9.67557	17.8739	32.38215	6.395345	6.50098	10.5435	16.9261	18.50755	51.57655	7.15627	4.84991	18.91945	7.000595	5.185925	6.57228	4.70662	5.16647	4.158255	48.9497	6.232965	13.8004	12.5287	10.8099	5.61004	20.0055
ABHD2	53.4474	40.5554	24.25205	17.38905	51.5324	142.094	14.81645	50.55795	11.8182	49.03665	97.56975	26.07215	10.16115	28.65535	9.62467	23.88215	7.698295	3.74107	28.01	28.1186	9.16497	15.21285	11.975	25.921	14.6199	6.3775	55.963
ABHD3	9.62575	22.9561	3.940225	6.668025	12.52385	11.81245	8.221185	10.82395	10.5719	20.27145	7.547305	5.45404	8.23588	4.553475	9.633915	10.9239	11.76065	8.081615	6.534185	5.455135	4.90492	29.2765	3.10214	4.90012	17.4328	4.48944	9.29813
ABHD4	10.6322	16.9407	11.9932	14.00595	12.9466	11.57125	10.291615	9.151765	10.022615	12.9007	14.8641	11.4007	11.79835	25.1336	10.87735	13.344	7.35173	11.6117	11.8459	12.07015	15.2789	5.95104	14.804	21.3942	20.7768	20.5348	8.52954
ABHD5	5.06506	3.766335	6.015095	4.46057	4.962315	4.04614	3.23284	4.766205	4.08922	3.379175	4.988415	5.083575	2.414445	3.597255	3.960645	4.194775	3.614895	2.1518	3.152415	3.56584	11.00025	4.893365	2.25445	2.13647	2.6763	3.8955	2.57591
ABHD6	16.00815	24.63335	5.2934	27.97855	23.55265	21.096800000000002	7.149605	5.13429	5.62212	14.0317	6.333975	7.030615	11.4772	13.4484	10.7505	3.44471	6.5035	5.11309	9.963105	10.79525	5.955965	8.07665	9.16661	1.69287	5.78147	22.1251	11.5714
ABHD8	5.65406	6.140855	4.55092	9.050465	3.594485	10.9716	6.451845	9.23514	4.58029	6.43618	6.275755	12.3007	9.912415	30.0684	6.357125	4.704995	8.860135	4.46997	10.10872	7.570375	9.232895	5.973735	17.4417	23.714	6.97452	16.6412	11.74
ABI1	28.61325	36.87115	24.4388	23.82585	26.69905	19.44605	14.24035	14.87155	14.9904	24.11835	19.5297	24.3772	18.953	10.763	39.38045	27.6601	16.36805	15.6813	25.4142	32.3049	38.1047	24.293	4.1667	6.38068	13.0475	11.208	22.766
ABI2	21.74965	13.741	18.97505	10.9626	7.140565	7.00103	8.829935	8.873515	35.9293	24.72085	12.5252	8.50939	5.58161	7.56354	4.54391	11.4738	5.017095	4.989145	13.34565	14.2464	2.40372	5.31391	8.48102	21.5026	19.8906	8.63467	8.14144
ABI3	3.87155	4.745995	3.672985	1.082875	4.13307	1.64623	4.09401	4.579345	1.35008	1.42848	16.78755	12.85255	7.600545	16.0962	15.47795	13.5845	13.96895	13.47115	9.206015	5.590675	5.975365	8.288125	7.31494	4.34594	3.87098	3.43659	26.7154
