NAME	cell_type
ADM	Monocytes
ADORA2A.AS1	T.cells.CD8
ADORA3	Monocytes
ADPRHL2	NK.cells
ADRB2	NKT.cells
ADRBK2	B.cells
ADTRP	T.cells.CD4
AF131215.5	B.cells
AFF1	NK.cells
AFF3	B.cells
AGAP2	T.cells.CD8
AGK	NK.cells
AGMAT	T.cells.CD4
AGO4	Monocytes
AGPAT9	Monocytes
AHI1	B.cells
AHR	Monocytes
AHSA2	T.cells.CD8
AIF1	Monocytes
AIM2	B.cells
AK1	T.cells.CD4
AK5	T.cells.CD4
AKAP5	NK.cells
AKR1C3	NK.cells
AL590822.1	NK.cells
AL627309.1	Monocytes
AL928742.12	B.cells
AL928768.3	B.cells
ALDH1A1	Monocytes
ALDH2	Monocytes
ALDH3B1	Monocytes
ALDH5A1	NK.cells
ALG1	B.cells
ALG11	NK.cells
ALG12	NK.cells
ALG6	NK.cells
ALKBH2	B.cells
ALOX15B	Monocytes
ALOX5	Monocytes
ALYREF	NKT.cells
AMICA1	Monocytes
AMIGO2	NKT.cells
AMN1	B.cells
ANGPT2	T.cells.CD8
ANK1	B.cells
ANK3	T.cells.CD4
ANKEF1	NK.cells
ANKH	T.cells.CD4
ANKRD13C	NK.cells
ANKRD35	NKT.cells
ANKRD36C	NKT.cells
ANKRD55	T.cells.CD4
ANKS1A	NK.cells
ANO10	Monocytes
ANO6	Monocytes
ANO9	NK.cells
ANPEP	Monocytes
ANTXR2	B.cells
AOAH	Monocytes
AP000476.1	NK.cells
AP000783.1	NK.cells
AP001053.11	Monocytes
AP001189.4	Monocytes
AP003774.6	Monocytes
AP1AR	B.cells
AP1S3	NKT.cells
AP3M2	T.cells.CD4
AP5S1	NK.cells
APBA2	T.cells.CD8
APBA3	B.cells
APITD1	T.cells.CD8
APLP1	T.cells.CD8
APLP2	Monocytes
APMAP	NK.cells
APOBEC3A	Monocytes
APOBEC3D	NK.cells
APOBEC3H	NKT.cells
APOL2	NK.cells
AQP3	T.cells.CD4
AQP9	Monocytes
AREG	NK.cells
ARHGAP11B	NKT.cells
ARHGAP18	Monocytes
ARHGAP21	Monocytes
ARHGAP24	B.cells
ARHGAP29	Monocytes
ARHGEF19	NKT.cells
ARHGEF40	Monocytes
ARID3B	NKT.cells
ARL11	B.cells
ARL17A	NK.cells
ARL17B	T.cells.CD8
ARL4D	NK.cells
ARNT	NKT.cells
ARRB1	Monocytes
ARRDC4	Monocytes
ARRDC5	T.cells.CD8
ARV1	NKT.cells
ARVCF	NK.cells
ASB2	T.cells.CD8
ASCL2	NKT.cells
ASGR1	Monocytes
ASGR2	Monocytes
ASTN2	T.cells.CD8
ASXL2	T.cells.CD8
ATAD2	T.cells.CD8
ATAD3A	NK.cells
ATCAY	T.cells.CD8
ATG2A	NK.cells
ATG4C	B.cells
ATG9B	T.cells.CD4
ATL1	NKT.cells
ATMIN	NK.cells
ATP10A	NK.cells
ATP10D	B.cells
ATP11C	T.cells.CD8
ATP1A3	NKT.cells
ATP1B3	NKT.cells
ATP2B4	NKT.cells
ATP6V1B2	Monocytes
ATPAF2	B.cells
ATXN1L	NK.cells
AUH	NKT.cells
AUTS2	NKT.cells
B3GALT2	T.cells.CD4
B3GALTL	NKT.cells
B3GAT1	NK.cells
B3GNT1	NK.cells
B3GNT7	NK.cells
B3GNT8	Monocytes
B4GALNT3	NK.cells
B9D2	NKT.cells
BACE2	B.cells
BACH1	Monocytes
BACH2	B.cells
BAG2	NK.cells
BAG3	T.cells.CD4
BANK1	B.cells
BARD1	NKT.cells
BASP1	B.cells
BATF	NKT.cells
BBS1	B.cells
BCAT1	Monocytes
BCDIN3D	B.cells
BCKDHB	T.cells.CD4
BCL11A	B.cells
BCL11B	T.cells.CD4
BCL2	T.cells.CD4
BCL7A	B.cells
BCL9L	NK.cells
BCOR	B.cells
BCS1L	B.cells
BEND5	B.cells
BFSP1	NKT.cells
BHLHE40	NK.cells
BHLHE41	B.cells
BIRC3	B.cells
BLK	B.cells
BLNK	B.cells
BMP2K	B.cells
BMPR1A	B.cells
BOK	NK.cells
BOLA2B	NKT.cells
BOLA3.AS1	T.cells.CD8
BPHL	B.cells
BRCA1	NK.cells
BRI3	Monocytes
BRPF3	NKT.cells
BST1	Monocytes
BTAF1	NKT.cells
BTBD11	T.cells.CD4
BTBD2	B.cells
BTD	T.cells.CD8
BTK	B.cells
BTLA	B.cells
BUD13	NK.cells
C10orf11	Monocytes
C10orf128	NKT.cells
C10orf35	T.cells.CD4
C10ORF68	T.cells.CD8
C11orf24	B.cells
C11orf63	T.cells.CD8
C11orf71	NKT.cells
C12orf39	Monocytes
C12orf42	B.cells
C12orf75	NKT.cells
C14orf23	NK.cells
C14orf64	T.cells.CD4
C14orf80	NKT.cells
C16orf46	NKT.cells
C16orf58	B.cells
C16orf74	B.cells
C17orf75	B.cells
C19orf33	Monocytes
C19orf38	Monocytes
C19orf55	NKT.cells
C19orf59	Monocytes
C19orf68	T.cells.CD8
C1orf115	B.cells
C1orf167	T.cells.CD8
C1orf177	NK.cells
C1orf186	B.cells
C1orf204	NKT.cells
C1orf21	NK.cells
C1orf228	T.cells.CD4
C1orf85	Monocytes
C1QA	Monocytes
C21orf58	NKT.cells
C22orf34	T.cells.CD8
C2orf40	T.cells.CD4
C2orf42	B.cells
C2orf43	B.cells
C2orf47	NKT.cells
C2orf88	Monocytes
C3AR1	Monocytes
C4orf32	T.cells.CD4
C4orf36	T.cells.CD4
C5AR1	Monocytes
C5AR2	T.cells.CD4
C5orf30	NK.cells
C5orf45	T.cells.CD4
C6orf203	NKT.cells
C6orf25	Monocytes
C6orf89	NKT.cells
C7orf60	B.cells
C8orf58	T.cells.CD8
C8orf76	NK.cells
C9orf139	NKT.cells
C9orf37	NKT.cells
C9orf72	Monocytes
CA13	NK.cells
CA2	Monocytes
CA6	T.cells.CD4
CAAP1	NKT.cells
CACNA1I	T.cells.CD4
CACNA2D3	Monocytes
CACNA2D4	Monocytes
CAD	NK.cells
CALD1	Monocytes
CAMK1	Monocytes
CAMK4	T.cells.CD4
CAMKK2	Monocytes
CAPG	Monocytes
CAPN12	NK.cells
CAPN3	T.cells.CD8
CAPS	B.cells
CARD9	Monocytes
CARKD	NKT.cells
CARNS1	NKT.cells
CARS2	Monocytes
CASP10	NK.cells
CASP3	T.cells.CD8
CASS4	T.cells.CD4
CATSPER1	Monocytes
CATSPERG	NK.cells
CBFA2T3	B.cells
CBWD3	B.cells
CBX5	B.cells
CCBL1	NK.cells
CCDC102B	T.cells.CD4
CCDC104	T.cells.CD4
CCDC112	T.cells.CD8
CCDC117	B.cells
CCDC120	NK.cells
CCDC127	B.cells
CCDC138	T.cells.CD8
CCDC141	T.cells.CD8
CCDC142	NK.cells
CCDC15	T.cells.CD4
CCDC150	NKT.cells
CCDC151	B.cells
CCDC157	T.cells.CD4
CCDC180	NKT.cells
CCDC24	B.cells
CCDC28B	NK.cells
CCDC30	T.cells.CD8
CCDC41	T.cells.CD8
CCDC50	B.cells
CCDC71	NK.cells
CCDC74A	NKT.cells
CCDC78	B.cells
CCDC82	NKT.cells
CCDC88A	Monocytes
CCDC92	NKT.cells
CCHCR1	NK.cells
CCL28	B.cells
CCL3	NK.cells
CCL4	T.cells.CD8
CCL5	NKT.cells
CCNG2	B.cells
CCP110	NK.cells
CCR1	Monocytes
CCR2	Monocytes
CCR5	T.cells.CD8
CCR6	B.cells
CCR7	T.cells.CD4
CCR9	T.cells.CD4
CD14	Monocytes
CD160	NK.cells
CD163	Monocytes
CD180	B.cells
CD19	B.cells
CD1C	B.cells
CD1D	Monocytes
CD2	NKT.cells
CD200	B.cells
CD200R1	T.cells.CD4
CD22	B.cells
CD226	NKT.cells
CD244	NK.cells
CD247	NK.cells
CD27	T.cells.CD4
CD28	T.cells.CD4
CD300C	Monocytes
CD300E	Monocytes
CD300LB	Monocytes
CD300LF	Monocytes
CD302	Monocytes
CD320	NKT.cells
CD33	Monocytes
CD36	Monocytes
CD37	B.cells
CD38	NK.cells
CD3D	NKT.cells
CD3E	T.cells.CD8
CD3G	NKT.cells
CD4	Monocytes
CD40	B.cells
CD40LG	T.cells.CD4
CD5	NKT.cells
CD6	NKT.cells
CD68	Monocytes
CD69	T.cells.CD8
CD7	NK.cells
CD70	B.cells
CD72	B.cells
CD74	B.cells
CD79A	B.cells
CD79B	B.cells
CD82	B.cells
CD83	B.cells
CD84	T.cells.CD8
CD8A	T.cells.CD8
CD8B	T.cells.CD8
CD9	Monocytes
CD93	Monocytes
CD99L2	NK.cells
CDA	Monocytes
CDC14A	T.cells.CD4
CDC42EP2	Monocytes
CDCA7	NKT.cells
CDCA7L	B.cells
CDCA8	T.cells.CD8
CDK14	B.cells
CDK2AP1	Monocytes
CDK5	NK.cells
CDK5RAP2	B.cells
CDKAL1	T.cells.CD4
CDKN3	NKT.cells
CDO1	T.cells.CD4
CDR2	T.cells.CD8
CEACAM1	T.cells.CD4
CEBPA	Monocytes
CEBPD	NK.cells
CENPM	B.cells
CENPQ	NKT.cells
CENPT	T.cells.CD8
CEP152	T.cells.CD8
CEP170	Monocytes
CEP192	NKT.cells
CEP44	NKT.cells
CEP78	NK.cells
CEP97	B.cells
CERCAM	NKT.cells
CES1	Monocytes
CES4A	T.cells.CD4
CFD	Monocytes
CFH	NKT.cells
CFP	Monocytes
CH25H	T.cells.CD4
CHAC2	B.cells
CHCHD4	NKT.cells
CHCHD6	NK.cells
CHD7	B.cells
CHI3L2	B.cells
CHIC1	NKT.cells
CHP1	Monocytes
CHST11	NK.cells
CHST12	NK.cells
CHST13	Monocytes
CHST15	Monocytes
CHST2	NK.cells
CIAPIN1	NK.cells
CIITA	B.cells
CISH	T.cells.CD4
CKAP4	Monocytes
CLCF1	NKT.cells
CLDND2	NKT.cells
CLEC10A	Monocytes
CLEC11A	Monocytes
CLEC12A	Monocytes
CLEC1B	Monocytes
CLEC4A	Monocytes
CLEC4D	Monocytes
CLEC4E	Monocytes
CLEC5A	Monocytes
CLEC7A	Monocytes
CLECL1	B.cells
CLIC3	NK.cells
CLIC4	B.cells
CLIP4	NKT.cells
CLSTN3	NK.cells
CLU	Monocytes
CLUAP1	T.cells.CD4
CLUH	NKT.cells
CLYBL	T.cells.CD4
CMC1	T.cells.CD8
CMTM2	Monocytes
CMTM5	Monocytes
CNFN	B.cells
CNPY4	NKT.cells
CNR2	B.cells
COBLL1	B.cells
COCH	B.cells
COG7	NKT.cells
COG8	B.cells
COL18A1	T.cells.CD4
COL19A1	B.cells
COL4A3	B.cells
COL4A4	B.cells
COL6A2	NK.cells
COL6A3	NK.cells
COMTD1	NK.cells
COPRS	NKT.cells
COQ10A	B.cells
COQ3	T.cells.CD8
COQ5	NKT.cells
COQ6	B.cells
CORO1C	Monocytes
CPM	Monocytes
CPNE2	Monocytes
CPNE5	B.cells
CPPED1	Monocytes
CPT1B	T.cells.CD8
CPVL	Monocytes
CR1	Monocytes
CRADD	NKT.cells
CRAMP1L	NK.cells
CRB1	T.cells.CD4
CREB3L2	NK.cells
CREB3L4	B.cells
CREB5	Monocytes
CREG1	Monocytes
CRIP2	T.cells.CD4
CRISPLD2	Monocytes
CRTAM	T.cells.CD8
CRTAP	Monocytes
CRY1	NK.cells
CRY2	NKT.cells
CRYM.AS1	B.cells
CSF1	T.cells.CD8
CSF1R	Monocytes
CSF2RA	Monocytes
CSF2RB	Monocytes
CSF3R	Monocytes
CSGALNACT1	NKT.cells
CSMD2	NK.cells
CSRNP2	T.cells.CD8
CSRP2BP	NK.cells
CST3	Monocytes
CST7	NK.cells
CSTA	Monocytes
CTA.221G9.11	NK.cells
CTA.250D10.23	B.cells
CTAGE5	NK.cells
CTB.113I20.2	T.cells.CD8
CTB.133G6.1	B.cells
CTB.152G17.6	NKT.cells
CTB.55O6.12	Monocytes
CTB.58E17.1	NK.cells
CTB.61M7.2	Monocytes
CTBP1.AS2	NK.cells
CTBP2	NK.cells
CTC.246B18.10	Monocytes
CTC.297N7.8	NKT.cells
CTC.428G20.3	B.cells
CTC.487M23.8	T.cells.CD8
CTC.523E23.11	NK.cells
CTD.2001C12.1	NK.cells
CTD.2020K17.4	T.cells.CD4
CTD.2196E14.4	T.cells.CD4
CTD.2201E18.5	T.cells.CD8
CTD.2288F12.1	NK.cells
CTD.2547L24.3	T.cells.CD8
CTD.3076O17.2	B.cells
CTD.3138F19.1	NK.cells
CTD.3195I5.1	NKT.cells
CTLA4	T.cells.CD4
CTNNA1	Monocytes
CTSH	B.cells
CTSS	Monocytes
CTSW	NK.cells
CTTN	Monocytes
CTU1	NK.cells
CX3CR1	NK.cells
CXCL16	Monocytes
CXCR1	NK.cells
CXCR3	NKT.cells
CXCR5	B.cells
CXCR6	T.cells.CD8
CXorf21	B.cells
CXorf23	NK.cells
CXorf40B	NKT.cells
CXXC5	B.cells
CYB561A3	B.cells
CYB5A	B.cells
CYB5D1	T.cells.CD8
CYB5RL	NK.cells
CYBB	Monocytes
CYBRD1	Monocytes
CYFIP1	Monocytes
CYGB	NK.cells
CYP17A1	NK.cells
CYP1B1	Monocytes
CYP27A1	Monocytes
CYSLTR1	B.cells
CYTH3	T.cells.CD8
DAAM1	B.cells
DACT1	T.cells.CD4
DAK	B.cells
DAPK1	Monocytes
DBN1	T.cells.CD8
DBT	T.cells.CD4
DCP1B	B.cells
DDIT4	NK.cells
DDR1.AS1	T.cells.CD8
DDTL	NKT.cells
DDX20	B.cells
DDX47	B.cells
DENND2A	NKT.cells
DENND5A	Monocytes
DENND5B	B.cells
DENND6B	Monocytes
DERL3	B.cells
DESI2	NKT.cells
DET1	NK.cells
DGKA	T.cells.CD4
DGKH	T.cells.CD8
DGKQ	T.cells.CD8
DHCR7	B.cells
DHFRL1	NKT.cells
DHRS7B	T.cells.CD8
DHRSX	NK.cells
DHX33	NK.cells
DISP1	NK.cells
DKFZP761J1410	Monocytes
DLEU7	Monocytes
DMKN	NK.cells
DMXL2	Monocytes
DNAJB4	T.cells.CD8
DNAJC18	NK.cells
DNPH1	B.cells
DOCK10	NK.cells
DOCK5	Monocytes
DOCK7	T.cells.CD8
DOCK9	B.cells
DOK3	Monocytes
DOLK	NKT.cells
DPP4	T.cells.CD4
DPP9	NK.cells
DPY19L1	NK.cells
DPYSL2	Monocytes
DRAM1	Monocytes
DRAXIN	NK.cells
DSC2	Monocytes
DSE	Monocytes
DSP	B.cells
DSTN	NKT.cells
DTHD1	T.cells.CD8
DTX2	NKT.cells
DTX3	T.cells.CD8
DUS2	B.cells
DUSP2	T.cells.CD8
DUSP3	Monocytes
DUSP5	T.cells.CD4
DUSP6	Monocytes
DYNC2H1	T.cells.CD8
DYSF	Monocytes
DZANK1	NK.cells
E2F3	Monocytes
EAF2	B.cells
EBF1	B.cells
ECT2	NK.cells
EDA	T.cells.CD4
EDEM2	NKT.cells
EEPD1	T.cells.CD4
EFCAB4A	B.cells
EFHD2	NK.cells
EGR1	Monocytes
EIF5AL1	NK.cells
ELOVL6	NK.cells
ELP3	NK.cells
EMILIN2	Monocytes
EML5	T.cells.CD8
EMR2	Monocytes
ENDOG	NKT.cells
ENHO	T.cells.CD8
ENO2	T.cells.CD4
ENPP4	NK.cells
ENPP5	NKT.cells
ENTPD1.AS1	NKT.cells
ENTPD5	T.cells.CD8
EOMES	T.cells.CD8
EPB41L3	Monocytes
EPB41L4A	T.cells.CD8
EPHA1.AS1	Monocytes
EPHA4	NKT.cells
EPHX2	T.cells.CD4
EPOR	T.cells.CD4
EPS8L2	T.cells.CD8
ERBB2	NK.cells
ERCC2	NK.cells
ERCC5	NK.cells
EREG	B.cells
ERMARD	NK.cells
ERMP1	NK.cells
ESAM	Monocytes
ESCO2	NKT.cells
ETHE1	NKT.cells
ETS2	Monocytes
ETV2	T.cells.CD4
ETV6	Monocytes
EVA1C	NKT.cells
EVI5	Monocytes
EXOC6B	NK.cells
EXPH5	T.cells.CD8
F11R	Monocytes
F12	NKT.cells
F13A1	Monocytes
F2R	NK.cells
F5	Monocytes
FADS3	B.cells
FAIM	NKT.cells
FAIM3	B.cells
FAM102A	T.cells.CD4
FAM102B	Monocytes
FAM120B	NKT.cells
FAM129B	Monocytes
FAM129C	B.cells
FAM134B	T.cells.CD4
FAM13A	T.cells.CD4
FAM153B	T.cells.CD4
FAM153C	NK.cells
FAM169A	NKT.cells
FAM173B	NKT.cells
FAM177B	B.cells
FAM179A	NKT.cells
FAM198B	Monocytes
FAM200A	T.cells.CD4
FAM21C	NK.cells
FAM26F	Monocytes
FAM3C	B.cells
FAM41C	B.cells
FAM43A	B.cells
FAM46C	B.cells
FAM50B	B.cells
FAM84B	NKT.cells
FAM86A	NK.cells
FANCD2	B.cells
FASLG	NK.cells
FBF1	T.cells.CD8
FBLN2	B.cells
FBLN5	T.cells.CD4
FBLN7	T.cells.CD4
FBRSL1	T.cells.CD8
FBXL6	NKT.cells
FBXL8	T.cells.CD4
FBXW8	B.cells
FCER1A	T.cells.CD8
FCER1G	Monocytes
FCER2	B.cells
FCGBP	T.cells.CD8
FCGR1A	Monocytes
FCGR1B	Monocytes
FCGR2A	Monocytes
FCGR2B	B.cells
FCGR3A	NK.cells
FCGRT	Monocytes
FCHSD1	NKT.cells
FCHSD2	B.cells
FCN1	Monocytes
FCRL1	B.cells
FCRL2	B.cells
FCRL3	B.cells
FCRL5	B.cells
FCRL6	NKT.cells
FCRLA	B.cells
FDXR	NK.cells
FES	Monocytes
FGD2	B.cells
FGD4	Monocytes
FGF22	T.cells.CD4
FGFBP2	NKT.cells
FGL2	Monocytes
FHIT	T.cells.CD4
FHL2	NK.cells
FHL3	Monocytes
FKBP14	NKT.cells
FLNB	B.cells
FLT3LG	T.cells.CD4
FLYWCH1	NK.cells
FOLR3	Monocytes
FOS	Monocytes
FOSB	T.cells.CD8
FOXO4	T.cells.CD8
FPR1	Monocytes
FPR2	Monocytes
FRMD4B	Monocytes
FRMPD3	NKT.cells
FRS3	B.cells
FSD1	NK.cells
FTSJ1	NK.cells
FTSJ3	NKT.cells
FUT11	NKT.cells
FUT2	NK.cells
FUT7	NK.cells
FXR2	Monocytes
FXYD1	T.cells.CD4
FXYD2	T.cells.CD4
FXYD6	Monocytes
FXYD7	B.cells
FYCO1	NK.cells
FYN	NK.cells
FZD6	T.cells.CD4
FZR1	T.cells.CD8
GAB2	Monocytes
GABARAPL1	T.cells.CD8
GALT	T.cells.CD4
GAMT	T.cells.CD8
GAPT	B.cells
GAS7	Monocytes
GAS8	B.cells
GATA3	NK.cells
GATM	NKT.cells
GBA2	T.cells.CD8
GBP5	T.cells.CD8
GCA	Monocytes
GCAT	T.cells.CD4
GCHFR	NK.cells
GCN1L1	T.cells.CD8
GCSAM	T.cells.CD8
GFI1	NKT.cells
GFOD1	NK.cells
GGA1	T.cells.CD8
GGH	NKT.cells
GIGYF2	NK.cells
GIMAP5	T.cells.CD8
GIMAP7	NKT.cells
GIN1	T.cells.CD8
GIPC1	NKT.cells
GK5	NKT.cells
GKAP1	B.cells
GLA	Monocytes
GLB1L2	NKT.cells
GLCCI1	NK.cells
GLE1	NKT.cells
GLT1D1	Monocytes
GNA15	Monocytes
GNAQ	Monocytes
GNB4	Monocytes
GNG11	Monocytes
GNG7	B.cells
GNGT2	NK.cells
GNLY	NK.cells
GNPTAB	NK.cells
GNS	Monocytes
GOLGA8A	NKT.cells
GOLGA8Q	NK.cells
GOLIM4	NK.cells
GOLM1	NKT.cells
GOLPH3L	T.cells.CD8
GORAB	NKT.cells
GP1BA	B.cells
GP9	Monocytes
GPALPP1	NK.cells
GPATCH11	NKT.cells
GPBAR1	Monocytes
GPHN	NKT.cells
GPR114	NK.cells
GPR137	B.cells
GPR137B	T.cells.CD8
GPR141	NKT.cells
GPR146	NK.cells
GPR171	T.cells.CD8
GPR18	B.cells
GPR183	B.cells
GPR34	Monocytes
GPR55	T.cells.CD8
GPR56	NK.cells
GPR68	NKT.cells
GPR75.ASB3	B.cells
GRAMD3	NK.cells
GRAMD4	Monocytes
GRAP	B.cells
GRN	Monocytes
GS1.124K5.11	B.cells
GSAP	NK.cells
GSN	NK.cells
GSTM2	NK.cells
GSTM3	NK.cells
GSTM4	NKT.cells
GSTT1	B.cells
GTF2IRD2	NK.cells
GTF3C1	NK.cells
GTSCR1	T.cells.CD4
GTSF1	T.cells.CD8
GUCD1	B.cells
GUCY1A3	NK.cells
GZMA	NK.cells
GZMB	NK.cells
GZMH	NKT.cells
GZMK	T.cells.CD8
GZMM	NKT.cells
H1F0	Monocytes
H1FX.AS1	NK.cells
H2AFX	NK.cells
HACL1	T.cells.CD8
HAL	Monocytes
HAPLN3	T.cells.CD4
HAR1A	T.cells.CD4
HARBI1	T.cells.CD8
HAUS3	NKT.cells
HAUS5	T.cells.CD4
HAVCR2	NK.cells
HCK	Monocytes
HEATR1	T.cells.CD4
HECTD3	NKT.cells
HELLS	NKT.cells
HEMGN	T.cells.CD4
HEMK1	NK.cells
HENMT1	NKT.cells
HES2	NK.cells
HGF	Monocytes
HHEX	B.cells
HHLA3	NKT.cells
HIATL2	NK.cells
HIP1	NK.cells
HIST1H1E	NK.cells
HIST1H2BN	NK.cells
HIVEP2	T.cells.CD8
HK2	Monocytes
HK3	Monocytes
HLA.DMA	B.cells
HLA.DMB	B.cells
HLA.DOA	B.cells
HLA.DOB	B.cells
HLA.DPA1	B.cells
HLA.DPB1	B.cells
HLA.DQA1	B.cells
HLA.DQA2	B.cells
HLA.DQB1	B.cells
HLA.DRA	B.cells
HLA.DRB1	B.cells
HLA.DRB5	B.cells
HLA.G	NKT.cells
HLCS	NKT.cells
HLTF	NKT.cells
HLX	Monocytes
HMGA1P4	B.cells
HMGN4	NKT.cells
HMOX1	Monocytes
HNMT	Monocytes
HNRNPLL	T.cells.CD4
HOMER2	NK.cells
HOPX	NK.cells
HOXA10	NK.cells
HOXB.AS1	NK.cells
HOXB4	NK.cells
HP	Monocytes
HPGD	NK.cells
HPSE	Monocytes
HRASLS2	T.cells.CD8
HRH2	Monocytes
HS2ST1	NK.cells
hsa.mir.8072	B.cells
HSD11B1L	B.cells
HSD17B7	B.cells
HSH2D	NK.cells
HVCN1	B.cells
HYAL3	NKT.cells
HYLS1	B.cells
HYPK	NKT.cells
ICA1	T.cells.CD4
ICOS	T.cells.CD4
ID2	NK.cells
ID3	B.cells
IER3	Monocytes
IER5	B.cells
IFI27L1	NK.cells
IFI30	Monocytes
IFI44L	Monocytes
IFIH1	NKT.cells
IFITM1	NKT.cells
IFITM3	NK.cells
IFNG	T.cells.CD8
IFNGR2	Monocytes
IFNL1	NK.cells
IFNLR1	B.cells
IFT172	NK.cells
IFT43	NKT.cells
IFT57	B.cells
IGFBP3	T.cells.CD8
IGFBP4	B.cells
IGFBP7	NK.cells
IGJ	B.cells
IGLL5	B.cells
IGSF6	Monocytes
IGSF9B	T.cells.CD4
IKBKAP	B.cells
IL12A	T.cells.CD8
IL12RB2	NK.cells
IL13RA1	Monocytes
IL18	Monocytes
IL18R1	NK.cells
IL18RAP	NK.cells
IL1B	Monocytes
IL1R2	Monocytes
IL1RN	Monocytes
IL21R	NK.cells
IL23A	T.cells.CD4
IL2RB	NK.cells
IL32	NKT.cells
IL4R	B.cells
IL6R	Monocytes
IL6ST	Monocytes
IL7	B.cells
IL7R	T.cells.CD4
IMPA2	Monocytes
INADL	T.cells.CD4
INF2	B.cells
ING2	NKT.cells
INPP4B	T.cells.CD4
INPPL1	Monocytes
INSR	Monocytes
INTS12	NK.cells
INTS7	NK.cells
IPO8	Monocytes
IPP	NK.cells
IQCB1	B.cells
IRAK3	Monocytes
IRF2BP1	T.cells.CD4
IRF5	Monocytes
IRF8	B.cells
IRS2	Monocytes
ISL2	NKT.cells
ISOC1	NKT.cells
ISYNA1	T.cells.CD4
ITGA2B	Monocytes
ITGA6	T.cells.CD4
ITGAM	Monocytes
ITK	T.cells.CD4
ITM2C	B.cells
ITPKB.AS1	T.cells.CD4
ITPR3	NK.cells
ITPRIPL2	Monocytes
IWS1	T.cells.CD8
JAKMIP1	NKT.cells
JAKMIP2	NK.cells
JAM3	B.cells
JDP2	Monocytes
JMJD4	T.cells.CD8
JMY	NKT.cells
KAT6B	NK.cells
KBTBD11	Monocytes
KBTBD2	NKT.cells
KBTBD4	NK.cells
KBTBD6	NK.cells
KCNA3	T.cells.CD4
KCNE1	Monocytes
KCNE3	Monocytes
KCNG1	B.cells
KCNJ2	Monocytes
KCNMB3	NKT.cells
KCNQ1OT1	B.cells
KCTD11	B.cells
KCTD12	Monocytes
KCTD21.AS1	B.cells
KCTD6	T.cells.CD8
KCTD7	NKT.cells
KDM1B	Monocytes
KDM4A	T.cells.CD8
KDM6B	Monocytes
KHDC1	NK.cells
KIAA0040	B.cells
KIAA0125	B.cells
KIAA0226L	B.cells
KIAA0513	Monocytes
KIAA0586	NKT.cells
KIAA0922	B.cells
KIAA1191	T.cells.CD4
KIAA1279	B.cells
KIAA1324	T.cells.CD4
KIAA1377	B.cells
KIAA1456	T.cells.CD8
KIAA1468	NKT.cells
KIAA1598	Monocytes
KIAA1671	NK.cells
KIAA1841	NKT.cells
KIAA1919	B.cells
KIF13A	Monocytes
KIF19	NKT.cells
KIF20B	NKT.cells
KIF21A	T.cells.CD8
KIF5C	T.cells.CD4
KIR2DL2	NK.cells
KLC2	T.cells.CD8
KLF4	Monocytes
KLF7	Monocytes
KLHDC7B	T.cells.CD8
KLHL14	B.cells
KLHL26	NK.cells
KLHL36	B.cells
KLHL42	T.cells.CD8
