Gene	Cancer.cells	B.cells	Macrophages.M1	Macrophages.M2	Monocytes	Neutrophils	NK.cells	T.cells.CD4	T.cells.CD8	Tregs	Dendritic.cells
FCRLA	0.09	203.008	1.330878	0.5716911	0.03710965	0	0.1267824	0.0296664	0.1366045	0.3481457	0.044432205
GNG7	0.26	101.167095	2.948481	4.914191	4.185713	13.14938	3.48691	5.1256435	4.9157125	3.45632	5.544325
HLA-DOB	0.53	317.58735	6.72124	3.14088	8.531175	14.85859	16.50924	14.629765	13.07431	19.167	15.055695
KLHL14	0.02	32.642345	0	0	0	0	0	0	0	0.0345681	0
MEF2C	1.295	100.687545	5.629162	10.16146	27.983615	7.397829	2.7268005	0.03191001	0.09221445	0.131434	37.226935
P2RX5	3.105	541.86195	1.280011	1.238994	4.763485	4.0012035	14.80554	16.119485	20.93286	8.853701	5.872333
PCDH9	0.435	21.736375	0.09619305	0.0309378	0.0122738	0	0.6493543	0.0410788	0.07073435	0.0591375	0.0366379
PNOC	0.02	86.9902	0.42671	0.19823	3.291156	0	0	0.0424078	0	0.285092	1.8403655
POU2AF1	0.1	180.3875	0.645261	0.771186	1.1119035	1.358345	2.101795	2.36336	1.50037	4.84088	1.734395
RALGPS2	13.14	203.66265	3.879684	13.08769	3.752573	10.879775	7.100088	5.156751	4.511349	2.610651	4.796055
SPIB	0.11	194.3953	0.4359796	0.6270888	0.1270458	0.0477042	0.4225823	0	0.12492215	0.346466	2.8359725
STAP1	0.02	117.75835	0.802776	1.66521	0.12226	0.165846	13.123945	5.05267	1.4829495	0.695346	0.302809
TCF4	2.445	56.88716	3.466905	24.01066	4.624239	0.18968575	4.8340655	0.13267075	0.24762335	1.229457	6.021748
TCL1A	0.08	470.169	0	0	0	0.04247607	0.04423165	0	0.155068115	0.1193691	0.087575855
VPREB3	0.27	247.3715	0.44672	0	0	0	0	0.0880545	0.2897755	0.469325	0.0684965
ACVRL1	0.12	0.2799195	18.03718	2.16747	1.41635	0.405032	0.3759235	0.1163096	0.2348745	0.619824	0.9477525
ADAMDEC1	0	0.5501995	172.599245	8.85688	1.0547405	0.0520004	0	0	0	0	0.205592
ALDH1A2	0.64	0	21.3385656142331	8.88666	0.109481	0.534429	0	0	0	0.107737	0.0398828309415
CCRL2	0.09	1.2548485	62.8447	7.544146	13.211215	3.238634	1.770309	0.8505505	2.21758	3.078667	4.6887519425
CD86	0.03	12.845625	391.993256	129.08969	111.5579295	0.0249365	0.05295385	0.0680544565	0.1630385	0.0797805	122.1374435
CFB	4.435	0.13203735	61.07763	16.63985	1.3260405	0.221269	0.1646853	0.267287	0.17870225	6.746265	2.7745845
CXCL2	2.36	0.0909125	284.14	30.9906	42.57475	2.288175	0.302202	0.0600845	0.1606295	0.530328	6.169675
CXCL3	1.56	0	240.723	48.2717	5.864875	0.397403	0.06672	0	0	0	1.920745
EREG	0.475	1.2217355	149.2066	13.71748	21.19035	1.3309335	3.555869	0.7822293	1.0685775	2.277418	3.05014
ICAM1	7.035	5.25167	551.89	186.885	112.0605	116.079	22.83285	3.2606	10.01396	15.1173	31.3425
INHBA	0.915	0.054601225	538.1141	19.41476	0.1805338	0.32395195	0.1738698	0	0.0313899	0.5842433	0.1547859
LILRB4	0.01	3.2444875	428.0611	115.1777	108.81615	17.675295	0.6286215	0.043942245	0.16032065	0.5555655	92.87883
NUPR1	10.07	0	93.58341	20.4709	0.0791295	0.074755	0	0	0	0.655665	0
PDPN	0.08	0.2285165	15.46109	5.407703	0.3347095	1.486665	0.54799	0.1459265	0.175984	0.5583	0.299418
SERPING1	0.52	0	464.2544	15.72875	24.455575	72.889355	0.264553	0	0	0.875195	4.726449
SLC1A3	3.085	0.03017765	24.08529	5.444558	0.8264437	0.0315701	0	0	0	0	0.337826
SLC6A12	0.15	0	39.70555	1.494927	6.167486	3.074066	0.1106285	0	0.0524931	0.447901	8.5653885
VSIG4	0	0.0934642	271.8514	8.105615	7.7326715	1.1507495	0.222021	0	0.2518984	0	4.454099
ACE	0.675	3.287966	86.3891600018991	274.339655	2.2442318	3.1924438	2.7487540186121	8.04782725355	5.8856775	3.615492	7.4228205
CISH	1.645	0.6219494085	96.0876	217.5412	4.32702	8.119225	16.551255	13.959125	10.3461	4.010244	6.7122485
CLEC4A	0.37	8.7157865	67.83633	373.6854	132.4619635	129.9851885	4.2299550611835	1.2469625	1.260109515	3.01018	76.9003
CLIC2	0.28	0.58945425	26.7543	114.4936	4.500425	2.113144	1.06243	0.4762215	0.76430945	0.606662	21.03154
COLEC12	0.1	0	21.7615	71.6642	1.0238155	0	0	0	0	0.0618215	0
ECM1	5.655	0.99686245	23.761907	46.9069	0.7539566	0.12045055	0.6115245	0.31196845	0.564275550487202	0.78274800170341	0.9427015
ENPP2	0.185	0.67327635	22.15261	55.05414	0.8905585	0.23078195	0.5687405	0.954269	0.5214915	0.113739	1.2497711
GATM	0.985	5.36729	1.17699	102.6251	0.9297705	0	0.69411805	0.0557651	0.1991378	0.11806	2.5536355
GFRA2	0.02	0.1125738	4.562568	72.01549	1.8236105	0	0.4058435	0.2313885	0.0441806	0.309151	4.11203
IL1R1	3.265	0.43870355	28.76041	195.3077	2.1115085	24.16493	1.62938	1.363339	0.3414225	4.34527	2.3492215
MAOA	2.14	0	5.71266	73.41943	0.09204545	0	0	0.01122585	0.0401186	0.036264	0.0155323
MS4A4A	0	0.10909445	29.14933	197.8636	11.530725	0	0.5720375	0	0	0	54.699135
PLTP	9.19	3.50516	14.24836	81.42444	1.9303325	0.593967	4.984596	0.1703995	0.638397	1.251516	3.9808115
PTGS1	0.43	15.32878	22.02407	101.5547	23.68802	5.051011	1.765936	0.027984605	0.139837	0.205342	33.485665
RNASE6	0	55.15965	191.905	577.156	177.038	42.29395	2.23158	1.391955	0.6657505	0	53.90705
SLC7A8	1.4	0.2055302	11.30044	79.63703	0.2601164	0.0530007	0.270484	0.7444352	1.6165395	0.56709	0.315792
TREM2	0	0.03777715	23.34454	186.5043	0.635642	0.311359	0	0	0	0.270265	0
WNT5B	2.405	0.10741995	0.331087	19.3896	1.365115	0.0272497	0.02234155	0	0	0.798193	0.272175
CD1D	0.02	19.87179	3.119048	0.712534	97.778525	3.965561	0.218029	0.2214429	0.178383	0.317613	58.69677
CD36	0.26	0.61052825	20.057692	114.017372	403.4841975	0.998539	0.9318805	0.30401535	0.47633355	0.517065	51.1887915
CSTA	0.465	0	140.976	91.167	371.629	162.56	2.5347405	0	0.1150425	0	150.617
FXYD6	0.36	0.04325925	7.70297	1.58409	45.50894	0.1555005	0	0	0	0.26055	1.1636285
GAS7	0.24	2.582273	35.6743	31.35457	98.13949	30.448255	53.602755	0.96812345	7.131395	1.286889	31.353155
HPSE	3.02	0.991494	2.7342	2.05568	70.1172	32.87313	1.691175	5.800142	3.10479	4.530013	4.3370055
KBTBD11	0.61	0.3297085	4.50412	5.94116	10.2884	4.627405	0.591923	4.01587	1.79192	2.80182	5.964975
NRG1	6.14	0	0	1.29823	31.623045	0	0	0	0	0.2231819	0.708127
NRGN	5.67	2.5539405	7.00947	28.7933	207.7718	3.503052	1.08498415	0.80659735	1.0039765	0.2806981	91.4919
SMARCD3	13.75	3.9732645	15.01165	9.528476	134.4364	22.34403	5.9026745	12.179205	19.9045	4.3314	18.119005
TMEM170B	1.66	2.081315	23.0575	8.05054	69.1936	10.2137	2.553405	1.38979	1.717725	0.894642	26.80485
ABHD5	11.74	2.06101	28.2438	12.4405	16.58445	65.2193	5.981355	2.18361	2.604605	5.88073	8.050935
ADGRG3	0.03	0.113854	0.426946	0.135912	0.47765775	545.32993	15.846980791155	0.06560205	0.535575	0.347178	0.26247245
BTNL8	0	0.312549	0.372491	0.189854	0.705095	100.5564	0.416033	0.142486	0.1990095	0.482084	0.600515
C5AR2	0.03	1.027673	23.9571	10.468	23.457975	202.099813	2.92945	0.852177	0.6439635	0.5826	57.53265
CEACAM1	1.07	5.9579815	1.2256910037558	0.73087	2.64065325	71.0410965	4.0396621	5.023656	2.4414928	3.260402590378	10.3627927483425
CEP19	2.84	2.31032	2.002	2.62507	2.688665	57.8579	4.37786	2.388935	2.186915	2.68649	5.309045
CYP4F3	0.16	0.0377126931	0	0.127598	1.4961805	234.6927845	0.091205	0	0	0.317111	0.1948723964
DAPK2	1.235	4.388814	0.755858	0.654746	1.9908115	94.66735	5.876873	1.2359025	2.844333	1.359896	1.70072035
DGAT2	5.145	3.279559	7.09569	5.64861	5.90757	303.38422	0.246722	0.09484925	0.175558	0.171106	3.686182
DOCK5	10.995	0.66949065	23.254153	13.222851	21.373363	140.814351	12.278101	0.2829929	0.32751175	0.8631821	72.182527
DPEP3	0	2.222642	0.482641	1.7356	1.504202	33.18595	1.712748	0.945724	1.1600725	1.10487	2.050792
DYSF	0.93	0.121634191387005	13.927795115831	6.39851400491729	38.914769055	312.6387235	9.9344008	0.092595732098855	3.66264804791625	0.21440624274381	3.03853504079038
FPR2	0	0.076943	38.95686	4.24617	34.763855	629.85245	0.58799595	0.0460544	0.02558405	0.10631	27.836855
HAL	0.16	1.186399	2.009382	1.616133	16.90614	127.2765	0.8320445	0.2729294	0.35877225	1.141105	25.119515
KCNJ15	0.15	0.0292472	19.84684	0.963745	3.527622	338.951	0.1286695	0.0582222	0.02185785	0	0.0331515
LILRA2	0	0.8059655	81.25422	7.089446	261.01415	568.1668	4.807781	0.07899925	0.2151435	0.401548	248.58815
LRRC4	0.11	0.529836	0.1901	1.32142	3.38039	81.9704	0.9262625	0.088928	0.4364145	0.0941972	8.3807
LRRK2	0.13	14.569495	90.47596	8.086823	60.673105	335.77785	0.95954965	0.0510557	0.08736205	0.0855505	68.25241
LY96	0.83	10.41873	92.3113	144.29	75.92515	347.7885	1.713785	11.7837	3.349025	13.7657	70.1656
MGAM	0.09	0.04064295	8.46015	0.366032	3.0162	304.3735	12.727	0.03244235	0.1186802	0.0287913	0.05867725
MME	2.13	1.10597	0.534019	0.152529	0.4817142	364.3373	0.07858592	0.09956996	0.09026304	0.0997355	0.013344315
NINJ2	0.32	3.9016015	2.006656	6.59745	21.89689	60.8908	11.083195	14.682475	9.08434	14.21185	16.097045
PPP1R3B	4.21	4.1511575	9.69227	31.2877	2.92074	103.4505	4.323935	5.157767	3.713345	11.15966	2.327435
REM2	0.385	10.674745	1.661753	2.443792	1.133069	77.44335	7.58012	7.091355	4.625125	41.429	1.1134015
REPS2	1.245	1.9423785	0.877922	9.091507	3.05182	30.864545	0.857193	0.4446415	0.29604725	0.3552329	4.2429705
TECPR2	5.765	4.126165	4.6521	6.41255	8.712986	94.61278	6.9281045	5.1888465	4.95559	3.64001	7.033125
TLR1	0.39	15.9419	87.142	33.7987	28.87135	237.84	15.33545	7.12188	4.149895	4.35051	56.09175
TLR4	0.17	1.1451385	71.834	72.9879	99.683	199.03705	1.9178995	0.0313962	0.10206145	0.0325761	57.7067
TMCC3	1.53	5.468948	7.42621	5.574151	5.659705	56.087305	12.60227	0.30668345	1.6371495	0.232499	7.987755
TMEM154	0.67	35.7259	3.32336	2.30424	45.97785	394.044	3.589585	8.505455	4.91782	9.61088	45.1223
ABCB1	0.25	3.927548	0.646594	0.2545273	0	0	30.78385	1.8985325	8.170475	0.419161	0.07208445
AUTS2	5.16	8.882668653	0.3498764	0.631858	0.3131794	0.0438474	57.88429225	9.8043915	12.4542825	1.482916	0.871218
COLGALT2	0.62	0.04356535	0.66757370125855	2.570119	0.0381039	0.02255125	14.8816365	0.21167755	1.1164035	0.127606	0.202682715
EOMES	0.06	0.0254663	0	0	0	0	30.46094	1.158868	12.69418	0.139542	0.2190735
FASLG	0	0.3475805	0.134934	0.0555169	0.312902	0.1557035	35.7472	0.5490025	2.599795	0.680546	0.3849995
GK5	9.025	8.954024	11.97967	7.1233	9.44877	2.530983	115.30775	10.983235	18.2533	9.214624	18.74993
GNG2	0.69	33.863525	4.19948	15.29816	47.195155	61.29339	299.09805	73.661295	81.696605	81.07351	123.16535
HOPX	0.125	14.9126	3.0479	1.324272	0.1166965	0.224926	409.36695	13.88136	49.9769	1.504286	5.13733
KLRD1	0	1.863345	0.922419	1.184726	1.474353	1.571625	213.3375	1.780614	17.576955	3.49342	3.8530555
MATK	0.11	4.312265	60.39284	41.35661	0.272965	0.1840775	459.8369	9.7347945	92.489625	1.180048	1.700204
MLC1	0.04	0.04081615	0.0579715	0.48164	2.390977	0.2518585	98.099755	0.11597835	1.524641	0.3348968	19.481925
NCALD	0.52	0.03648215	0.065894	0.0259501	0.02892765	0.0150996	41.14	4.162747	9.776551	3.09346	0.6247955
NLRC3	0.15	35.175565	0.472197	1.236	0.6464135	2.24633	151.0939	60.655985	71.37035	78.6336	1.208999
PDGFD	0.56	0.19967965	0.0352956	0.07227431	0	0	36.683925	0.05471639	3.5420805	0	0.13054825
PLEKHF1	4.12	2.4561785	5.155047	1.17928	0.1402085	0.0635161	117.7664	17.66918	31.882165	18.12784	0.312978
PPP2R2B	0.24	0.0481691	0.0729379	0.8994065	0.08805245	0.11583885	33.702615	3.100607	11.76157	3.281788	0.2203005
PYHIN1	0	9.3810965	1.233424	0.548713	0.1536779	0.634018	227.781	36.02251	48.099645	62.55691	0.675288
RNF165	0.37	0	0	0.0197048	0.04274445	0.0228774	30.80688	0.10402455	0.7843087	0.23303	0.0714106
S1PR5	1.035	0.05299395	0.0684603	0.27967	0.08881035	0.0274052	402.37925	1.548089	36.486345	0.488064	0.8221625
SAMD3	0.01	2.7067885	1.133648	0.710288	0.65156425	0.4311305	319.6271	51.8813	104.41294	18.28795	1.969846
SBK1	0.665	0.7637035	0.338526	0.153854	0.243892	0.2990475	57.69245	14.9614	23.8523	10.2354	0.759107
SH2D2A	1.265	0.357849	0.451891	1.00215	0	0.08165305	277.74355	32.899425	57.627465	27.47026	0.5089405
SLFN13	4.14	4.2294735	3.49212	3.13721	0.86076085	1.1528135	70.25701	8.864654	12.75176	6.66637	1.5747845
STAT4	0.31	3.041202	9.286077	5.832863	1.1643179	1.6123145	223.47755	65.6141	108.2525	72.71845	2.7655575
TTC38	15.45	3.33585	8.41382	12.2397	12.76635	4.3092685	282.1765	3.755994	18.790805	3.01491	12.1321
TXK	0.36	1.450063	1.727575	1.903855	1.1362285	1.1287595	250.5941	63.549275	71.59157	37.99582	2.8474425
YPEL1	0.56	20.359875	1.12389	5.76425	1.52315	1.81449	91.156705	5.335591	12.89126	2.830346	3.8375685
ZBTB16	0	12.37121	0.4730877	0.834128	7.5508515	1.1866565	75.111755	4.3379065	10.725735	2.91429	6.303875
FHIT	1.175	2.833095	3.848777	5.389097	3.250674	0.292872	5.33343	87.24135	15.034025	10.83689	1.725532
TRAT1	0	0.05558355	0.156003	0.575877	0	0	1.577465	102.87575	37.09235	42.59762	0.05842855
TSHZ2	0.08	0.2425225	0.0642399	0.0823819	0.0130766	0.2708295	0.06690335	9.260395	0.467641	5.60164	0.0309973
TSPAN18	0.29	1.5230505	0.199547	0.2688232	0.2728451	0.26979725	2.4128865	44.827865	12.17276	4.515012	0.3751661
WNT7A	0.03	0	0	0	0	0	0	15.2836	4.025245	0.560936	0
CD248	0.06	0.223039	0.0793147	0.268574	0.03849725	0	0.01887265	1.33207	14.755	0.44033	0
CD8A	0.07	0.10274105	0.607262	0.470322	0.06844975	0.09844385	4.5094765	1.761467	467.306315	1.119365	0.188595
CD8B	0	1.9342877	1.73854	6.014017	1.152245	2.19096	4.86548	4.385255	609.284035	6.896227	2.3670875
CCR4	0.01	0.1056835	0	0.27506	0	0	0.03015045	51.0431	6.45975	139.376	0
CD5	0.04	4.143925	2.24593	1.47062	0.403601	1.096211	0.780481	172.9175	115.1955	294.744	3.73846
CTLA4	0	0	0.962873	1.09918	0.07544545	0	0.4052645	43.79558	7.291955	310.594	0.3169775
FAM160B1	5.92	10.1091095	15.58144	17.90837	10.28159	33.90392	24.116335	13.59349	16.354075	80.43588	7.428235
FOXP3	0.16	0.836721	0.5178314	0.67886	0.5367585	0	0.8063785	22.34182	1.5505615	289.3016	0.7112925
GCNT4	0.2	0	0.174338	0.112673	0.01144875	0	0.4544015	12.1085	5.632055	24.919	0.2593915
HPGD	0.765	0.25099115	2.462779	0.378849	0.39173	1.188936	7.7732805	4.8629155	7.701962	86.53305	0.28838635
ICOS	0	0	0.270955	0.533508	0.01563915	0	0.83644835	101.56155	31.35521	245.5594	0.1352962
LAYN	0.71	0	0.07723797	0.525916	0	0	0.79831725	0.43596635	1.3346925	21.60295	2.171711
LRRC32	0.1	1.6442955	9.3639	0.749665	0.534237	0.03947045	0	1.13647	0.04914345	24.93833	0.0932589
PLCL1	0.05	0.0899487	2.236645	4.60594	1.4665895	2.0697655	0.314391	15.00292	4.923285	41.545	1.8555505
RTKN2	4.475	3.016791	1.883492	1.740235	1.5792805	2.019747	2.78698	11.788795	3.9254035	101.7318	1.805311
SEMA3G	0.16	0.03320635	0.53393	0.958708	0.0311075	0	0.0099895	1.226071	0.07398865	12.6339	0
AATBC	0.4	0.385093	1.36868	4.39605	24.183485	0.22399901002545	0.757676	0.152017	0.34227065	1.341534	106.5941
FZD1	5.805	0.336625	12.7238	13.4053	12.6758	0.04480205	0.0798898	0.1854005	0	0.0397388	41.0652
KDM1B	9.81	12.821925	55.59347	42.20407	57.41942	36.226805	8.6266295	5.4637975	5.142974	4.902037	125.3031
LMO2	0.355	10.18981	60.9165	107.9679	95.69224	69.6083	1.44237055	0	0	0.224014	258.98955
RNF144B	2.225	6.15346	37.247	29.8901	32.7617	49.82935	1.2834705	1.43907	1.1478775	0.577011	131.2835
SLC2A6	9.15	53.88439	33.39824	21.75592	88.17681	1.206465	12.1707	1.7531985	7.736017	2.421585	273.94275
TTYH2	1.64	1.794985	6.027585	20.55143	39.075405	0.85343315	4.352292	10.16207	6.068045	6.14547	93.02085
AURKB	93.36	1.2647419584	0.756729	0.542551	1.79110352103	2.1140690995	2.5960958	1.79211	1.020029	2.46548	2.5955785
PRR11	53.2	2.6441625	1.50684	14.4422	10.65331	5.6213995	3.4006825	1.9008495	1.6880385	3.36851	21.56322
CENPN	109.045	4.14014001995	8.020281	5.31478	6.010386	2.86304	7.9256325	3.01339400012868	5.74168500326411	6.427328	5.43092576984407
CCNB1	211.46	2.6165675	1.40212	5.177991	0.3953685	0.25368445	2.300136	1.707656	0.9678049553115	1.326701	2.34959
AURKA	89.055	0.971944297	4.65479	4.759636231967	1.230633	1.1759796285	1.8468802022435	0.81815475	0.8046099	1.6736285707071	3.29036179345
ECT2	53.795	1.631571	3.938421470713	5.77633000383718	2.473678	2.14145500442398	2.473602	1.4759855	1.030685506641	0.969503	2.6383247591376
UBE2C	203.575	1.816952	2.25914	2.949144	1.1657365	9.887057	2.797585	1.4811295	0.879508	3.426823	1.943363
MELK	39.155	0.524617	0.709026	0.9653247	0.2989642	0.2841195	1.4695315	0.54632435	0.6482648	1.077008	0.6023925
RRM2	124.115	1.2323755	0.790989	0.547295	0.523322	1.62592	13.0505	2.448795	1.92067	2.51466	1.200545
NUSAP1	108.03	3.580929	5.808079	6.451366	2.138267	0.964619	4.2343715	2.905265	2.1530765	10.71458	2.570648
ZWINT	95.82	0.9833525	1.620642	3.272432	0.9251045	0	4.281684	6.6882495	4.5422245	2.740977	3.253369
KIF23	54.675	0.27223565	1.611216	2.364956	1.4197325	0.36264505	1.1815591	0.21583565	0.2978065	0.976631	0.5734873
TOP2A	134.425	0.952544	0.651109	0.234034	0.03143805	0.0589139	1.749233	1.3884065	1.37407	1.814752	0.3214195
BIRC5	76.595	0.8399728	0.706407	0.1511980237282	0.574643	1.124421	2.0239835	0.8205993	0.451309	2.454798275	0.6522885
FOXM1	62.81	0.600608	0.2389266	1.23526	0.27730295	0.298542	1.987595	0.9181735	0.6328089	2.278451	0.8942122
ARHGAP11A	50.735	2.330186285	2.419328	3.49597	2.60158971	0.442863722695	3.276234	3.786537	3.125440469515	9.259885	2.3150885
TK1	119.11	6.224525	4.15857	7.962	1.5798195	1.060215	4.6076935	2.892365	1.483487	5.0148	2.951292
MKI67	48.9	0.3633678	0.1313454	0.2414327	0.031368625	0.06522385	3.245365	1.0459115	0.5920859	1.86343	0.4914039
KIF20A	44.435	0.0982436	0.068945	0.141657	0.03554365	0.600979	0.2563005	0.1082068	0.0642193	0.563594	0.09284315
CENPA	27.485	0.22859825	0.357183	0.325977	0.305126	0.512338	0.7054155	0.438977	0.4106315	1.64597	0.60007250561315
CENPF	61.695	0.3548905	0.200477	0.491171	0.0461186	0.01114485	1.27665	0.834245	0.4258505	1.13887	0.3449365
ANLN	73.5	0.0836335	0.495974	0.658043	0.1809275	0.164822	0.4057549	0.1850595	0.1593545	0.755944	0.15888565
PRC1	142.18	4.3481835	7.304426	8.34602	3.0373845	0.2673515	5.19309	2.912197	4.1989545	13.05839	2.5150255
TPX2	101.575	0.6640665	0.869884	1.118568	0.2340565	0.44187655	2.6592355	1.22638	0.81506365	4.04495	0.44990065
FANCI	58.705	5.095775	4.123333	4.191885	2.836767	1.72475	16.646875	6.306003	6.180485	18.81262	9.9421575
HMMR	32.37	0.382818	0.454439	0.810306	0.08547155	0.10067025	0.510715	0.2116505	0.1412985	1.111442	0.342093
CDCA3	60.915	0.8036453	0.747217	0.540991	0.25770115	0.209994	1.921553	0.62263685	0.74104535	0.521432	0.2833004
CDK1	78.3	0.673373500805645	1.108709	1.224949398462	0.2201085	0.13403755	1.914787625558	1.32318303183905	0.671553865223615	1.3399020137724	0.2945136661892
CDC20	131.745	0.601646	0.441246	0.725978	0.1383597	0.1583155	1.52003	0.576664	0.4649905	0.866068	0.4309945
TROAP	54.28	1.6384135	0.146891	0.2062047	0.50108265	0.2453225	3.398478	1.3559375	1.1850275	3.408898	1.0307945
CDC6	49.185	0.5741455	0.829168	0.45964	0.262446	0.9953875	2.079805	0.5212565	0.589359	1.01345	0.358814
HJURP	37.105	0.869542	0.585309	0.478915	0.6237855	1.030085	2.535189	0.9752115	0.968003	1.25792	1.688777
BUB1	39.465	0.751961950479519	1.562788	2.0479578216	0.1035297	0.04474945	0.5454475	0.83872	0.739223	3.468945	0.193956900136448
KIF4A	28.12	0.11183	0	0.021561	0	0.0125284	0.46544	0.2459581	0.097904565	0.103382	0.04251506
RAD51AP1	29.59	3.764897	3.861499	1.97375	0.7688149	0.21475555	2.534749	0.608322	0.5137058	1.253772	2.3934665
PLK1	73.51	1.040217	1.32479	1.64552	0.685904	1.0411425	0.8028145	1.30327	0.8450205	1.74617	1.558655
ASPM	20.875	0.1952314	0.13311851	0.11244621	0.01933785	0.0272388	0.8319065	0.24852640083929	0.1122873	1.685551	0.06723775
TYMS	129.85	1.3877395	1.85541	1.721483	0.329449	0.839955	13.434995	4.0724025	4.356895	5.73622	1.416734
KIFC1	52.64	0.4184275	0.4033559	1.420265	0.4337021	0.4111038	2.870755	0.9390165	1.13558	1.037962	0.746877
CDCA8	40.035	0.943693	3.86302000712436	2.385511	0.3221905	2.2767896	2.497685	0.7402075	0.794929295	1.041799	1.207678
CKAP2	39.86	18.747202	9.60393	21.7473200065121	10.5618035	1.5517525	10.5562375079642	12.476085	18.931115	18.45107	18.2317375
PTTG1	197.635	6.618153	11.8065	12.20315	2.097055	0.5868415	8.19658	10.202685	10.08934	38.2609	5.25359
CEP55	36.98	0.1658385	0.646349	0.666185	0.09477885	0	0.381153	0.703481248535	0.1405805	1.4328708	0.3762725
CENPK	29.57	4.514378	1.23659	2.123029	0.37515	0.070717379319	9.09093	11.7358945	7.636425	6.41259	2.2865745
MAD2L1	56.205	3.90055	0.74371	2.30871	0.349853	0.04659845	5.008595	11.062395	11.1886	9.83345	1.145005
DLGAP5	36.205	0.104207	0.201625	0.105921	0.02032275	0.03843955	0.186623	0.4236625	0.1347195	0.377691	0.0687876
CCNB2	70.16	0.9534225	2.047588	2.942837	0.4360325	0.56077555	1.09893	0.76916	0.4568555	1.51344	0.822794
PARPBP	14.7	3.9000885	2.063943	2.786947	2.051854	2.696652	5.5302775	2.442773	3.018674	7.063055	3.86929
NCAPG2	42.64	3.8061875	5.887221	6.404876	2.3422005	0.92035475	7.568484	5.796301	3.9282255	5.235779	5.327566
NQO1	360.935	1.4415355	2.864412	6.98667	1.303275	0.9486115	4.244575	1.503696	1.6707095	1.671815	1.5345035
HMGB3	125.38	1.23181	3.887358	3.720849	3.9434815	0.53276015	2.311755	1.151619	1.575253	4.802994	2.492509
MYBL2	64.725	5.472223	0.105336	0.159199	0	0.20451555	2.495595	1.0547845	0.7002995	2.40863	0.143364
KIF18B	25.73	0.519585	0.0900539	0.184733	0.4097485	0.8627341	2.5566015	0.5522479	0.7147195	1.29257	0.79381105
MCM4	135.845	6.377755	14.7106	13.72275	2.850457	1.172081	15.02791	6.9645315	7.015998	9.221765	8.371425
CDC45	34.69	0.150937	0	0.339882	0.0253748	0.0389069	3.04527095	0.67359895	0.3750001	1.379636	0.3535225
SKA2	90.215	8.655325	4.012818	6.37618	7.408148	2.821593	12.39203	11.299545	9.3611215	12.70522	11.9222
NCAPH	35.265	0.47240045	0.534201	20.51083	0.1985268	0.3083915	1.5889075	0.97034	1.0158175	13.36392	0.4080858
UBE2T	84.56	1.29913	1.26633	1.32572	0.4620275	0	2.068925	2.226525	1.569265	2.75685	4.042955
CENPM	38.055	8.8692815	0.877968	1.1242	1.1003085	1.8852345	4.0191905	4.550074	2.633685	14.202	2.3627115
EXO1	16.68	0.33353285	0.151657	0.1860605	0.1988597	0.0179642	0.8712947	0.24883925	0.2811688	0.5326751	0.14471525
GTSE1	29.53	3.189422	1.67405	1.988645	3.167448	4.50677	8.917963	2.5288505	3.9822835	6.17647	6.361938
CKS2	348.81	19.93255	46.2452	23.229	10.1874	5.40189	22.51265	7.50462	12.929585	22.8872	10.2997
