	IP-08	IP-108b	IP-115b	IP-124b	IP-127	IP-138b	IP-140b	IP-148	IP-197	IP-214	IP-28	IP-31b	IP-36	IP-38b	IP-46	IP-52	IP-57	IP-58b	IP-60	IP-67b	IP-73	IP-82b	IP-89b	IP-99
ABCA11P	0.71	5.35	9.53	2.1	0.43	5.64	11.22	2.84	2.16	2.03	3.8	0.61	1.75	1.32	6.01	0.61	5.45	7.28	3.75	4.15	1.52	19.77	8.29	6.89
ABCA12	2.47	5.4	0.05	0.52	0.06	2.33	1.82	2.92	6.14	7.41	0	0.13	0.75	0	0.05	21.17	0	1.48	0	0.34	4.94	0	1.14	4.81
ABCA13	0.06	0.24	1.92	0.3	0.17	25.1	0.41	3.51	0	3.01	0	0.51	1.78	3.26	0.31	0.45	0.37	2.29	1.7	0.18	1.52	1.94	1.28	0.94
ABCA2	17.09	10.21	3.42	9.46	5.01	26.71	85.09	11.43	4.25	14.89	7.5	11.28	18.54	2.7	10.32	6.16	12.68	31.28	11.19	17.18	8.55	22.43	48.31	15.49
ABCA3	8.83	1.55	0.95	4.53	70.65	90.81	358.83	21.27	2.08	9.35	3.26	1.95	7.04	3.62	48.2	16.74	0.06	16.88	39.15	0.66	1.34	17.78	8.17	2.76
ABCA4	3.53	0.33	1.87	0.42	3.39	0.33	2.57	0.37	0	0	0	0.66	5.81	0.55	1.19	3.39	0	0	0	3.27	0.1	0	0	2.27
ABCA5	35.15	35.69	17.72	30.91	25.68	33.39	5.53	14.29	12.09	37.22	17.65	55.4	38.23	7.52	33.61	13.32	12.92	2.31	30.75	34.34	5.19	5.59	8.51	7.09
ABCA6	11.02	11.04	8.54	60.67	2.39	24.88	14.13	14.12	0.51	3.01	0.07	28.61	2.68	1.13	5.9	9.96	5.89	5.1	23.18	0	4.33	12.81	11.61	1.46
ABCA7	38.05	16.65	13.17	25.11	4.46	33.18	24.45	9.17	15.47	1.02	18.66	2.97	16.12	5.28	18.19	15.37	12.15	47.01	4.9	14.23	10.09	16.72	21.81	8.17
ABCA8	2.3	7.94	1.85	18.43	1.62	16.21	14.07	4.51	0.19	6.07	3.46	13.91	1.83	1.08	1.45	2.17	2.36	2.97	20.77	0.45	2.44	2.14	5.68	3.2
ABCA9	4.86	3.96	1.19	26.57	0	6.58	3.75	4.82	0.06	2.83	0.18	9.71	0.4	1.25	2.63	1.83	0.4	0.51	10.88	0	0.78	31.56	0.66	0.62
ABCB1	4.45	1.6	1.46	4.1	0	7.28	1.56	2.82	1.04	6.11	0.86	2.42	0.13	3.83	1.81	2.6	0.61	4.9	0.98	0.47	0.08	0	0.15	1.75
ABCB10	11.56	6.18	6.75	4.03	8.49	0.75	5.07	4.75	6.02	14.86	1.35	8.97	2.65	13.13	9.18	6.1	10.79	15.57	4.21	5.15	5.64	9.17	4.27	1.6
ABCB11	0.06	0.25	0	0.25	0	1.53	0.14	0	0	0.07	0	0.09	0.88	0	0	0	0	0	0	1.33	0	0	0.23	0
ABCB4	7.83	0.52	0.78	5.5	0.53	0.91	3	0.5	0	1.76	4.19	5.53	0.32	0.22	0.51	2.35	1.25	1.27	0	0.38	2.21	0	1.21	0.36
ABCB6	7.64	6.04	21.85	9.59	4.22	3.29	7.72	9.57	6.34	38.84	12.23	11.77	78.39	29.13	11.43	25.02	16.28	9.86	5.83	36.4	16.41	2.78	5.81	5.8
ABCB7	11.04	6.66	18.72	9	5.71	4.64	11.47	4.8	5.1	6.53	7.27	14.1	5.82	9.69	4.22	11.28	7.98	8.03	7.92	15.02	15.07	10.27	3.67	5.17
ABCB8	35.24	24.62	33.73	38.12	6.35	32.76	38.36	18.71	38.24	15.33	11.14	33.29	27.5	20.08	26.24	16.67	23.2	37.67	14.47	30.94	20.61	20.41	64.09	23.15
ABCB9	5.92	2.44	12.79	3.85	3.54	7.31	8.21	5.35	1.43	3.46	1.74	3.22	3.06	3.33	2.89	7.59	2.9	5.37	8.15	2.83	3.06	13.19	9.09	4.03
ABCC1	21.36	32.36	15.72	21.18	10.13	26.45	22.16	14.92	16.07	13.81	15.02	21.19	6.79	17.29	12.11	18.76	32.1	18.93	9.06	16.17	61.7	31.31	57	11.17
ABCC10	29.62	13.45	14.69	47.55	12.64	35.66	31.88	15.82	6.09	13.34	11.43	17.64	67.9	15.73	23.97	15.82	14.26	11.36	11.34	18.07	9.6	11.49	28.64	6
ABCC11	0	0.3	0.39	0.2	0	0	0	0.08	0.22	0.28	0	0	2.12	0.09	0.4	0.11	1.29	2.36	0.15	0.41	0.79	0.36	1.16	0
ABCC12	0.19	0	0.8	0	0.18	0	0	0	0	0.1	0	0	0.25	0	0	0	0	0	0.48	0.17	0	0	0	0
ABCC13	0.74	0	0.12	0	0	0.21	0.88	0.26	0	0	0	0	0	0	0.22	0.68	0.28	0.42	0.13	0.18	0	0	0	0.17
ABCC2	1.44	37	80.45	2.9	2.6	2.97	1.44	0.5	0.76	1.24	34.05	21.52	127.68	15.1	0.89	1.27	142.54	1.21	2.6	17.71	69.31	0	2.26	0.64
ABCC3	136.45	68.66	139.08	71.4	11.92	141.28	197.24	57.04	69.57	42.5	12.52	31.52	10.77	1.67	147.02	66.03	79.36	206.69	17.6	19.74	91.71	57.27	84.37	81.38
ABCC4	16.12	3.81	3.62	10.01	5.38	1.98	12.18	15.98	0.83	26.1	6.44	10.18	12.51	1.49	7.59	16.74	5.97	2.76	20.11	8.86	6.03	5.7	6.86	3.65
ABCC5	28.95	20.46	76.24	44.8	16.38	21.42	45.46	22.58	15.48	34.12	17.01	55.51	25.84	47.39	14.25	54.1	38.91	11.93	19.33	19.12	21.43	68.62	40.04	12.04
ABCC6	9.46	5.5	7.07	1.89	36.51	16.52	14.59	7.62	7.39	6.8	67.99	0.62	52.04	0.95	6	16.3	13.36	19.74	33.06	30.53	0.97	10.55	0.93	3.27
ABCC8	0.07	0.15	0	1.67	0	3.64	0.78	0.11	0	0.64	1.55	0	0	0	0	0	0	0	0	0.11	0	7.67	0	0
ABCC9	12.06	11.43	5.79	31.79	2.3	5.76	3.48	12.4	0.57	2.32	1.86	38.61	0.31	4.78	4.92	5.33	4.02	17	11.34	0.62	8.53	4.02	7.71	0.08
ABCD1	8.63	3.42	5.7	7.02	3.28	8.38	15.82	1.06	0.74	1.6	3.74	2.04	8.06	6.75	5.36	4.98	4.04	9.63	2.72	9.68	2.42	4.35	14.07	2.69
ABCD2	0.68	0.06	0.24	0.89	0	0.18	0.16	0.94	0.06	0.16	0	0.39	0.51	0.14	1.64	0.38	0.07	0	0.35	0.23	0.12	0	0.32	0.26
ABCD3	18.9	10.96	11.57	18.71	18.78	11.36	4.41	19.29	28.16	25.02	7.02	31.45	20.93	15.36	23.67	28.67	12.09	8.67	25.38	41.08	16.81	13.09	7.22	10.96
ABCD4	39.07	31.19	44.12	67.1	29.69	49.21	58.76	18.75	13.46	14.34	9.37	51.68	29.89	43.27	27.03	13.44	18.44	36.42	19.69	59.24	20.66	77.94	48.12	20.99
ABCE1	11.37	7.93	44	34.56	14.16	10.52	7.66	17.53	32.15	23.82	10.19	18.7	15.25	66.13	12.97	17.52	13.64	4.59	10.13	18.71	21.14	8.09	11.78	18.85
ABCF1	21.45	13.02	24.39	19.68	11.51	26.97	20.25	17.67	28.32	20.11	12.02	11.77	14.32	45.02	19.68	12.08	18.09	23.44	13.57	30.69	26.52	17.59	22.03	18.19
ABCF2	7.92	2.37	8.42	5.22	0.81	3.92	5.73	3.42	4.08	6.22	3.67	4.74	4.15	6.46	4.27	5.9	4.75	4.06	2.77	8.5	3.45	1.56	6.23	4.05
ABCF3	30.47	18.88	23.98	25.49	19.96	31.07	28.35	20.17	33.64	18.32	26.36	17.06	42.43	25.05	24.95	28.22	18.74	54.45	12.82	46.83	24.42	31.41	31.63	32.03
ABCG1	14.99	16.06	2.12	14.64	3.02	17.01	18.88	4.11	2.07	11.84	8.6	15.83	3.13	2.53	5.99	6.07	2.55	8.17	7.87	2.65	5.28	13.24	18	1.55
ABCG2	0.31	0.09	0.63	0.84	0	0.28	0.96	0.92	0.19	3.14	0.36	1.76	2.15	56.63	0.86	1.82	0.9	0.27	1.57	0.35	0.34	0.31	0.32	1.65
ABCG4	0	0.38	0	0	0	0.3	0.27	0	0	0.2	0	0.75	0	0	0	0.16	0	0	0.14	0	0.1	0.34	0.89	0
ABCG5	0	0	0	0	0	0	0	0	0.16	0	0	0	0.23	0	0	0	0	0	0	0.77	0	0	0	0
ABCG8	0	0.05	0	0	0	0	0	0	0	0	0	0	0.85	0	0	0	0	0	0	1.56	0.24	0	0	0
ABHD1	1.32	0	1.43	0	0	0.54	1.58	0	0	0	1.6	0	0.42	0.4	0.94	0	0.27	0	0	0	0	3.56	0	0
ABHD10	7.54	3.19	18.44	8.98	12.14	10.08	8.01	15.14	8.15	9.62	9.66	7.62	6.59	15.46	5.03	3.54	5.89	2.31	8.45	4.52	5.56	6.25	4.02	6.33
ABHD11	17.41	4.95	3.69	7.2	2.08	35.61	16.17	7.48	11.86	17.95	4.92	4.13	13.11	17.75	14.39	18.7	12.28	11.19	2.7	18.14	10.01	61.69	12.84	41.03
ABHD11-AS1	1.6	0	0	0	0	2.1	0	0	1.69	0	0	0	0	1.71	0	6.32	0	0	0	0	0.64	0	1.22	2.03
ABHD12	24.96	13.73	18.12	23.73	10.97	53.4	36.05	27.6	19.86	19.53	19.49	23.18	61.15	52.65	38.71	22.32	30.82	40.85	13.44	19.32	38.19	88.01	30.21	24.18
ABHD12B	0	0	0	0	0	3.02	1.42	0	0	0.18	0	0	0	0	0	0	0	0	1.14	0	0.78	0	0	0
ABHD13	2.59	3.76	4.96	9.51	9.35	2.16	1.42	5.79	2.82	9.17	3.46	8.13	7.98	3.47	4.57	3.34	5.02	0.95	6.47	6.02	6	2.19	0.88	1.31
ABHD14A	5.64	0.97	3.68	5.04	5.86	10.17	3.99	3.71	4.65	1.89	2.07	2.35	4.04	1.61	5.01	3.66	3.06	4.9	2.21	9.52	1.26	1.25	7.52	2.79
ABHD14B	30.09	3.89	18.64	14.73	18.13	37.2	29.06	15.36	18.94	6.57	19.95	14.08	24.67	4.9	7.32	18.88	29.45	25.27	4.78	13.71	6.11	56.08	25.85	17.5
ABHD15	6.24	2.06	4.4	8.75	2.5	3	4.67	2.94	2.45	2.31	1.33	3.04	3.91	3.73	7.56	2.63	1.57	3.09	1.9	2.74	3.39	1.12	3.7	3.31
ABHD16A	18.41	19.17	10.19	44.24	8.5	17.75	22.98	12.79	6.7	14.3	15.48	23.02	27.77	9.49	22.18	12.51	19.51	21.61	9.79	56.6	12.08	31.42	12.84	11.52
ABHD16B	0.62	0.25	0.36	0	0	0	0	0	0	0	0.41	0.44	0	0	0.51	0	0	0.4	0	0	0.26	0	0.48	0.2
ABHD17A	18.67	10.98	5.05	17.77	3.04	19.31	30.88	9.74	6.68	3.64	5.18	4.63	8.04	8.53	9.84	12.57	7.04	11.77	7.95	9.39	5.05	23.11	29.48	5.73
ABHD17B	1.98	2.26	4.24	4.68	1.9	8.27	3.27	4.71	6.5	10.9	4.21	2.44	2.27	2.8	2.66	4.3	3.79	1.1	2.92	5.13	3.05	0	2.98	3.56
ABHD17C	8.66	7.59	30.22	13.66	6.38	27.87	5.61	9.33	25.29	13.77	32.83	32.94	4.2	8.48	9.42	6.18	42.81	9.81	8.4	0.38	16.6	7.04	9.08	5.36
ABHD18	7.26	4.46	11.94	14.18	9.33	6.48	6.31	6.21	6.84	7.28	5.22	10.44	4.26	5.99	7.47	6.25	3.54	3.09	5.38	7.92	11.65	5.39	5	3.76
ABHD2	63.8	21.8	38.95	46.64	20.42	174.79	55.84	23.78	23.81	112.12	34.59	94.25	32.62	12.68	23.74	21.58	84.6	39.35	30.65	21.01	133.57	39.23	130.23	22.79
ABHD3	10.14	14.9	56.29	10.12	12.07	11.96	8.79	8.14	17.17	20.42	25.64	20.39	13.17	5.89	8.28	14.69	27.02	0.46	6.04	41.45	15.83	3.74	14.27	9.62
ABHD4	5.89	4.33	21.19	8.44	2.84	10.68	6.69	5.14	7.35	9.19	4.28	12.52	22.11	7.8	4.1	15.4	16.56	7.49	5.96	10.27	17.72	14.73	17.71	5.82
ABHD5	7.92	9.66	13.7	12.4	15.05	11.1	6.9	11.63	12.88	18.61	21.42	9.84	11.31	14.16	2.72	4.69	8.36	8.84	10.91	8.11	12.26	9.85	2.95	12.97
ABHD6	6.83	3.55	5.08	4.37	2.03	11.24	6.42	3.59	11.66	4.82	12.84	2.9	1.51	4.04	0.92	1.48	1.59	0	2.36	2.88	1.37	2.41	5.96	0.57
ABHD8	3.74	0.9	0	0.71	0.55	7.99	3.34	1.6	1.77	0.51	1.16	0.31	0.98	1.96	1.09	1.2	1.48	1.43	0.55	0.37	1.3	6.48	3.76	1.14
ABI1	20.56	11.99	19.2	29.12	10.21	21.88	22.11	14.24	17.43	19.2	8.77	19.91	11.27	41.27	18.97	17.34	24.19	14.74	10.33	18.34	27.38	19.69	16.77	10.93
ABI2	14	14.13	17.47	44.36	15.24	31.66	30.89	22.09	20.77	26.73	22.6	22.31	19.35	31.46	25.05	14.98	9.85	11.7	20.57	33.24	14.51	71.7	40.13	17.89
ABI3	24.25	4.38	3.59	11.17	0	7.96	16.97	5.11	1.29	1.94	0.74	5.9	0.79	2.13	7.77	7.85	0.59	8.1	1.53	1.51	6.18	4.14	7.85	2.44
ABI3BP	46.57	64.59	12.68	47.85	1.89	67.68	20.77	21.11	1.34	4.25	0.16	31.99	10.37	7.16	13.91	8.22	13.42	38.8	33.63	0.9	19.12	26.92	58.78	4.79
ABITRAM	1.66	4.68	13.29	6.55	5.34	6.35	4.99	7.74	9.55	9.37	8.65	9.84	8.1	7.56	8.5	6.71	8.9	0.31	7.79	11.1	7.27	1.41	8.03	9.35
ABL1	11.73	13.48	19.1	27.26	5.25	26.21	32.63	19.48	28.94	16.78	12.37	20.71	12.19	8.27	19.61	14.64	21.13	37.05	15.12	20.27	14.42	12.45	45.34	11.34
ABL2	17.35	33.83	52.64	62.45	16.39	19.8	23.47	18.9	21.67	31.26	9.97	99.22	12.91	17.08	29.1	21.67	32.97	10.82	21.58	19.65	31.83	8.07	35.99	11.84
ABLIM1	48.71	12.84	25.69	29.68	1.3	116.05	25.06	19.08	52.34	41.16	42.74	19.71	21.9	7.56	11.01	81.04	161.31	39	30.99	32.47	39.84	112.83	36.48	5.43
ABLIM2	1.62	2.18	3.92	5.11	1.08	13.7	2.98	1.39	11.89	11.06	11.69	8.45	0.94	2.14	2.21	2.55	13.59	0.7	2.3	0.78	4.53	3.8	0.42	3.57
ABLIM3	2.75	4.32	8.44	16.25	1.22	18.35	21.31	8.27	4.05	4.27	4.17	14.41	1.85	12.81	1.53	2.19	1.61	18.73	6.03	3.56	4.83	4.45	44.02	25.3
ABO	7.61	7.01	2.09	7.26	24.2	35.92	4.93	6.43	1.26	18.3	2.77	3.86	4.67	1.21	8.78	31.16	27.89	26.05	11.8	14.15	0.92	6.67	10.88	6.31
ABR	69.84	33.05	93.57	65.81	3.35	121.39	117.32	37.77	2.9	45.44	24.49	40.25	42.79	86.41	39.1	33.96	26.49	29.76	16.82	34.24	29.47	68.76	164.94	34.81
ABRA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABRACL	17.6	6.66	17.52	19.71	2.38	10.28	1.51	12.27	8.71	8.23	15.81	18.15	3.78	21.02	11.07	15.6	10.99	9.87	8.05	22.62	23.24	0	7	19.89
ABRAXAS1	7.09	3.18	7.53	10.99	8.29	7.28	3.39	5.68	7.41	2.93	3.91	9.04	7.83	7.66	8.74	4.9	8.15	8.54	5.3	8.87	5.78	0.7	9.49	1.36
ABRAXAS2	5.65	2.57	6.28	7.02	5.96	7.74	5.38	6.38	8.24	7.9	5.14	6.17	4.21	10.2	5.55	9.92	8.9	1.55	3.95	5.77	7.05	3.99	4.63	2.69
ABT1	4.48	0.74	9.46	9.97	8.97	2.79	1.05	3.26	6.54	4.66	4.76	4.06	13.79	4.9	5.82	3.28	4.76	0.39	2.64	9.32	3.79	2.23	5.11	3.86
ABTB1	10.38	8.6	4.59	15.45	3.23	14.48	18	7.36	5.71	1.82	6.2	7.62	11.27	1.11	7.35	8.04	4.78	14.69	4.59	3.09	2.59	24.79	21.64	10.31
ABTB2	1.41	0.73	3.28	1.72	0.22	2.26	1.64	1.57	0.16	1.32	1.17	1.51	4.27	5.6	0.37	0.32	0.6	3.41	1.29	6.24	0.9	1.05	4.07	1.02
ACAA1	17.41	25.81	13.43	14.91	8.67	20.32	14.95	10.59	14.63	12.92	24.91	16.72	13.09	11.31	5.69	13.54	7.54	22.06	12.23	20.76	8.89	35.8	31.81	12.42
ACAA2	8.76	3.63	6.85	13.85	9.34	8.53	5.27	15.48	9.51	5.34	2.91	15.88	9.18	21.26	9.38	3.11	3.33	10.22	9.62	33.6	17.2	7.83	16.1	4.61
ACACA	54.51	20.06	89.27	40.82	29.99	53.75	59.75	44.1	101.17	93.5	57.01	30.9	22.05	79.21	98.2	54.9	31.58	45.18	27.34	32.38	47.66	48.08	27.7	23.64
ACACB	12.11	14.03	9.9	21.6	6.09	57.92	26	12.27	9.49	7.83	25.99	27.6	19.48	7.18	17.76	9.45	3.66	7.69	12.81	18.13	11.38	17.26	24.86	5.58
ACAD10	24.72	17.22	33.93	30.73	19.38	25.52	28.43	28.98	30.5	27.56	47.08	22.31	21.51	21.69	24.94	15.67	30.34	8.95	17.35	13.63	20.26	47.1	31.92	9.56
ACAD11	13.81	21.18	18.65	30.96	10.92	18.73	19.59	17.18	24.91	5	5.01	25.63	9.07	14.75	11.75	8.03	7.02	5.18	17.49	7.55	8.47	5.62	26.21	6.45
ACAD8	66.3	9.5	18.59	27.91	25.3	21.55	18.67	22.99	15.9	13.57	27.35	20.81	38.38	18.51	50.18	18.18	11.67	17.11	44	18	14.18	48.79	24.77	5.8
ACAD9	17.1	12.08	32.37	19.63	15.73	26.35	24.76	20.42	20.59	14.6	16.86	19.93	27.7	16.16	13.63	12.51	12.51	22.78	20.41	17.62	11.45	40.43	25.12	38.83
ACADL	0.13	0	0	2.88	48.71	3.88	1.36	2.86	0	2.57	0	0.9	0.68	1.94	0	0.16	0.83	0	10.55	0.3	0	0	0	0.11
ACADM	12.59	13.65	31.97	30.77	21.4	23.51	12.76	16.94	36.82	61.9	17.24	28.69	18.1	42.36	17.68	18.02	20.63	6.74	15.73	15.17	11.03	3.25	4.44	11.35
ACADS	2.06	3.12	2.47	3.98	1.21	4.29	5.59	6.06	3.58	2.23	4.15	4.61	1.52	2.8	3.3	1.64	5.89	3.15	0.61	2.34	2.68	7.67	2.54	1.26
ACADSB	5.39	1.17	7.61	8.21	10.05	16.42	2.65	4.47	4.28	10.83	11.02	7.66	10.83	18.46	7.99	6.27	10.97	6.45	20.42	8.05	5.42	4.84	2.91	1.65
ACADVL	213.98	362.17	305.43	230.72	35.78	512.37	385.69	89.13	115.18	148.57	158.45	203.84	287.38	94.67	145.39	126.61	191.58	248.75	97.91	245.27	160.4	262.59	653.15	163.87
ACAN	0.17	4.13	0.98	5.58	1.11	2.44	1.12	0.23	1.16	4.01	0.09	30.41	0.29	17.96	2.42	0	53.59	8.25	0	1.56	21.63	0	2.03	0
ACAP1	61.61	5.12	2.5	28.74	0	19.44	8.54	13.95	3.94	0.41	0	12.44	11.22	3.69	22.58	6.55	3.6	13.42	8.37	3.41	5.21	34.04	33.19	4.32
ACAP2	30.99	18.74	40.73	49.18	28.49	15.3	20.27	22.28	22.38	43.47	21.9	38.88	29.61	88.11	26.69	21.94	20.35	6.79	27.55	24.02	21.76	53.09	21.67	40.16
ACAP3	9.9	20.44	8.87	49.31	5.16	26.73	21.59	6.9	5.74	6.48	5.23	9.37	11.54	6.84	19.45	17.89	8.38	30.71	4.12	17.12	7.89	24.59	38.83	15.44
ACAT1	19.86	16.24	20.37	21.67	19.62	23.79	17.57	17.87	36.31	13.68	5.6	26.5	15.35	26.6	20.06	27.64	40.02	17.06	35.84	17.4	21.54	35.93	4.15	16.25
ACAT2	3.74	2.05	8.65	7.76	0	8.75	2.48	2.31	33.57	7.28	11.27	3.74	16.93	26.52	3.96	2.47	5.63	3.83	3.43	19.92	9.17	15.57	2.82	5.27
ACBD3	15.07	18.17	29.28	34.61	18.59	24.74	18.79	20.11	31.43	45.5	11	24.21	26.21	41.49	16.44	30.6	21.63	18.51	15.39	11.7	23.01	11.99	16.28	27.67
ACBD4	13.22	5.2	15.44	8.81	6.44	10.43	10.85	6.02	7.59	2.25	7.62	5.35	5.37	5.18	13.19	8.03	5.04	14.25	5.46	2.97	7.28	13.39	11.11	5.07
ACBD5	7.03	6.11	6.6	6.93	4.44	12.18	2.55	7.12	10.77	6.41	3.76	12.41	7.69	21.3	8.73	7.84	12.67	4.61	4.18	15.23	10.17	3.53	3.43	5.38
ACBD6	9.16	7.48	20.65	17.2	4.02	10.06	11.19	10.79	17.85	21.13	3.4	9.45	5.77	20.45	11.69	9.53	19.85	3.82	8.66	4.93	12.02	1.55	9.18	7.54
ACCS	20.3	32.43	27.78	34.17	19.66	27.48	69.35	15.65	18.03	15.35	19.16	28.9	18.51	17.7	13.37	13.31	20.6	24.85	40.18	14.12	14.56	10.43	55.2	9.69
ACD	15.63	4.26	5.44	5.62	5.92	9.38	8.01	2.5	1.42	3.95	6.09	7.82	6.76	5.31	9.45	3.26	8.7	9.25	3.83	11.71	2.9	5.11	26.16	6.84
ACE	4.66	4.58	14.06	18.88	0	45.48	16.3	9.87	5.21	4.01	3.24	5.07	9.22	6.23	5.64	6.39	3.19	12.55	8.69	3.25	5.57	31.72	25.9	7.97
ACE2	0.58	0.11	0	0	0.79	0	0.75	0.76	0.57	4.4	2.9	0.18	0	0	0	0.51	1.79	2.37	2.7	3.48	0	0	0	0.63
